AGE,EDUCATION,REVOKED,CLM_AMT,CAR_AGE,driverExperience,licenceType
48,High School,No,1354,1,28,Full
39,Bachelor,No,110,12,19,Full
49,Masters,No,115,14,30,Full
44,High School,No,103,1,24,Full
50,PhD,No,102,14,30,Full
30,High School,No,104,6,10,Full
54,Bachelor,No,97,11,38,Full
38,High School,No,103,6,16,Full
53,High School,No,2425,1,33,Full
53,Bachelor,No,111,8,34,Full
29,High School,No,105,1,11,Full
58,Masters,No,103,6,37,Full
55,Masters,No,108,13,34,Full
55,Bachelor,No,93,11,34,Full
56,High School,No,101,10,40,Full
39,High School,No,104,8,22,Full
44,Masters,No,99,9,23,Full
34,Masters,No,99,15,17,Full
34,High School,No,5711,1,15,Full
36,Masters,Yes,94,17,20,Full
41,Masters,No,13105,9,20,Full
46,Masters,No,4061,17,24,Full
45,High School,No,111,1,29,Full
42,Bachelor,No,94,14,25,Full
38,High School,No,95,8,20,Full
33,High School,No,7838,5,13,Full
37,Bachelor,No,3660,6,19,Full
42,Masters,No,100,14,26,Full
47,Bachelor,No,5125,10,26,Full
43,Bachelor,No,117,7,24,Full
52,Bachelor,No,95,10,34,Full
43,Masters,No,109,1,25,Full
64,High School,No,5085,1,43,Full
66,Masters,No,104,16,50,Full
60,PhD,No,100,15,39,Full
35,Bachelor,No,114,1,18,Full
52,High School,No,2143,5,36,Full
52,High School,No,110,1,34,Full
56,PhD,No,6484,13,38,Full
38,High School,No,99,10,19,Full
55,Masters,Yes,106,15,37,Full
47,Bachelor,No,97,13,28,Full
37,Bachelor,No,91,10,19,Full
47,Bachelor,No,96,9,30,Full
26,Bachelor,No,4028,8,8,Full
61,Masters,No,100,21,39,Full
41,Masters,No,2114,18,22,Full
40,High School,Yes,97,6,18,Full
52,Bachelor,Yes,97,11,33,Full
58,Masters,No,99,17,39,Full
52,Masters,No,98,17,34,Full
38,High School,No,8671,1,16,Full
41,High School,No,6287,1,22,Full
37,Bachelor,No,99,10,17,Full
48,Bachelor,No,104,1,31,Full
47,High School,No,94,9,29,Full
41,Masters,No,3524,14,22,Full
49,Bachelor,No,119,1,27,Full
41,High School,No,115,1,24,Full
47,Masters,No,97,11,29,Full
30,High School,No,105,1,13,Full
44,Masters,No,101,16,24,Full
46,Bachelor,No,112,7,28,Full
49,Bachelor,No,112,9,27,Full
33,Masters,No,101,4,14,Full
34,High School,No,106,7,18,Full
44,Masters,No,93,9,25,Full
43,Bachelor,Yes,1807,12,25,Full
62,PhD,No,113,15,43,Full
42,High School,No,10594,1,26,Full
36,High School,No,108,1,20,Full
47,Masters,No,100,14,25,Full
50,High School,No,103,7,34,Full
51,High School,Yes,93,1,29,Full
46,Masters,No,101,16,27,Full
50,High School,No,97,8,28,Full
43,Masters,No,6158,20,25,Full
39,High School,Yes,4887,1,20,Full
43,High School,No,97,1,27,Full
60,Masters,No,5147,15,40,Full
55,High School,No,109,1,39,Full
40,Bachelor,No,109,10,19,Full
39,Bachelor,No,104,13,17,Full
49,Masters,No,99,17,33,Full
38,High School,No,90,12,17,Full
42,Masters,No,88,18,24,Full
42,Masters,No,102,14,23,Full
49,High School,No,102,1,27,Full
36,Masters,No,103,14,18,Full
34,High School,No,95,7,15,Full
49,PhD,No,121,1,28,Full
52,High School,No,111,1,36,Full
50,PhD,No,100,11,34,Full
53,High School,No,115,7,37,Full
55,Bachelor,No,92,14,36,Full
40,High School,No,104,1,24,Full
40,Bachelor,No,104,8,22,Full
45,Masters,No,109,10,27,Full
80,Bachelor,No,101,10,64,Full
48,High School,No,91,1,28,Full
37,High School,No,91,11,18,Full
40,High School,No,111,1,20,Full
26,Bachelor,No,2214,16,5,Full
45,Bachelor,No,102,18,23,Full
46,High School,Yes,112,1,30,Full
42,PhD,No,6087,17,22,Full
36,Bachelor,No,105,4,17,Full
45,High School,No,112,1,24,Full
52,Bachelor,No,104,11,33,Full
41,High School,No,107,1,21,Full
36,High School,No,103,7,14,Full
56,Bachelor,No,115,9,35,Full
53,High School,No,118,7,36,Full
39,High School,No,3894,7,18,Full
38,Bachelor,No,107,9,19,Full
45,High School,Yes,2659,1,29,Full
46,High School,No,98,9,30,Full
43,High School,No,112,5,27,Full
54,Bachelor,No,113,9,33,Full
55,Masters,No,95,19,34,Full
61,High School,No,104,1,39,Full
50,Masters,No,103,19,33,Full
62,High School,No,3705,1,46,Full
53,Bachelor,No,6693,5,33,Full
52,High School,No,98,4,35,Full
54,Bachelor,No,101,6,32,Full
53,Bachelor,No,102,13,32,Full
51,Masters,No,103,9,30,Full
39,High School,No,92,1,20,Full
38,Masters,No,97,15,21,Full
42,High School,No,4380,1,26,Full
31,High School,Yes,1826,7,15,Full
44,Masters,No,104,10,24,Full
41,Masters,No,113,17,22,Full
36,High School,No,6716,10,17,Full
48,Bachelor,No,105,10,31,Full
49,High School,No,111,1,27,Full
45,Masters,Yes,4644,10,24,Full
47,High School,No,104,1,26,Full
41,Bachelor,No,105,6,25,Full
45,High School,No,119,1,29,Full
53,High School,No,94,8,36,Full
51,High School,No,106,1,33,Full
51,Masters,No,110,1,35,Full
36,Masters,Yes,53571,20,14,Full
43,Bachelor,No,110,6,24,Full
43,High School,Yes,97,1,21,Full
53,High School,No,4257,7,32,Full
40,Masters,No,100,14,23,Full
31,High School,No,4277,5,14,Full
32,High School,Yes,2832,8,10,Full
58,PhD,No,19597,14,38,Full
49,Masters,No,101,23,33,Full
50,Masters,No,103,18,29,Full
45,High School,No,98,1,29,Full
46,Masters,No,109,17,27,Full
47,High School,No,94,13,29,Full
43,Bachelor,No,97,7,24,Full
41,Bachelor,No,100,8,23,Full
48,PhD,No,93,17,28,Full
39,High School,No,92,8,17,Full
49,High School,No,115,1,30,Full
45,High School,No,108,1,23,Full
36,Masters,No,101,17,14,Full
59,Masters,No,2738,16,38,Full
60,Masters,No,95,15,39,Full
49,Bachelor,No,108,12,30,Full
45,High School,No,115,1,29,Full
34,High School,No,98,5,15,Full
57,High School,No,1146,4,41,Full
33,Bachelor,No,103,5,13,Full
52,High School,No,94,12,34,Full
53,High School,No,103,10,31,Full
57,Bachelor,No,95,9,38,Full
37,Bachelor,No,107,9,16,Full
45,Bachelor,No,99,8,24,Full
38,Bachelor,No,107,4,18,Full
36,High School,No,115,7,20,Full
51,High School,No,103,1,33,Full
39,Masters,Yes,4658,12,20,Full
51,High School,Yes,116,6,32,Full
40,High School,No,112,1,23,Full
54,High School,No,5259,9,33,Full
34,Bachelor,No,104,13,15,Full
41,Masters,No,101,12,19,Full
36,Bachelor,No,91,15,16,Full
55,High School,No,104,1,34,Full
45,Masters,No,110,11,24,Full
45,High School,Yes,3769,8,26,Full
50,Masters,No,98,11,31,Full
44,High School,No,5733,1,27,Full
55,Bachelor,No,96,13,38,Full
44,High School,No,4363,1,27,Full
50,Masters,No,104,8,31,Full
60,PhD,Yes,95,14,38,Full
40,High School,No,102,4,22,Full
57,High School,No,97,8,39,Full
47,Masters,No,101,12,27,Full
47,High School,No,5523,8,28,Full
64,Masters,No,7390,9,47,Full
34,Masters,No,1165,20,16,Full
52,Masters,No,119,17,33,Full
42,Masters,No,2362,11,21,Full
41,High School,No,98,6,20,Full
41,Bachelor,No,100,3,20,Full
42,High School,No,6142,5,25,Full
54,Masters,Yes,102,18,34,Full
42,Bachelor,No,106,1,24,Full
56,PhD,No,110,17,38,Full
50,PhD,No,98,20,34,Full
59,High School,Yes,101,10,42,Full
51,Masters,No,106,14,30,Full
53,PhD,No,686,14,37,Full
35,High School,No,110,1,15,Full
54,PhD,No,1065,14,38,Full
50,Masters,Yes,5075,11,31,Full
29,Bachelor,Yes,92,9,11,Full
32,High School,Yes,105,1,11,Full
57,High School,No,680,1,35,Full
43,Bachelor,No,95,11,22,Full
44,Bachelor,Yes,107,8,22,Full
38,Bachelor,No,98,10,22,Full
37,Bachelor,Yes,106,10,15,Full
55,Bachelor,No,109,8,39,Full
51,Bachelor,Yes,107,10,30,Full
42,Bachelor,No,2287,12,25,Full
45,High School,No,6195,1,28,Full
54,Masters,No,4862,18,38,Full
48,Masters,No,108,14,29,Full
54,Masters,No,107,10,38,Full
48,Bachelor,No,106,9,29,Full
50,High School,No,120,1,34,Full
25,High School,No,9776,1,5,Full
55,Masters,No,5546,21,35,Full
35,PhD,No,101,10,19,Full
29,High School,No,3418,1,12,Full
45,High School,Yes,4423,1,26,Full
37,Bachelor,No,106,9,17,Full
56,PhD,No,88,17,37,Full
45,Masters,No,116,1,27,Full
51,Masters,No,99,8,29,Full
48,Bachelor,No,104,10,27,Full
52,High School,No,108,1,35,Full
40,High School,No,102,5,23,Full
41,Masters,No,2328,18,23,Full
44,PhD,No,115,0,27,Full
54,Masters,No,103,13,33,Full
42,Masters,No,96,19,22,Full
50,High School,No,104,5,29,Full
38,High School,No,4700,5,20,Full
36,High School,No,97,10,15,Full
62,Bachelor,Yes,6880,15,41,Full
47,Bachelor,No,105,7,27,Full
47,PhD,No,120,1,27,Full
46,High School,No,100,6,25,Full
42,Masters,No,94,19,21,Full
44,Masters,No,120,13,26,Full
36,High School,No,3644,7,17,Full
33,High School,No,109,1,12,Full
35,High School,No,4758,1,16,Full
43,PhD,No,106,11,21,Full
45,Masters,No,4875,14,23,Full
55,PhD,No,96,11,38,Full
27,High School,No,109,5,5,Full
41,Masters,No,102,15,23,Full
40,Bachelor,No,104,1,20,Full
43,Masters,No,108,15,24,Full
42,Bachelor,No,110,7,23,Full
57,High School,Yes,98,11,40,Full
56,Bachelor,No,104,8,39,Full
64,High School,No,17290,3,43,Full
32,High School,Yes,5395,1,10,Full
39,Bachelor,No,5021,10,18,Full
37,Bachelor,No,102,11,20,Full
45,High School,Yes,108,5,28,Full
39,Bachelor,No,104,7,21,Full
32,High School,No,2891,8,16,Full
44,Bachelor,No,104,10,25,Full
39,High School,No,105,1,22,Full
41,High School,No,111,1,21,Full
35,High School,No,3149,1,16,Full
64,High School,No,3602,6,47,Full
46,PhD,No,93,23,29,Full
59,PhD,No,108,18,41,Full
39,High School,Yes,2516,4,23,Full
44,High School,No,2449,10,22,Full
40,High School,No,3259,1,24,Full
43,High School,No,102,1,25,Full
48,Bachelor,No,101,12,28,Full
38,Bachelor,No,21823,13,16,Full
48,High School,Yes,119,1,32,Full
60,Bachelor,No,100,13,40,Full
59,PhD,No,95,13,40,Full
43,Masters,No,108,15,24,Full
43,High School,No,3085,1,27,Full
64,Masters,No,113,11,48,Full
55,Bachelor,No,3593,14,36,Full
35,High School,No,103,8,14,Full
54,High School,No,458,9,35,Full
35,High School,No,104,1,13,Full
46,Masters,No,6143,13,30,Full
26,Bachelor,No,4524,6,7,Full
43,High School,Yes,4480,10,27,Full
43,Masters,Yes,104,18,22,Full
54,Masters,No,107,15,36,Full
55,Masters,No,102,18,38,Full
45,High School,No,103,8,29,Full
42,High School,No,5619,1,22,Full
46,High School,No,1766,1,30,Full
47,High School,No,101,8,28,Full
45,Bachelor,No,107,9,25,Full
55,High School,No,105,1,35,Full
43,High School,No,108,1,26,Full
53,Bachelor,No,105,7,37,Full
49,Bachelor,No,104,10,31,Full
30,Bachelor,No,124,9,8,Full
47,Masters,No,102,15,25,Full
41,PhD,No,114,1,21,Full
49,Masters,No,92,15,29,Full
44,High School,No,100,6,26,Full
31,PhD,No,94,14,11,Full
51,Masters,No,2262,1,29,Full
50,High School,No,96,8,31,Full
58,High School,Yes,40152,1,40,Full
56,Masters,No,101,14,37,Full
41,Masters,No,1237,11,25,Full
37,High School,No,2876,7,16,Full
57,High School,No,105,1,36,Full
37,High School,No,1650,1,16,Full
34,Bachelor,No,91,9,18,Full
49,High School,Yes,14834,1,33,Full
42,High School,Yes,1796,1,21,Full
38,Bachelor,No,88,9,19,Full
55,Bachelor,No,98,12,35,Full
37,Bachelor,No,4057,8,17,Full
25,High School,No,5177,9,4,P2
44,Bachelor,No,104,15,26,Full
20,High School,No,100,9,2,P1
40,High School,No,5287,1,20,Full
32,Masters,No,1444,15,10,Full
35,High School,No,121,1,18,Full
37,Bachelor,No,100,7,18,Full
58,Masters,Yes,92,7,39,Full
40,High School,No,104,1,21,Full
54,High School,No,3008,5,37,Full
39,High School,No,104,1,21,Full
49,High School,No,3943,6,28,Full
48,High School,No,118,10,30,Full
42,High School,No,2316,1,23,Full
37,High School,Yes,5363,4,15,Full
56,High School,No,104,10,35,Full
48,Bachelor,No,5051,6,30,Full
21,Bachelor,No,6245,1,2,P1
33,High School,No,106,5,13,Full
38,Bachelor,No,107,1,18,Full
33,High School,No,109,5,15,Full
51,Masters,No,96,10,30,Full
45,Bachelor,No,105,7,28,Full
40,Masters,No,2872,19,18,Full
58,High School,No,6101,6,40,Full
50,Bachelor,No,105,9,29,Full
39,Bachelor,No,96,14,23,Full
50,High School,Yes,98,7,28,Full
39,High School,No,119,5,20,Full
19,High School,No,120,1,3,P2
49,Bachelor,No,105,7,31,Full
33,High School,No,117,6,13,Full
43,Masters,No,91,20,24,Full
48,High School,No,98,1,30,Full
45,High School,No,104,6,28,Full
39,Bachelor,No,86,8,21,Full
32,High School,Yes,1347,9,15,Full
45,Masters,No,99,9,25,Full
46,Masters,No,4579,18,25,Full
53,PhD,No,99,16,36,Full
63,High School,No,6228,1,41,Full
51,High School,No,117,6,29,Full
36,High School,No,111,5,20,Full
72,High School,No,4997,1,51,Full
51,High School,Yes,106,6,35,Full
39,Bachelor,No,101,9,23,Full
34,Bachelor,No,109,13,18,Full
53,PhD,No,104,13,31,Full
45,Masters,Yes,92,9,29,Full
36,High School,Yes,8662,8,19,Full
36,High School,No,105,1,20,Full
32,High School,No,102,1,13,Full
43,Masters,No,98,22,21,Full
54,Bachelor,No,106,12,37,Full
57,PhD,No,98,17,37,Full
47,High School,No,110,1,30,Full
36,High School,No,93,1,18,Full
43,High School,No,110,1,23,Full
46,PhD,Yes,100,16,30,Full
41,Bachelor,No,115,7,25,Full
55,High School,No,100,1,37,Full
63,Bachelor,Yes,5952,11,42,Full
45,High School,No,5252,8,29,Full
35,High School,No,5440,7,15,Full
60,Bachelor,No,95,8,40,Full
51,Bachelor,No,122,4,31,Full
43,High School,No,110,1,26,Full
39,High School,No,96,8,17,Full
33,High School,Yes,7719,1,11,Full
37,High School,No,109,7,20,Full
39,High School,No,8289,1,19,Full
43,Bachelor,No,94,10,26,Full
48,Bachelor,No,95,10,27,Full
45,High School,No,115,7,28,Full
56,High School,No,2353,7,37,Full
37,High School,No,98,9,16,Full
40,PhD,No,105,13,23,Full
51,Bachelor,No,101,11,32,Full
42,High School,No,117,1,21,Full
41,Masters,No,2289,17,22,Full
46,High School,No,104,1,24,Full
35,High School,No,98,1,13,Full
43,Masters,No,105,13,26,Full
64,Masters,No,103,9,47,Full
46,Bachelor,No,101,6,29,Full
39,Masters,Yes,92,12,17,Full
69,Bachelor,No,102,11,53,Full
35,High School,No,120,6,16,Full
44,Bachelor,No,96,15,28,Full
44,Bachelor,No,103,5,24,Full
39,Bachelor,No,104,13,22,Full
56,Masters,Yes,95,11,36,Full
59,PhD,No,95,14,38,Full
41,High School,No,111,1,25,Full
57,High School,Yes,5457,7,38,Full
43,High School,No,90,1,21,Full
42,High School,Yes,3428,8,24,Full
52,Masters,No,94,10,35,Full
46,High School,No,106,1,26,Full
51,High School,No,85,9,31,Full
43,Masters,No,103,13,23,Full
52,Masters,No,104,16,36,Full
43,Masters,No,105,15,27,Full
47,Masters,No,100,17,29,Full
44,High School,No,107,2,23,Full
48,Masters,No,100,1,32,Full
33,High School,No,4898,11,11,Full
41,Bachelor,No,4046,10,22,Full
49,High School,No,103,7,30,Full
50,High School,No,2812,8,30,Full
42,Masters,No,94,16,20,Full
33,Bachelor,No,102,10,16,Full
42,Bachelor,No,98,10,22,Full
41,High School,No,5050,8,22,Full
40,High School,No,95,9,21,Full
51,Bachelor,No,102,1,32,Full
57,Bachelor,No,3782,11,37,Full
42,High School,No,3443,1,24,Full
46,High School,No,99,10,29,Full
56,Bachelor,No,104,6,38,Full
52,Bachelor,No,100,6,34,Full
38,High School,No,101,1,21,Full
43,High School,No,46858,1,24,Full
40,Bachelor,No,109,7,21,Full
54,High School,No,112,3,34,Full
51,Bachelor,No,2058,8,31,Full
27,Bachelor,No,1958,5,9,Full
56,High School,No,93,8,39,Full
48,Bachelor,No,103,4,31,Full
47,Masters,No,92,14,31,Full
38,High School,No,98,7,22,Full
27,Bachelor,No,4313,6,9,Full
33,High School,No,1736,1,13,Full
42,High School,No,4257,8,23,Full
55,High School,Yes,3492,1,34,Full
50,High School,No,1413,1,28,Full
48,Bachelor,No,95,8,29,Full
33,High School,No,112,9,15,Full
53,Bachelor,No,122,6,36,Full
58,Bachelor,No,115,12,42,Full
43,Bachelor,No,111,11,23,Full
49,High School,No,101,8,32,Full
40,High School,No,1036,8,20,Full
54,High School,No,3722,1,34,Full
38,PhD,No,97,17,20,Full
49,Bachelor,Yes,105,7,33,Full
39,Masters,Yes,6827,7,23,Full
37,High School,No,102,11,16,Full
27,High School,No,1842,1,8,Full
48,Bachelor,No,102,1,31,Full
47,Masters,Yes,8798,9,26,Full
38,High School,No,102,1,17,Full
44,High School,No,100,8,27,Full
44,High School,No,111,1,23,Full
46,High School,No,104,5,24,Full
50,High School,No,95,8,34,Full
37,Bachelor,No,92,8,15,Full
24,Bachelor,No,112,13,4,P2
37,Bachelor,No,5636,11,18,Full
38,High School,No,103,7,17,Full
43,Bachelor,Yes,3414,8,24,Full
46,High School,No,99,9,26,Full
36,Bachelor,No,7161,3,17,Full
50,High School,No,96,6,28,Full
31,Masters,No,94,14,11,Full
47,High School,Yes,26305,1,28,Full
42,High School,No,5717,5,26,Full
44,Bachelor,No,104,12,23,Full
59,Bachelor,Yes,116,12,40,Full
40,PhD,No,104,1,21,Full
31,High School,No,4306,1,9,Full
40,PhD,No,107,17,23,Full
36,High School,Yes,1813,9,17,Full
54,Bachelor,No,111,9,33,Full
45,Masters,No,100,9,24,Full
58,High School,No,101,1,38,Full
39,High School,No,111,8,23,Full
46,PhD,No,117,18,27,Full
32,High School,Yes,105,8,10,Full
57,High School,Yes,2463,1,41,Full
47,Bachelor,No,465,7,31,Full
44,High School,Yes,105,1,25,Full
44,Masters,Yes,5016,10,22,Full
46,Bachelor,No,101,6,29,Full
55,PhD,No,103,18,37,Full
52,PhD,No,104,16,33,Full
43,PhD,No,115,9,25,Full
52,High School,Yes,114,1,33,Full
51,High School,No,108,1,35,Full
47,High School,No,3354,1,28,Full
52,Bachelor,No,104,13,34,Full
34,High School,Yes,111,9,12,Full
41,PhD,No,107,12,25,Full
48,High School,No,5911,1,29,Full
67,High School,No,118,1,45,Full
43,High School,Yes,99,1,26,Full
36,Bachelor,No,1368,8,16,Full
58,High School,Yes,3998,1,39,Full
37,Bachelor,No,101,10,20,Full
44,PhD,No,108,18,26,Full
51,Bachelor,No,101,9,30,Full
28,Bachelor,No,109,7,11,Full
50,High School,No,102,6,30,Full
44,Masters,No,95,14,27,Full
52,Bachelor,No,93,10,31,Full
41,Masters,No,97,9,22,Full
42,Bachelor,No,108,6,25,Full
37,Bachelor,No,3854,13,18,Full
58,High School,No,3231,5,40,Full
32,High School,No,94,9,12,Full
38,Bachelor,Yes,4611,10,17,Full
42,PhD,No,99,23,25,Full
42,High School,No,99,5,22,Full
44,High School,No,105,6,27,Full
46,High School,No,86,10,24,Full
44,High School,No,110,7,24,Full
37,Bachelor,No,105,8,20,Full
45,High School,No,93,1,27,Full
48,Bachelor,No,95,8,27,Full
72,Masters,No,917,6,50,Full
52,Masters,No,96,16,31,Full
48,High School,No,102,11,30,Full
40,High School,No,9162,1,21,Full
49,Bachelor,No,105,7,32,Full
62,Bachelor,No,121,4,44,Full
45,High School,No,110,6,27,Full
32,Bachelor,No,3829,11,10,Full
42,High School,No,105,8,20,Full
33,High School,No,112,10,13,Full
43,High School,No,106,1,25,Full
57,PhD,No,4846,5,39,Full
22,Masters,No,94,20,3,P2
53,Masters,No,6409,8,31,Full
43,High School,No,97,6,21,Full
47,Masters,No,117,18,31,Full
44,High School,No,3844,8,23,Full
50,PhD,No,88,20,30,Full
48,High School,No,97,1,30,Full
42,High School,No,101,9,26,Full
51,Bachelor,No,104,11,35,Full
32,Bachelor,Yes,95,9,14,Full
50,High School,No,99,1,31,Full
52,PhD,No,116,11,31,Full
41,High School,No,102,5,19,Full
39,High School,No,113,10,17,Full
27,High School,No,2595,4,6,Full
53,High School,No,5951,6,32,Full
48,High School,No,108,7,26,Full
52,Masters,No,121,1,35,Full
38,Bachelor,No,97,9,16,Full
53,High School,No,99,6,32,Full
40,High School,No,105,1,21,Full
49,PhD,Yes,116,20,31,Full
59,Bachelor,No,108,9,39,Full
34,High School,No,106,9,17,Full
52,Bachelor,No,98,11,35,Full
35,Bachelor,No,22134,1,17,Full
46,Masters,No,108,9,28,Full
56,Masters,No,101,12,36,Full
48,Bachelor,No,60838,9,26,Full
36,PhD,No,2705,20,15,Full
30,High School,No,103,1,11,Full
62,High School,No,16840,1,40,Full
50,High School,No,107,1,30,Full
55,Masters,Yes,4423,14,34,Full
52,High School,No,120,3,34,Full
59,Bachelor,No,5363,10,39,Full
33,High School,No,102,1,11,Full
46,Masters,No,9893,9,25,Full
46,Masters,No,105,13,28,Full
24,Masters,No,5495,16,7,Full
55,PhD,No,5386,20,35,Full
48,High School,No,4194,6,32,Full
42,Bachelor,Yes,5061,10,25,Full
50,High School,No,93,8,34,Full
33,Bachelor,No,110,4,15,Full
56,Bachelor,No,105,1,40,Full
49,High School,Yes,92,1,30,Full
53,High School,No,122,6,32,Full
52,High School,No,89,8,34,Full
60,Masters,No,5190,22,44,Full
49,Bachelor,No,111,4,31,Full
21,High School,No,3038,1,2,P1
50,Masters,No,1030,15,34,Full
30,Bachelor,No,108,13,14,Full
36,Masters,No,96,9,19,Full
30,Bachelor,No,102,7,14,Full
53,Masters,No,107,14,32,Full
49,Bachelor,No,108,6,33,Full
62,PhD,No,113,1,44,Full
38,PhD,No,101,8,19,Full
59,High School,No,5109,5,39,Full
53,Masters,No,99,11,31,Full
46,High School,No,97,9,25,Full
30,Masters,No,2424,20,11,Full
42,Bachelor,No,96,6,23,Full
49,Masters,No,100,17,33,Full
57,PhD,Yes,105,8,35,Full
46,High School,No,112,10,26,Full
43,High School,No,93,7,21,Full
50,Bachelor,No,98,11,30,Full
42,Bachelor,No,27496,8,23,Full
42,Masters,No,108,17,20,Full
48,PhD,No,94,13,30,Full
38,High School,No,5862,1,18,Full
53,PhD,No,104,5,33,Full
56,High School,No,106,6,34,Full
51,PhD,No,109,15,30,Full
43,High School,No,109,1,24,Full
52,Masters,No,100,13,31,Full
42,Masters,No,105,19,21,Full
32,High School,No,3960,1,15,Full
42,PhD,No,92,12,22,Full
27,Bachelor,No,101,7,5,Full
38,Masters,No,116,2,17,Full
46,Bachelor,No,107,10,25,Full
38,High School,No,100,1,19,Full
41,Masters,No,118,17,24,Full
41,Bachelor,No,1226,1,22,Full
42,High School,Yes,114,5,21,Full
37,Bachelor,No,2471,1,18,Full
26,High School,No,3435,1,8,Full
47,Bachelor,Yes,126,1,31,Full
44,Bachelor,No,113,9,22,Full
55,High School,No,104,6,38,Full
39,High School,No,100,1,18,Full
56,Masters,No,107,14,35,Full
48,Bachelor,No,104,8,27,Full
45,Masters,No,117,11,23,Full
50,Masters,No,103,15,34,Full
56,Masters,No,97,19,39,Full
51,Masters,Yes,2838,17,29,Full
36,PhD,No,4402,21,15,Full
31,High School,No,104,1,14,Full
40,High School,No,96,1,19,Full
44,High School,No,103,4,22,Full
54,High School,Yes,5722,9,34,Full
33,High School,No,105,1,15,Full
54,Masters,No,6220,16,36,Full
40,Bachelor,No,97,11,21,Full
38,Bachelor,No,103,12,16,Full
58,Bachelor,No,3879,13,36,Full
42,High School,No,2962,5,20,Full
43,High School,No,99,5,27,Full
41,High School,No,87,13,20,Full
45,High School,No,105,7,24,Full
53,Masters,No,101,10,34,Full
53,Bachelor,No,93,12,35,Full
30,High School,No,94,8,11,Full
32,Bachelor,No,4405,1,14,Full
50,High School,No,101,8,32,Full
42,High School,No,97,8,25,Full
42,Bachelor,No,5378,10,23,Full
41,Masters,No,124,19,24,Full
39,Bachelor,No,106,9,20,Full
27,Masters,No,97,12,6,Full
43,Masters,No,96,8,21,Full
45,High School,No,106,1,27,Full
43,High School,Yes,105,1,22,Full
33,Bachelor,No,2044,15,15,Full
48,High School,Yes,102,1,28,Full
52,High School,No,100,1,35,Full
47,Bachelor,No,106,9,26,Full
55,Bachelor,No,98,9,33,Full
51,High School,No,108,6,35,Full
