timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,Fraud,vehicleAge,driverExperience,licenceType
88,37,2000,1632,,PhD,Multi-vehicle Collision,Major Loss,Other,15,3,0,1,5000,0,9,18,Full
31,54,500,1480,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,7,3,0,1,1000,0,20,33,Full
106,26,2000,1084,,Bachelor,Single Vehicle Collision,Total Loss,Other,0,1,1,1,5000,0,10,4,P2
50,35,500,898,,Bachelor,Single Vehicle Collision,Minor Loss,,2,1,0,1,6000,1,0,19,Full
95,50,500,851,,PhD,Single Vehicle Collision,Total Loss,Ambulance,10,1,0,1,4000,0,12,32,Full
30,29,2000,1274,,High School,Multi-vehicle Collision,Minor Loss,,23,3,1,1,2000,0,5,10,Full
95,57,1000,881,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,18,1,1,1,1000,0,2,41,Full
17,39,500,1560,,High School,Single Vehicle Collision,Major Loss,Other,6,1,0,1,4000,1,8,22,Full
7,31,1000,1610,,MD,Single Vehicle Collision,Minor Loss,Police,1,1,1,1,4000,0,11,12,Full
38,36,500,1614,,High School,Parked Car,Total Loss,Police,1,1,1,0,6000,0,0,15,Full
117,64,2000,1127,,High School,Single Vehicle Collision,Major Loss,Police,3,1,0,1,2000,0,11,45,Full
117,29,2000,1386,,Masters,Multi-vehicle Collision,Total Loss,Ambulance,5,3,1,0,5000,0,10,10,Full
115,62,500,1238,,High School,Single Vehicle Collision,Minor Loss,,0,1,0,0,3000,0,16,40,Full
22,28,2000,1495,,Bachelor,Single Vehicle Collision,Total Loss,Other,22,1,0,1,5000,0,8,12,Full
74,37,2000,1276,,Bachelor,Multi-vehicle Collision,Minor Loss,Other,3,3,0,1,8000,1,11,20,Full
80,28,1000,1153,,High School,Single Vehicle Collision,Minor Loss,,12,1,1,0,6000,0,15,11,Full
67,42,1000,1325,,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,19,1,1,1,3000,0,18,25,Full
101,46,1000,1460,,Bachelor,Multi-vehicle Collision,Major Loss,Police,8,3,0,0,4000,0,7,30,Full
75,61,500,1369,,High School,Multi-vehicle Collision,Total Loss,Other,20,3,1,0,5000,0,12,43,Full
23,56,1000,1256,,PhD,Multi-vehicle Collision,Total Loss,Ambulance,1,3,0,0,8000,0,14,36,Full
50,51,1000,1166,,Bachelor,Multi-vehicle Collision,Major Loss,Other,12,3,0,0,6000,0,0,32,Full
72,33,1000,981,,Bachelor,Single Vehicle Collision,Major Loss,Police,23,1,1,0,1000,0,16,11,Full
111,44,2000,1090,,Masters,Single Vehicle Collision,Major Loss,Police,14,1,1,0,4000,0,7,25,Full
64,63,2000,1653,,High School,Parked Car,Major Loss,,11,1,1,0,8000,0,13,45,Full
97,53,2000,1052,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,12,3,0,1,10000,0,9,33,Full
56,57,2000,1306,,MD,Multi-vehicle Collision,Minor Loss,,6,4,0,1,4000,0,14,39,Full
73,55,500,1260,,Masters,Multi-vehicle Collision,Minor Loss,Ambulance,21,3,1,1,1000,0,15,39,Full
32,40,1000,1215,,High School,Single Vehicle Collision,Major Loss,Police,9,1,1,1,4000,0,4,24,Full
71,29,2000,1455,,Masters,Multi-vehicle Collision,Minor Loss,,5,3,1,1,7000,0,13,9,Full
41,47,1000,1524,,Masters,Single Vehicle Collision,Major Loss,Ambulance,11,1,1,0,5000,0,17,26,Full
97,61,500,1251,,Masters,Multi-vehicle Collision,Total Loss,,9,3,1,1,1000,0,4,40,Full
101,47,1000,1249,,Masters,Multi-vehicle Collision,Minor Loss,Police,6,3,0,1,6000,0,15,25,Full
39,47,500,1671,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,1,3,1,1,4000,0,13,31,Full
17,28,500,1350,,High School,Single Vehicle Collision,Total Loss,,9,1,1,0,8000,0,20,8,Full
6,58,1000,1360,,High School,Multi-vehicle Collision,Major Loss,Ambulance,15,3,1,1,2000,0,5,41,Full
23,46,1000,944,,Bachelor,Multi-vehicle Collision,Major Loss,,14,3,1,0,9000,0,3,26,Full
38,61,500,1104,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,11,3,0,1,2000,0,6,44,Full
89,54,1000,1605,,High School,Single Vehicle Collision,Major Loss,Ambulance,17,1,1,1,9000,0,5,36,Full
118,33,1000,1103,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,20,3,0,1,6000,0,15,15,Full
37,54,500,1398,,Bachelor,Vehicle Theft,Major Loss,Ambulance,19,1,1,1,8000,0,15,38,Full
52,58,500,925,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,17,3,1,1,7000,0,13,41,Full
50,54,1000,1561,,Masters,Parked Car,Minor Loss,,9,1,1,0,5000,0,4,37,Full
36,35,2000,1195,,Bachelor,Single Vehicle Collision,Total Loss,,5,1,0,0,4000,1,18,18,Full
66,62,1000,1447,,Bachelor,Parked Car,Total Loss,,20,1,1,1,8000,0,20,45,Full
79,61,500,1629,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,9,1,1,1,8000,0,10,42,Full
6,45,2000,1586,,MD,Single Vehicle Collision,Total Loss,Ambulance,22,1,1,1,4000,0,13,23,Full
116,59,1000,1469,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,12,4,1,1,2000,0,10,40,Full
62,63,500,962,,Bachelor,Multi-vehicle Collision,Total Loss,,14,2,1,0,10000,0,5,41,Full
73,35,1000,1661,,High School,Multi-vehicle Collision,Minor Loss,Other,2,2,1,1,8000,0,5,17,Full
38,57,500,962,,Masters,Multi-vehicle Collision,Major Loss,Police,15,3,1,1,4000,0,6,38,Full
42,61,1000,913,,MD,Multi-vehicle Collision,Total Loss,Ambulance,13,3,1,1,2000,0,4,45,Full
100,45,500,1617,,Bachelor,Multi-vehicle Collision,Total Loss,Police,1,3,1,0,6000,0,18,23,Full
68,38,1000,1184,,Bachelor,Multi-vehicle Collision,Total Loss,Police,4,3,0,1,8000,0,17,19,Full
67,37,1000,1483,,College,Multi-vehicle Collision,Major Loss,Ambulance,5,4,0,0,1000,1,9,16,Full
108,38,500,1543,,Bachelor,Single Vehicle Collision,Major Loss,Police,23,1,0,1,9000,0,7,18,Full
63,63,500,1603,,Masters,Single Vehicle Collision,Minor Loss,Other,14,1,1,1,3000,1,19,46,Full
83,49,1000,880,,College,Multi-vehicle Collision,Minor Loss,Police,7,3,1,0,1000,0,4,31,Full
80,53,2000,1553,,PhD,Single Vehicle Collision,Major Loss,Ambulance,19,1,1,1,2000,0,11,33,Full
47,26,500,1573,,Bachelor,Multi-vehicle Collision,Total Loss,Police,4,3,1,1,5000,0,1,7,Full
23,55,1000,1592,,High School,Single Vehicle Collision,Total Loss,,3,1,1,1,9000,0,4,35,Full
78,64,500,978,,High School,Parked Car,Major Loss,Ambulance,18,1,1,1,8000,0,12,42,Full
30,50,1000,1114,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,2,3,1,1,7000,0,13,30,Full
97,28,2000,1562,,High School,Single Vehicle Collision,Minor Loss,Other,17,1,1,1,10000,0,11,8,Full
25,31,500,1456,,Bachelor,Multi-vehicle Collision,Major Loss,Other,10,3,0,1,2000,0,18,12,Full
116,60,1000,887,,Bachelor,Single Vehicle Collision,Minor Loss,Police,10,1,1,1,5000,0,20,40,Full
115,61,2000,1226,,Bachelor,Multi-vehicle Collision,Major Loss,,3,3,1,1,7000,0,15,41,Full
86,53,500,966,,College,Multi-vehicle Collision,Minor Loss,,1,3,0,1,3000,0,9,33,Full
31,43,500,1328,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,20,1,1,1,2000,0,17,27,Full
67,52,2000,885,,Bachelor,Multi-vehicle Collision,Minor Loss,Police,23,3,1,1,1000,0,2,30,Full
35,55,2000,1025,,High School,Vehicle Theft,Minor Loss,Police,17,1,1,1,6000,0,14,35,Full
60,63,2000,1560,,Bachelor,Multi-vehicle Collision,Total Loss,Police,6,3,1,1,2000,0,10,44,Full
99,45,2000,1265,,High School,Single Vehicle Collision,Minor Loss,Police,11,1,1,1,4000,1,3,27,Full
42,61,1000,1594,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,1,2,1,1,6000,0,20,40,Full
52,28,1000,1603,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,19,1,0,0,5000,0,6,7,Full
94,40,1000,1017,,High School,Parked Car,Total Loss,Other,17,1,1,0,2000,0,12,19,Full
83,47,2000,1181,,High School,Multi-vehicle Collision,Major Loss,Other,9,3,1,1,10000,0,18,31,Full
109,40,1000,1591,,Masters,Single Vehicle Collision,Total Loss,Police,9,1,1,1,10000,0,10,23,Full
72,64,500,1089,,PhD,Single Vehicle Collision,Total Loss,Other,17,1,1,1,10000,0,2,43,Full
18,28,500,937,,Bachelor,Single Vehicle Collision,Major Loss,Police,11,1,1,1,2000,0,16,11,Full
95,42,2000,1615,,MD,Multi-vehicle Collision,Major Loss,Ambulance,18,3,1,1,1000,1,7,23,Full
82,31,500,864,,Bachelor,Parked Car,Minor Loss,Ambulance,6,1,1,1,3000,1,20,15,Full
31,28,2000,913,,Bachelor,Single Vehicle Collision,Total Loss,,23,1,1,1,3000,0,18,7,Full
116,38,2000,1092,,Bachelor,Vehicle Theft,Major Loss,Ambulance,20,1,1,0,10000,0,17,16,Full
26,49,500,1535,,High School,Single Vehicle Collision,Total Loss,Ambulance,8,1,0,1,10000,0,7,33,Full
94,46,2000,1606,,PhD,Multi-vehicle Collision,Minor Loss,Ambulance,1,3,0,1,3000,0,15,29,Full
19,37,500,867,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,10,1,0,1,9000,0,20,19,Full
64,43,500,966,,College,Multi-vehicle Collision,Major Loss,,11,3,1,0,2000,0,10,23,Full
104,59,2000,1138,,Masters,Vehicle Theft,Total Loss,,22,1,1,0,6000,0,9,41,Full
100,49,2000,984,,Bachelor,Single Vehicle Collision,Major Loss,Police,9,1,1,1,6000,0,0,33,Full
65,51,1000,1330,,High School,Vehicle Theft,Major Loss,,20,1,1,1,5000,0,14,30,Full
109,38,1000,1350,,High School,Single Vehicle Collision,Total Loss,Ambulance,18,1,1,1,1000,0,17,19,Full
22,56,500,989,,High School,Single Vehicle Collision,Minor Loss,Police,17,1,1,1,10000,0,5,38,Full
58,35,2000,1018,,Bachelor,Single Vehicle Collision,Minor Loss,,23,1,0,1,8000,0,6,17,Full
87,63,2000,1113,,High School,Parked Car,Major Loss,Other,4,1,1,0,10000,0,10,42,Full
115,44,500,1615,,Bachelor,Single Vehicle Collision,Major Loss,Police,3,1,1,1,2000,0,1,28,Full
29,34,1000,1532,,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,15,1,0,1,1000,0,1,13,Full
94,43,2000,966,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,20,1,1,0,8000,0,8,26,Full
48,39,500,1487,,College,Multi-vehicle Collision,Total Loss,Police,8,3,1,0,5000,0,5,23,Full
19,53,2000,1492,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,14,3,1,1,1000,0,8,35,Full
67,30,1000,937,,MD,Single Vehicle Collision,Minor Loss,,3,1,1,0,9000,0,9,12,Full
109,47,1000,1329,,Bachelor,Multi-vehicle Collision,Minor Loss,Police,12,2,1,1,10000,0,20,28,Full
49,52,1000,1378,,High School,Single Vehicle Collision,Minor Loss,Police,5,1,0,1,10000,0,20,34,Full
30,41,2000,958,,High School,Single Vehicle Collision,Major Loss,Ambulance,12,1,1,1,7000,0,2,22,Full
22,35,2000,1423,,High School,Multi-vehicle Collision,Total Loss,,7,3,0,1,4000,0,18,17,Full
56,55,1000,1338,,High School,Multi-vehicle Collision,Total Loss,,14,3,1,1,2000,0,1,38,Full
51,27,1000,1083,,High School,Single Vehicle Collision,Major Loss,Ambulance,0,1,1,0,2000,0,10,9,Full
78,30,2000,1217,,MD,Single Vehicle Collision,Total Loss,Police,21,1,1,1,6000,0,3,8,Full
70,25,500,1329,,PhD,Single Vehicle Collision,Total Loss,Ambulance,22,1,1,1,8000,0,7,6,Full
42,62,500,1486,,Bachelor,Single Vehicle Collision,Minor Loss,Other,20,1,1,1,2000,0,15,40,Full
92,63,1000,1263,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,5,1,0,0,7000,0,8,44,Full
61,44,2000,1047,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,21,1,1,1,2000,0,16,25,Full
73,31,1000,1039,,High School,Vehicle Theft,Minor Loss,Other,23,1,1,0,8000,0,14,13,Full
9,58,500,1143,,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,19,3,0,0,9000,0,19,36,Full
105,31,500,858,,High School,Single Vehicle Collision,Major Loss,,14,1,1,0,10000,0,10,12,Full
80,59,1000,1404,,Bachelor,Vehicle Theft,Major Loss,,15,1,1,1,9000,0,16,39,Full
32,60,500,1400,,Bachelor,Single Vehicle Collision,Minor Loss,Police,12,1,1,1,6000,0,6,43,Full
108,26,1000,1270,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,16,1,0,0,2000,1,7,8,Full
31,44,500,1195,,PhD,Multi-vehicle Collision,Major Loss,Ambulance,17,3,1,1,2000,0,8,25,Full
33,49,1000,1411,,Masters,Parked Car,Total Loss,Police,14,1,0,1,4000,0,8,27,Full
66,59,500,1304,,MD,Single Vehicle Collision,Minor Loss,Police,5,1,1,1,8000,0,2,42,Full
10,52,500,1583,,High School,Parked Car,Minor Loss,Other,9,1,1,1,7000,0,10,34,Full
92,40,2000,1531,,Masters,Multi-vehicle Collision,Minor Loss,Ambulance,1,2,0,1,3000,0,2,23,Full
69,32,1000,1340,,Bachelor,Vehicle Theft,Minor Loss,Police,22,1,1,1,6000,0,18,12,Full
66,44,500,1669,,High School,Multi-vehicle Collision,Major Loss,,23,3,1,1,9000,0,1,26,Full
80,53,2000,987,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,9,1,1,0,10000,0,9,31,Full
29,28,1000,1096,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,23,4,1,1,8000,0,5,9,Full
30,55,500,982,,High School,Vehicle Theft,Minor Loss,Other,1,1,1,0,2000,0,3,39,Full
78,25,2000,1211,,High School,Single Vehicle Collision,Major Loss,Police,18,1,1,1,3000,0,16,6,Full
42,28,500,1261,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,0,1,1,0,6000,0,14,10,Full
52,42,1000,1327,,PhD,Multi-vehicle Collision,Major Loss,Ambulance,20,3,0,1,8000,0,3,23,Full
105,42,1000,962,,Bachelor,Multi-vehicle Collision,Total Loss,,12,3,0,1,7000,0,12,26,Full
86,39,2000,1507,,Bachelor,Single Vehicle Collision,Total Loss,Police,5,1,1,0,7000,0,16,23,Full
55,43,500,1182,,Bachelor,Single Vehicle Collision,Minor Loss,Police,16,1,0,1,5000,0,16,21,Full
108,61,500,1433,,High School,Single Vehicle Collision,Total Loss,,15,1,1,1,10000,0,2,45,Full
64,25,2000,845,,College,Vehicle Theft,Total Loss,Ambulance,23,1,1,1,6000,0,14,3,P2
28,44,2000,1086,,High School,Parked Car,Total Loss,Police,10,1,0,1,2000,0,14,25,Full
11,45,1000,901,,Bachelor,Vehicle Theft,Total Loss,,18,1,1,1,4000,0,18,23,Full
19,38,2000,1262,,Masters,Multi-vehicle Collision,Major Loss,Police,3,2,1,1,1000,0,10,20,Full
92,58,1000,1655,,High School,Multi-vehicle Collision,Minor Loss,Other,18,4,1,1,1000,0,9,39,Full
111,48,1000,1119,,High School,Single Vehicle Collision,Major Loss,Ambulance,13,1,1,1,2000,0,20,32,Full
68,29,500,890,,MD,Multi-vehicle Collision,Major Loss,Police,5,2,0,1,1000,0,16,9,Full
37,56,1000,1648,,High School,Single Vehicle Collision,Major Loss,Ambulance,17,1,1,1,8000,0,11,40,Full
71,38,500,1124,,PhD,Multi-vehicle Collision,Minor Loss,Other,6,4,1,1,3000,0,6,17,Full
86,55,1000,1660,,Bachelor,Multi-vehicle Collision,Major Loss,Police,20,2,0,1,9000,0,17,33,Full
119,57,1000,1243,,Bachelor,Multi-vehicle Collision,Total Loss,,23,4,1,0,7000,0,9,41,Full
38,49,2000,854,,High School,Single Vehicle Collision,Major Loss,,15,1,1,1,2000,0,2,28,Full
8,51,2000,1021,,Masters,Multi-vehicle Collision,Minor Loss,Police,23,4,0,1,5000,0,9,33,Full
29,27,500,1534,,MD,Multi-vehicle Collision,Major Loss,Police,8,3,0,0,5000,0,18,8,Full
109,63,1000,1613,,Bachelor,Parked Car,Minor Loss,Police,6,1,1,0,10000,0,9,41,Full
20,50,2000,1248,,Bachelor,Single Vehicle Collision,Major Loss,Police,20,1,1,1,9000,0,0,32,Full
116,61,1000,1370,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,4,3,0,0,8000,0,12,42,Full
82,35,500,1657,,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,13,3,1,1,2000,0,20,14,Full
8,60,1000,1362,,Bachelor,Single Vehicle Collision,Major Loss,Police,10,1,1,1,10000,0,16,44,Full
105,55,1000,1653,,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,9,1,0,0,2000,1,12,39,Full
14,36,500,1555,,High School,Multi-vehicle Collision,Minor Loss,Police,9,3,1,1,6000,0,19,20,Full
78,43,1000,1187,,Masters,Parked Car,Total Loss,,9,1,1,0,1000,0,16,24,Full
103,54,500,1063,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,15,1,1,1,5000,0,10,38,Full
7,50,500,1664,,High School,Single Vehicle Collision,Minor Loss,Police,13,1,1,1,9000,0,12,32,Full
38,31,2000,901,,High School,Single Vehicle Collision,Major Loss,Ambulance,0,1,1,0,4000,0,15,13,Full
97,53,500,1650,,High School,Single Vehicle Collision,Major Loss,,8,1,1,1,9000,0,17,37,Full
74,60,2000,1440,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,5,2,1,1,3000,0,1,40,Full
55,43,2000,1489,,PhD,Multi-vehicle Collision,Major Loss,,19,2,1,1,5000,0,16,24,Full
62,39,1000,1608,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,8,3,1,0,8000,0,9,19,Full
73,51,2000,1292,,PhD,Multi-vehicle Collision,Minor Loss,Other,4,3,0,1,6000,0,13,30,Full
43,64,500,1050,,Bachelor,Parked Car,Major Loss,,18,1,0,1,9000,0,15,42,Full
31,61,2000,1190,,Bachelor,Single Vehicle Collision,Major Loss,,18,1,1,1,8000,0,10,45,Full
58,28,2000,1595,,Masters,Single Vehicle Collision,Major Loss,Other,18,1,0,0,6000,0,3,8,Full
111,63,1000,1629,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,16,3,0,1,3000,0,8,44,Full
103,35,500,1406,,College,Multi-vehicle Collision,Minor Loss,Ambulance,20,3,1,0,9000,0,1,14,Full
7,54,500,935,,Bachelor,Multi-vehicle Collision,Major Loss,,14,3,1,1,2000,0,14,35,Full
54,43,2000,1011,,High School,Single Vehicle Collision,Minor Loss,Other,22,1,0,0,1000,0,20,23,Full
47,27,500,1648,,Bachelor,Multi-vehicle Collision,Minor Loss,,21,3,0,1,9000,0,16,5,Full
20,35,1000,1247,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,1,1,1,0,6000,0,8,14,Full
111,36,1000,970,,High School,Multi-vehicle Collision,Major Loss,,2,3,0,1,7000,0,12,19,Full
37,33,1000,1296,,Bachelor,Multi-vehicle Collision,Total Loss,Police,17,3,0,0,7000,0,6,12,Full
72,50,2000,1237,,Bachelor,Multi-vehicle Collision,Major Loss,,9,3,1,1,4000,0,10,31,Full
90,25,2000,889,,Bachelor,Multi-vehicle Collision,Major Loss,Other,5,3,1,1,9000,0,6,9,Full
116,49,1000,1676,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,13,1,1,0,1000,0,15,33,Full
79,44,2000,1221,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,3,1,0,1,2000,0,5,28,Full
67,39,500,1109,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,21,1,1,1,7000,0,20,18,Full
89,48,1000,1351,,High School,Vehicle Theft,Major Loss,Police,8,1,1,0,10000,0,13,27,Full
89,37,1000,899,,Bachelor,Parked Car,Minor Loss,,6,1,1,1,1000,0,1,15,Full
37,49,2000,905,,College,Multi-vehicle Collision,Minor Loss,Police,22,4,1,0,6000,0,0,32,Full
28,38,2000,1044,,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,10,1,1,1,9000,0,20,22,Full
15,42,500,1465,,Masters,Multi-vehicle Collision,Total Loss,Other,20,3,0,0,3000,0,4,22,Full
17,48,2000,1193,,College,Multi-vehicle Collision,Minor Loss,,12,3,1,1,8000,0,6,31,Full
21,60,500,935,,High School,Single Vehicle Collision,Minor Loss,Police,2,1,1,0,7000,0,4,38,Full
35,31,500,1074,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,23,3,1,1,6000,1,19,10,Full
96,53,1000,1121,,College,Multi-vehicle Collision,Major Loss,Ambulance,10,3,1,0,7000,0,13,32,Full
89,61,1000,901,,PhD,Single Vehicle Collision,Total Loss,,16,1,1,0,8000,0,10,42,Full
68,64,500,1165,,Bachelor,Vehicle Theft,Total Loss,Ambulance,19,1,1,1,1000,0,11,47,Full
60,36,2000,1383,,MD,Single Vehicle Collision,Major Loss,,23,1,1,1,8000,0,6,20,Full
82,28,1000,1152,,High School,Vehicle Theft,Major Loss,Police,14,1,1,1,10000,0,12,12,Full
32,63,500,1033,,Masters,Multi-vehicle Collision,Major Loss,Police,15,4,1,1,8000,0,8,43,Full
68,51,2000,1211,,PhD,Single Vehicle Collision,Minor Loss,Ambulance,1,1,0,1,4000,0,4,32,Full
29,40,2000,1263,,Bachelor,Multi-vehicle Collision,Total Loss,Other,9,3,1,0,2000,0,13,21,Full
119,38,1000,1568,,High School,Parked Car,Minor Loss,Ambulance,14,1,1,0,8000,0,7,21,Full
66,42,1000,1223,,College,Single Vehicle Collision,Major Loss,Ambulance,4,1,1,1,4000,0,16,20,Full
34,42,1000,1284,,Bachelor,Multi-vehicle Collision,Major Loss,,17,3,1,0,7000,0,8,21,Full
10,29,2000,1635,,PhD,Parked Car,Total Loss,Ambulance,22,1,0,1,7000,0,10,8,Full
50,28,500,1386,,Bachelor,Single Vehicle Collision,Minor Loss,Police,23,1,1,0,2000,0,16,12,Full
72,63,2000,927,,Bachelor,Multi-vehicle Collision,Total Loss,Police,23,3,1,0,7000,0,9,47,Full
8,32,2000,1267,,College,Multi-vehicle Collision,Major Loss,Other,4,3,1,1,3000,0,20,15,Full
106,57,500,1093,,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,15,1,1,1,8000,0,16,39,Full
73,26,1000,1543,,Bachelor,Multi-vehicle Collision,Minor Loss,,6,2,1,1,9000,0,17,10,Full
81,34,500,1234,,High School,Multi-vehicle Collision,Major Loss,Ambulance,13,2,0,1,10000,0,20,12,Full
74,33,1000,1248,,Bachelor,Single Vehicle Collision,Minor Loss,Police,13,1,1,1,9000,0,8,14,Full
15,56,1000,1156,,High School,Multi-vehicle Collision,Minor Loss,Ambulance,18,3,0,1,7000,0,11,34,Full
50,28,1000,1614,,MD,Single Vehicle Collision,Major Loss,Ambulance,11,1,1,0,5000,0,14,7,Full
118,39,2000,1596,,High School,Multi-vehicle Collision,Total Loss,Ambulance,11,3,1,1,1000,0,13,22,Full
52,49,500,1068,,Bachelor,Single Vehicle Collision,Minor Loss,,1,1,1,0,2000,0,20,32,Full
96,33,2000,1145,,High School,Vehicle Theft,Major Loss,Police,15,1,0,0,4000,0,5,11,Full
68,36,1000,1095,,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,22,3,1,1,9000,1,6,16,Full
70,42,1000,878,,High School,Single Vehicle Collision,Total Loss,,17,1,1,1,10000,0,19,26,Full
52,51,2000,1144,,High School,Multi-vehicle Collision,Total Loss,Police,11,3,0,0,10000,0,16,30,Full
71,56,2000,1471,,College,Single Vehicle Collision,Major Loss,Other,23,1,0,1,3000,0,4,40,Full
106,56,2000,1466,,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,10,2,0,1,2000,0,11,37,Full
