driverAge,educationLevel,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
41,High School,111,1,1,25,Full
37,High School,6195,0,7,17,Full
36,Masters,99,0,16,19,Full
44,High School,8841,0,1,24,Full
56,Bachelor,104,0,6,39,Full
45,Masters,2117,1,13,27,Full
34,High School,1230,1,1,16,Full
48,Bachelor,100,0,10,32,Full
44,Bachelor,3532,0,10,27,Full
33,High School,866,0,1,16,Full
32,High School,103,1,8,15,Full
34,High School,7786,1,10,17,Full
38,High School,102,0,1,19,Full
35,High School,5426,0,4,13,Full
44,High School,100,0,12,25,Full
43,Masters,4148,0,15,21,Full
49,PhD,95,1,18,31,Full
46,Bachelor,104,1,11,27,Full
45,PhD,100,0,20,29,Full
46,Masters,96,1,12,24,Full
45,Masters,91,0,9,26,Full
48,Masters,91,0,17,27,Full
63,PhD,111,0,18,43,Full
44,Bachelor,111,0,1,27,Full
45,Bachelor,2371,0,11,27,Full
62,High School,4178,1,7,42,Full
48,High School,111,0,7,29,Full
37,Bachelor,4804,0,3,17,Full
35,High School,122,0,1,13,Full
48,High School,1354,0,1,28,Full
39,Bachelor,110,0,12,19,Full
49,Masters,115,0,14,30,Full
44,High School,103,0,1,24,Full
50,PhD,102,0,14,30,Full
30,High School,104,0,6,10,Full
54,Bachelor,97,0,11,38,Full
38,High School,103,0,6,16,Full
53,High School,2425,0,1,33,Full
53,Bachelor,111,0,8,34,Full
29,High School,105,0,1,11,Full
58,Masters,103,0,6,37,Full
55,Masters,108,0,13,34,Full
55,Bachelor,93,0,11,34,Full
56,High School,101,0,10,40,Full
39,High School,104,0,8,22,Full
44,Masters,99,0,9,23,Full
34,Masters,99,0,15,17,Full
34,High School,5711,0,1,15,Full
36,Masters,94,1,17,20,Full
41,Masters,13105,0,9,20,Full
46,Masters,4061,0,17,24,Full
45,High School,111,0,1,29,Full
42,Bachelor,94,0,14,25,Full
38,High School,95,0,8,20,Full
33,High School,7838,0,5,13,Full
37,Bachelor,3660,0,6,19,Full
42,Masters,100,0,14,26,Full
47,Bachelor,5125,0,10,26,Full
43,Bachelor,117,0,7,24,Full
52,Bachelor,95,0,10,34,Full
43,Masters,109,0,1,25,Full
64,High School,5085,0,1,43,Full
66,Masters,104,0,16,50,Full
60,PhD,100,0,15,39,Full
35,Bachelor,114,0,1,18,Full
52,High School,2143,0,5,36,Full
52,High School,110,0,1,34,Full
56,PhD,6484,0,13,38,Full
38,High School,99,0,10,19,Full
55,Masters,106,1,15,37,Full
47,Bachelor,97,0,13,28,Full
37,Bachelor,91,0,10,19,Full
47,Bachelor,96,0,9,30,Full
26,Bachelor,4028,0,8,8,Full
61,Masters,100,0,21,39,Full
41,Masters,2114,0,18,22,Full
40,High School,97,1,6,18,Full
52,Bachelor,97,1,11,33,Full
58,Masters,99,0,17,39,Full
52,Masters,98,0,17,34,Full
38,High School,8671,0,1,16,Full
41,High School,6287,0,1,22,Full
37,Bachelor,99,0,10,17,Full
48,Bachelor,104,0,1,31,Full
47,High School,94,0,9,29,Full
41,Masters,3524,0,14,22,Full
49,Bachelor,119,0,1,27,Full
41,High School,115,0,1,24,Full
47,Masters,92,0,11,29,Full
30,High School,105,0,1,13,Full
44,Masters,101,0,16,24,Full
46,Bachelor,112,0,7,28,Full
49,Bachelor,112,0,9,27,Full
33,Masters,105,0,4,14,Full
34,High School,106,0,7,18,Full
44,Masters,93,0,9,25,Full
43,Bachelor,1807,1,12,25,Full
62,PhD,113,0,15,43,Full
42,High School,10594,0,1,26,Full
36,High School,108,0,1,20,Full
47,Masters,100,0,14,25,Full
50,High School,103,0,7,34,Full
51,High School,93,1,1,29,Full
46,Masters,101,0,16,27,Full
50,High School,97,0,8,28,Full
43,Masters,6158,0,20,25,Full
39,High School,4887,1,1,20,Full
43,High School,97,0,1,27,Full
60,Masters,5147,0,15,40,Full
55,High School,109,0,1,39,Full
40,Bachelor,109,0,10,19,Full
39,Bachelor,104,0,13,17,Full
49,Masters,99,0,17,33,Full
38,High School,90,0,12,17,Full
42,Masters,88,0,18,24,Full
42,Masters,102,0,14,23,Full
49,High School,102,0,1,27,Full
36,Masters,103,0,14,18,Full
34,High School,95,0,7,15,Full
49,PhD,121,0,1,28,Full
52,High School,111,0,1,36,Full
50,PhD,100,0,11,34,Full
53,High School,115,0,7,37,Full
55,Bachelor,92,0,14,36,Full
40,High School,104,0,1,24,Full
40,Bachelor,104,0,8,22,Full
45,Masters,109,0,10,27,Full
80,Bachelor,101,0,10,64,Full
48,High School,91,0,1,28,Full
37,High School,91,0,11,18,Full
40,High School,111,0,1,20,Full
26,Bachelor,2214,0,16,5,Full
45,Bachelor,102,0,18,23,Full
46,High School,112,1,1,30,Full
42,PhD,6087,0,17,22,Full
36,Bachelor,105,0,4,17,Full
45,High School,112,0,1,24,Full
52,Bachelor,104,0,11,33,Full
41,High School,107,0,1,21,Full
36,High School,103,0,7,14,Full
56,Bachelor,115,0,9,35,Full
53,High School,118,0,7,36,Full
39,High School,3894,0,7,18,Full
38,Bachelor,107,0,9,19,Full
45,High School,2659,1,1,29,Full
46,High School,98,0,9,30,Full
43,High School,112,0,5,27,Full
54,Bachelor,113,0,9,33,Full
55,Masters,96,0,19,34,Full
61,High School,104,0,1,39,Full
50,Masters,103,0,19,33,Full
62,High School,3705,0,1,46,Full
53,Bachelor,6693,0,5,33,Full
52,High School,98,0,4,35,Full
54,Bachelor,101,0,6,32,Full
53,Bachelor,102,0,13,32,Full
51,Masters,103,0,9,30,Full
39,High School,92,0,1,20,Full
38,Masters,97,0,15,21,Full
42,High School,4380,0,1,26,Full
31,High School,1826,1,7,15,Full
44,Masters,100,0,10,24,Full
41,Masters,113,0,17,22,Full
36,High School,6716,0,10,17,Full
48,Bachelor,105,0,10,31,Full
49,High School,111,0,1,27,Full
45,Masters,4644,1,10,24,Full
47,High School,104,0,1,26,Full
41,Bachelor,105,0,6,25,Full
45,High School,119,0,1,29,Full
53,High School,94,0,8,36,Full
51,High School,106,0,1,33,Full
51,Masters,110,0,1,35,Full
36,Masters,53571,1,20,14,Full
43,Bachelor,110,0,6,24,Full
43,High School,97,1,1,21,Full
53,High School,4257,0,7,32,Full
40,Masters,98,0,14,23,Full
31,High School,4277,0,5,14,Full
32,High School,2832,1,8,10,Full
58,PhD,19597,0,14,38,Full
49,Masters,101,0,23,33,Full
50,Masters,103,0,18,29,Full
45,High School,98,0,1,29,Full
46,Masters,109,0,17,27,Full
47,High School,94,0,13,29,Full
43,Bachelor,97,0,7,24,Full
41,Bachelor,100,0,8,23,Full
48,PhD,97,0,17,28,Full
39,High School,92,0,8,17,Full
49,High School,115,0,1,30,Full
45,High School,108,0,1,23,Full
36,Masters,101,0,17,14,Full
59,Masters,2738,0,16,38,Full
60,Masters,95,0,15,39,Full
49,Bachelor,108,0,12,30,Full
45,High School,115,0,1,29,Full
34,High School,98,0,5,15,Full
57,High School,1146,0,4,41,Full
33,Bachelor,103,0,5,13,Full
52,High School,94,0,12,34,Full
53,High School,103,0,10,31,Full
57,Bachelor,95,0,9,38,Full
37,Bachelor,107,0,9,16,Full
45,Bachelor,99,0,8,24,Full
38,Bachelor,107,0,4,18,Full
36,High School,115,0,7,20,Full
51,High School,103,0,1,33,Full
39,Masters,4658,1,12,20,Full
51,High School,116,1,6,32,Full
40,High School,112,0,1,23,Full
54,High School,5259,0,9,33,Full
34,Bachelor,104,0,13,15,Full
41,Masters,101,0,12,19,Full
36,Bachelor,91,0,15,16,Full
55,High School,104,0,1,34,Full
45,Masters,110,0,11,24,Full
45,High School,3769,1,8,26,Full
50,Masters,98,0,11,31,Full
44,High School,5733,0,1,27,Full
55,Bachelor,96,0,13,38,Full
44,High School,4363,0,1,27,Full
50,Masters,104,0,8,31,Full
60,PhD,95,1,14,38,Full
40,High School,102,0,4,22,Full
57,High School,97,0,8,39,Full
47,Masters,101,0,12,27,Full
47,High School,5523,0,8,28,Full
64,Masters,7390,0,9,47,Full
34,Masters,1165,0,20,16,Full
52,Masters,119,0,17,33,Full
42,Masters,2362,0,11,21,Full
41,High School,98,0,6,20,Full
41,Bachelor,100,0,3,20,Full
42,High School,6142,0,5,25,Full
54,Masters,102,1,18,34,Full
42,Bachelor,106,0,1,24,Full
56,PhD,110,0,17,38,Full
50,PhD,101,0,20,34,Full
59,High School,101,1,10,42,Full
51,Masters,106,0,14,30,Full
53,PhD,686,0,14,37,Full
35,High School,110,0,1,15,Full
54,PhD,1065,0,14,38,Full
50,Masters,5075,1,11,31,Full
29,Bachelor,92,1,9,11,Full
32,High School,105,1,1,11,Full
57,High School,680,0,1,35,Full
43,Bachelor,95,0,11,22,Full
44,Bachelor,107,1,8,22,Full
38,Bachelor,98,0,10,22,Full
37,Bachelor,106,1,10,15,Full
55,Bachelor,109,0,8,39,Full
51,Bachelor,107,1,10,30,Full
42,Bachelor,2287,0,12,25,Full
45,High School,6195,0,1,28,Full
54,Masters,4862,0,18,38,Full
48,Masters,108,0,14,29,Full
54,Masters,107,0,10,38,Full
48,Bachelor,106,0,9,29,Full
50,High School,120,0,1,34,Full
25,High School,9776,0,1,5,Full
55,Masters,5546,0,21,35,Full
35,PhD,101,0,10,19,Full
29,High School,3418,0,1,12,Full
45,High School,4423,1,1,26,Full
37,Bachelor,106,0,9,17,Full
56,PhD,92,0,17,37,Full
45,Masters,116,0,1,27,Full
51,Masters,99,0,8,29,Full
48,Bachelor,104,0,10,27,Full
52,High School,108,0,1,35,Full
40,High School,102,0,5,23,Full
41,Masters,2328,0,18,23,Full
44,PhD,115,0,0,27,Full
54,Masters,103,0,13,33,Full
42,Masters,96,0,19,22,Full
50,High School,104,0,5,29,Full
38,High School,4700,0,5,20,Full
36,High School,97,0,10,15,Full
62,Bachelor,6880,1,15,41,Full
47,Bachelor,105,0,7,27,Full
47,PhD,120,0,1,27,Full
46,High School,100,0,6,25,Full
42,Masters,93,0,19,21,Full
44,Masters,120,0,13,26,Full
36,High School,3644,0,7,17,Full
33,High School,109,0,1,12,Full
35,High School,4758,0,1,16,Full
43,PhD,106,0,11,21,Full
45,Masters,4875,0,14,23,Full
55,PhD,96,0,11,38,Full
27,High School,109,0,5,5,Full
41,Masters,102,0,15,23,Full
40,Bachelor,104,0,1,20,Full
43,Masters,108,0,15,24,Full
42,Bachelor,110,0,7,23,Full
57,High School,98,1,11,40,Full
56,Bachelor,104,0,8,39,Full
64,High School,17290,0,3,43,Full
32,High School,5395,1,1,10,Full
39,Bachelor,5021,0,10,18,Full
37,Bachelor,102,0,11,20,Full
45,High School,108,1,5,28,Full
39,Bachelor,104,0,7,21,Full
32,High School,2891,0,8,16,Full
44,Bachelor,104,0,10,25,Full
39,High School,105,0,1,22,Full
41,High School,111,0,1,21,Full
35,High School,3149,0,1,16,Full
64,High School,3602,0,6,47,Full
46,PhD,93,0,23,29,Full
59,PhD,108,0,18,41,Full
39,High School,2516,1,4,23,Full
44,High School,2449,0,10,22,Full
40,High School,3259,0,1,24,Full
43,High School,102,0,1,25,Full
48,Bachelor,101,0,12,28,Full
38,Bachelor,21823,0,13,16,Full
48,High School,119,1,1,32,Full
60,Bachelor,100,0,13,40,Full
59,PhD,95,0,13,40,Full
43,Masters,108,0,15,24,Full
43,High School,3085,0,1,27,Full
64,Masters,113,0,11,48,Full
55,Bachelor,3593,0,14,36,Full
35,High School,103,0,8,14,Full
54,High School,458,0,9,35,Full
35,High School,104,0,1,13,Full
46,Masters,6143,0,13,30,Full
26,Bachelor,4524,0,6,7,Full
43,High School,4480,1,10,27,Full
43,Masters,104,1,18,22,Full
54,Masters,107,0,15,36,Full
55,Masters,102,0,18,38,Full
45,High School,103,0,8,29,Full
42,High School,5619,0,1,22,Full
46,High School,1766,0,1,30,Full
47,High School,101,0,8,28,Full
45,Bachelor,107,0,9,25,Full
55,High School,105,0,1,35,Full
43,High School,108,0,1,26,Full
53,Bachelor,105,0,7,37,Full
49,Bachelor,104,0,10,31,Full
30,Bachelor,124,0,9,8,Full
47,Masters,102,0,15,25,Full
41,PhD,114,0,1,21,Full
49,Masters,92,0,15,29,Full
44,High School,100,0,6,26,Full
31,PhD,97,0,14,11,Full
51,Masters,2262,0,1,29,Full
50,High School,96,0,8,31,Full
58,High School,40152,1,1,40,Full
56,Masters,101,0,14,37,Full
41,Masters,1237,0,11,25,Full
37,High School,2876,0,7,16,Full
57,High School,105,0,1,36,Full
37,High School,1650,0,1,16,Full
34,Bachelor,91,0,9,18,Full
49,High School,14834,1,1,33,Full
42,High School,1796,1,1,21,Full
38,Bachelor,88,0,9,19,Full
55,Bachelor,98,0,12,35,Full
37,Bachelor,4057,0,8,17,Full
25,High School,5177,0,9,4,P2
44,Bachelor,104,0,15,26,Full
20,High School,100,0,9,2,P1
40,High School,5287,0,1,20,Full
32,Masters,1444,0,15,10,Full
35,High School,121,0,1,18,Full
37,Bachelor,100,0,7,18,Full
58,Masters,92,1,7,39,Full
40,High School,104,0,1,21,Full
54,High School,3008,0,5,37,Full
39,High School,104,0,1,21,Full
49,High School,3943,0,6,28,Full
48,High School,118,0,10,30,Full
42,High School,2316,0,1,23,Full
37,High School,5363,1,4,15,Full
56,High School,104,0,10,35,Full
48,Bachelor,5051,0,6,30,Full
21,Bachelor,6245,0,1,2,P1
33,High School,106,0,5,13,Full
38,Bachelor,107,0,1,18,Full
33,High School,109,0,5,15,Full
51,Masters,96,0,10,30,Full
45,Bachelor,105,0,7,28,Full
40,Masters,2872,0,19,18,Full
58,High School,6101,0,6,40,Full
50,Bachelor,105,0,9,29,Full
39,Bachelor,96,0,14,23,Full
50,High School,98,1,7,28,Full
39,High School,119,0,5,20,Full
19,High School,120,0,1,3,P2
49,Bachelor,105,0,7,31,Full
33,High School,117,0,6,13,Full
43,Masters,92,0,20,24,Full
48,High School,98,0,1,30,Full
45,High School,104,0,6,28,Full
39,Bachelor,86,0,8,21,Full
32,High School,1347,1,9,15,Full
45,Masters,99,0,9,25,Full
46,Masters,4579,0,18,25,Full
53,PhD,99,0,16,36,Full
63,High School,6228,0,1,41,Full
51,High School,117,0,6,29,Full
36,High School,111,0,5,20,Full
72,High School,4997,0,1,51,Full
51,High School,106,1,6,35,Full
39,Bachelor,101,0,9,23,Full
34,Bachelor,109,0,13,18,Full
53,PhD,104,0,13,31,Full
45,Masters,92,1,9,29,Full
36,High School,8662,1,8,19,Full
36,High School,105,0,1,20,Full
32,High School,102,0,1,13,Full
43,Masters,98,0,22,21,Full
54,Bachelor,106,0,12,37,Full
57,PhD,98,0,17,37,Full
47,High School,110,0,1,30,Full
36,High School,93,0,1,18,Full
43,High School,110,0,1,23,Full
46,PhD,100,1,16,30,Full
41,Bachelor,115,0,7,25,Full
55,High School,100,0,1,37,Full
63,Bachelor,5952,1,11,42,Full
45,High School,5252,0,8,29,Full
35,High School,5440,0,7,15,Full
60,Bachelor,95,0,8,40,Full
51,Bachelor,122,0,4,31,Full
43,High School,110,0,1,26,Full
39,High School,96,0,8,17,Full
33,High School,7719,1,1,11,Full
37,High School,109,0,7,20,Full
39,High School,8289,0,1,19,Full
43,Bachelor,94,0,10,26,Full
48,Bachelor,95,0,10,27,Full
45,High School,115,0,7,28,Full
56,High School,2353,0,7,37,Full
37,High School,98,0,9,16,Full
40,PhD,105,0,13,23,Full
51,Bachelor,101,0,11,32,Full
42,High School,117,0,1,21,Full
41,Masters,2289,0,17,22,Full
46,High School,104,0,1,24,Full
35,High School,98,0,1,13,Full
43,Masters,105,0,13,26,Full
64,Masters,103,0,9,47,Full
46,Bachelor,101,0,6,29,Full
39,Masters,94,1,12,17,Full
69,Bachelor,102,0,11,53,Full
35,High School,120,0,6,16,Full
44,Bachelor,96,0,15,28,Full
44,Bachelor,103,0,5,24,Full
39,Bachelor,104,0,13,22,Full
56,Masters,95,1,11,36,Full
59,PhD,95,0,14,38,Full
41,High School,111,0,1,25,Full
57,High School,5457,1,7,38,Full
43,High School,90,0,1,21,Full
42,High School,3428,1,8,24,Full
52,Masters,94,0,10,35,Full
46,High School,106,0,1,26,Full
51,High School,85,0,9,31,Full
43,Masters,103,0,13,23,Full
52,Masters,104,0,16,36,Full
43,Masters,105,0,15,27,Full
47,Masters,100,0,17,29,Full
44,High School,107,0,2,23,Full
48,Masters,100,0,1,32,Full
33,High School,4898,0,11,11,Full
41,Bachelor,4046,0,10,22,Full
49,High School,103,0,7,30,Full
50,High School,2812,0,8,30,Full
42,Masters,94,0,16,20,Full
33,Bachelor,102,0,10,16,Full
42,Bachelor,98,0,10,22,Full
41,High School,5050,0,8,22,Full
40,High School,95,0,9,21,Full
51,Bachelor,102,0,1,32,Full
57,Bachelor,3782,0,11,37,Full
42,High School,3443,0,1,24,Full
46,High School,99,0,10,29,Full
56,Bachelor,104,0,6,38,Full
52,Bachelor,100,0,6,34,Full
38,High School,101,0,1,21,Full
43,High School,46858,0,1,24,Full
40,Bachelor,109,0,7,21,Full
54,High School,112,0,3,34,Full
51,Bachelor,2058,0,8,31,Full
27,Bachelor,1958,0,5,9,Full
56,High School,93,0,8,39,Full
48,Bachelor,103,0,4,31,Full
47,Masters,92,0,14,31,Full
38,High School,98,0,7,22,Full
27,Bachelor,4313,0,6,9,Full
33,High School,1736,0,1,13,Full
42,High School,4257,0,8,23,Full
55,High School,3492,1,1,34,Full
50,High School,1413,0,1,28,Full
48,Bachelor,95,0,8,29,Full
33,High School,112,0,9,15,Full
53,Bachelor,122,0,6,36,Full
58,Bachelor,115,0,12,42,Full
43,Bachelor,111,0,11,23,Full
49,High School,101,0,8,32,Full
40,High School,1036,0,8,20,Full
54,High School,3722,0,1,34,Full
38,PhD,97,0,17,20,Full
49,Bachelor,105,1,7,33,Full
39,Masters,6827,1,7,23,Full
37,High School,102,0,11,16,Full
27,High School,1842,0,1,8,Full
48,Bachelor,102,0,1,31,Full
47,Masters,8798,1,9,26,Full
38,High School,102,0,1,17,Full
44,High School,100,0,8,27,Full
44,High School,111,0,1,23,Full
46,High School,104,0,5,24,Full
50,High School,95,0,8,34,Full
37,Bachelor,92,0,8,15,Full
24,Bachelor,112,0,13,4,P2
37,Bachelor,5636,0,11,18,Full
38,High School,103,0,7,17,Full
43,Bachelor,3414,1,8,24,Full
46,High School,99,0,9,26,Full
36,Bachelor,7161,0,3,17,Full
50,High School,96,0,6,28,Full
31,Masters,94,0,14,11,Full
47,High School,26305,1,1,28,Full
42,High School,5717,0,5,26,Full
44,Bachelor,104,0,12,23,Full
59,Bachelor,116,1,12,40,Full
40,PhD,104,0,1,21,Full
31,High School,4306,0,1,9,Full
40,PhD,107,0,17,23,Full
36,High School,1813,1,9,17,Full
54,Bachelor,111,0,9,33,Full
45,Masters,100,0,9,24,Full
58,High School,101,0,1,38,Full
39,High School,111,0,8,23,Full
46,PhD,117,0,18,27,Full
32,High School,105,1,8,10,Full
57,High School,2463,1,1,41,Full
47,Bachelor,465,0,7,31,Full
44,High School,105,1,1,25,Full
44,Masters,5016,1,10,22,Full
46,Bachelor,101,0,6,29,Full
55,PhD,100,0,18,37,Full
52,PhD,104,0,16,33,Full
43,PhD,115,0,9,25,Full
52,High School,114,1,1,33,Full
51,High School,108,0,1,35,Full
47,High School,3354,0,1,28,Full
52,Bachelor,104,0,13,34,Full
34,High School,111,1,9,12,Full
41,PhD,107,0,12,25,Full
48,High School,5911,0,1,29,Full
67,High School,118,0,1,45,Full
43,High School,99,1,1,26,Full
36,Bachelor,1368,0,8,16,Full
58,High School,3998,1,1,39,Full
37,Bachelor,101,0,10,20,Full
44,PhD,108,0,18,26,Full
51,Bachelor,101,0,9,30,Full
28,Bachelor,109,0,7,11,Full
50,High School,102,0,6,30,Full
44,Masters,95,0,14,27,Full
52,Bachelor,93,0,10,31,Full
41,Masters,97,0,9,22,Full
42,Bachelor,108,0,6,25,Full
37,Bachelor,3854,0,13,18,Full
58,High School,3231,0,5,40,Full
32,High School,94,0,9,12,Full
38,Bachelor,4611,1,10,17,Full
42,PhD,99,0,23,25,Full
42,High School,99,0,5,22,Full
44,High School,105,0,6,27,Full
46,High School,86,0,10,24,Full
44,High School,110,0,7,24,Full
37,Bachelor,105,0,8,20,Full
45,High School,93,0,1,27,Full
48,Bachelor,95,0,8,27,Full
72,Masters,917,0,6,50,Full
52,Masters,94,0,16,31,Full
48,High School,102,0,11,30,Full
40,High School,9162,0,1,21,Full
49,Bachelor,105,0,7,32,Full
62,Bachelor,121,0,4,44,Full
45,High School,110,0,6,27,Full
32,Bachelor,3829,0,11,10,Full
42,High School,105,0,8,20,Full
33,High School,112,0,10,13,Full
43,High School,106,0,1,25,Full
57,PhD,4846,0,5,39,Full
22,Masters,94,0,20,3,P2
53,Masters,6409,0,8,31,Full
43,High School,97,0,6,21,Full
47,Masters,117,0,18,31,Full
44,High School,3844,0,8,23,Full
50,PhD,88,0,20,30,Full
48,High School,97,0,1,30,Full
42,High School,101,0,9,26,Full
51,Bachelor,104,0,11,35,Full
32,Bachelor,95,1,9,14,Full
50,High School,99,0,1,31,Full
52,PhD,116,0,11,31,Full
41,High School,102,0,5,19,Full
39,High School,113,0,10,17,Full
27,High School,2595,0,4,6,Full
53,High School,5951,0,6,32,Full
48,High School,108,0,7,26,Full
52,Masters,121,0,1,35,Full
38,Bachelor,97,0,9,16,Full
53,High School,99,0,6,32,Full
40,High School,105,0,1,21,Full
49,PhD,116,1,20,31,Full
59,Bachelor,108,0,9,39,Full
34,High School,106,0,9,17,Full
52,Bachelor,98,0,11,35,Full
35,Bachelor,22134,0,1,17,Full
46,Masters,108,0,9,28,Full
56,Masters,101,0,12,36,Full
48,Bachelor,60838,0,9,26,Full
36,PhD,2705,0,20,15,Full
30,High School,103,0,1,11,Full
62,High School,16840,0,1,40,Full
50,High School,107,0,1,30,Full
55,Masters,4423,1,14,34,Full
52,High School,120,0,3,34,Full
59,Bachelor,5363,0,10,39,Full
33,High School,102,0,1,11,Full
46,Masters,9893,0,9,25,Full
46,Masters,105,0,13,28,Full
24,Masters,5495,0,16,7,Full
55,PhD,5386,0,20,35,Full
48,High School,4194,0,6,32,Full
42,Bachelor,5061,1,10,25,Full
50,High School,93,0,8,34,Full
33,Bachelor,110,0,4,15,Full
56,Bachelor,105,0,1,40,Full
49,High School,92,1,1,30,Full
53,High School,122,0,6,32,Full
52,High School,89,0,8,34,Full
60,Masters,5190,0,22,44,Full
49,Bachelor,111,0,4,31,Full
21,High School,3038,0,1,2,P1
50,Masters,1030,0,15,34,Full
30,Bachelor,108,0,13,14,Full
36,Masters,96,0,9,19,Full
30,Bachelor,102,0,7,14,Full
53,Masters,107,0,14,32,Full
49,Bachelor,108,0,6,33,Full
62,PhD,113,0,1,44,Full
38,PhD,101,0,8,19,Full
59,High School,5109,0,5,39,Full
53,Masters,99,0,11,31,Full
46,High School,97,0,9,25,Full
30,Masters,2424,0,20,11,Full
42,Bachelor,96,0,6,23,Full
49,Masters,100,0,17,33,Full
57,PhD,105,1,8,35,Full
46,High School,112,0,10,26,Full
43,High School,93,0,7,21,Full
50,Bachelor,98,0,11,30,Full
42,Bachelor,27496,0,8,23,Full
42,Masters,108,0,17,20,Full
48,PhD,94,0,13,30,Full
38,High School,5862,0,1,18,Full
53,PhD,104,0,5,33,Full
56,High School,106,0,6,34,Full
51,PhD,109,0,15,30,Full
43,High School,109,0,1,24,Full
52,Masters,100,0,13,31,Full
42,Masters,105,0,19,21,Full
32,High School,3960,0,1,15,Full
42,PhD,92,0,12,22,Full
27,Bachelor,101,0,7,5,Full
38,Masters,116,0,2,17,Full
46,Bachelor,107,0,10,25,Full
38,High School,100,0,1,19,Full
41,Masters,118,0,17,24,Full
41,Bachelor,1226,0,1,22,Full
42,High School,114,1,5,21,Full
37,Bachelor,2471,0,1,18,Full
26,High School,3435,0,1,8,Full
47,Bachelor,126,1,1,31,Full
44,Bachelor,113,0,9,22,Full
55,High School,104,0,6,38,Full
39,High School,100,0,1,18,Full
56,Masters,107,0,14,35,Full
48,Bachelor,104,0,8,27,Full
45,Masters,117,0,11,23,Full
50,Masters,103,0,15,34,Full
56,Masters,97,0,19,39,Full
51,Masters,2838,1,17,29,Full
36,PhD,4402,0,21,15,Full
31,High School,104,0,1,14,Full
40,High School,96,0,1,19,Full
44,High School,103,0,4,22,Full
54,High School,5722,1,9,34,Full
33,High School,105,0,1,15,Full
54,Masters,6220,0,16,36,Full
40,Bachelor,97,0,11,21,Full
38,Bachelor,103,0,12,16,Full
58,Bachelor,3879,0,13,36,Full
42,High School,2962,0,5,20,Full
43,High School,99,0,5,27,Full
41,High School,87,0,13,20,Full
45,High School,105,0,7,24,Full
53,Masters,101,0,10,34,Full
53,Bachelor,93,0,12,35,Full
30,High School,94,0,8,11,Full
32,Bachelor,4405,0,1,14,Full
50,High School,101,0,8,32,Full
42,High School,97,0,8,25,Full
42,Bachelor,5378,0,10,23,Full
41,Masters,124,0,19,24,Full
39,Bachelor,106,0,9,20,Full
27,Masters,97,0,12,6,Full
43,Masters,96,0,8,21,Full
45,High School,106,0,1,27,Full
43,High School,105,1,1,22,Full
33,Bachelor,2044,0,15,15,Full
48,High School,102,1,1,28,Full
52,High School,100,0,1,35,Full
47,Bachelor,106,0,9,26,Full
55,Bachelor,98,0,9,33,Full
51,High School,108,0,6,35,Full
47,High School,106,0,1,28,Full
28,High School,835,0,10,7,Full
51,Bachelor,95,0,11,35,Full
42,PhD,2931,0,14,22,Full
47,Bachelor,91,0,13,29,Full
40,High School,107,0,1,23,Full
30,High School,4578,1,1,14,Full
53,Masters,103,0,16,36,Full
33,Bachelor,2982,0,10,15,Full
42,Bachelor,106,0,16,25,Full
53,Bachelor,91,0,11,31,Full
