index,timeAsCustomer,driverAge,insuranceAccess,insurancePremium,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
31,64.0,25.0,1000.0,954.0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,22.0,4.0,0.0,0.0,75600.0,0,10.0,4.0,P2
32,166.0,37.0,2000.0,1337.0,JD,Multi-vehicle Collision,Major Damage,Police,10.0,3.0,2.0,0.0,67140.0,1,9.0,15.0,Full
33,155.0,35.0,1000.0,1088.0,Associate,Multi-vehicle Collision,Total Loss,Police,16.0,3.0,2.0,0.0,29790.0,0,7.0,19.0,Full
34,114.0,30.0,1000.0,1558.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,1.0,3.0,1.0,0.0,77110.0,0,0.0,12.0,Full
35,149.0,37.0,500.0,1416.0,PhD,Single Vehicle Collision,Total Loss,Fire,17.0,1.0,0.0,1.0,64800.0,0,16.0,18.0,Full
36,147.0,33.0,1000.0,1334.0,High School,Single Vehicle Collision,Major Damage,Other,15.0,1.0,2.0,1.0,53100.0,1,20.0,17.0,Full
37,62.0,28.0,1000.0,988.0,Masters,Single Vehicle Collision,Total Loss,Police,3.0,1.0,1.0,1.0,60200.0,1,11.0,11.0,Full
38,289.0,49.0,2000.0,1222.0,JD,Parked Car,Minor Damage,None,16.0,1.0,1.0,1.0,5330.0,0,14.0,30.0,Full
39,431.0,54.0,2000.0,1156.0,MD,Multi-vehicle Collision,Major Damage,Police,4.0,3.0,2.0,0.0,62300.0,0,8.0,33.0,Full
40,199.0,37.0,500.0,1262.0,JD,Single Vehicle Collision,Major Damage,Ambulance,4.0,1.0,0.0,0.0,60170.0,1,4.0,18.0,Full
41,79.0,26.0,500.0,1452.0,Associate,Single Vehicle Collision,Minor Damage,Ambulance,19.0,1.0,2.0,0.0,40000.0,0,5.0,7.0,Full
42,116.0,34.0,500.0,1738.0,Associate,Single Vehicle Collision,Major Damage,Police,1.0,1.0,1.0,0.0,97080.0,1,14.0,12.0,Full
43,37.0,23.0,500.0,1476.0,College,Multi-vehicle Collision,Minor Damage,Other,17.0,3.0,1.0,0.0,51660.0,0,5.0,7.0,Full
44,106.0,30.0,500.0,538.0,PhD,Single Vehicle Collision,Total Loss,Other,23.0,1.0,2.0,0.0,51120.0,0,10.0,13.0,Full
45,269.0,44.0,2000.0,1081.0,JD,Single Vehicle Collision,Minor Damage,Other,14.0,1.0,0.0,0.0,56400.0,0,1.0,27.0,Full
46,265.0,40.0,1000.0,1454.0,MD,Multi-vehicle Collision,Total Loss,Other,17.0,3.0,2.0,0.0,55120.0,0,13.0,23.0,Full
47,163.0,33.0,500.0,1240.0,Associate,Multi-vehicle Collision,Total Loss,Fire,11.0,3.0,1.0,0.0,77110.0,0,1.0,17.0,Full
48,355.0,47.0,2000.0,1274.0,College,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,2.0,0.0,62800.0,1,12.0,29.0,Full
49,175.0,34.0,1000.0,1124.0,PhD,Vehicle Theft,Trivial Damage,Police,5.0,1.0,2.0,1.0,7290.0,0,20.0,14.0,Full
50,192.0,35.0,1000.0,1246.0,Masters,Single Vehicle Collision,Total Loss,Other,19.0,1.0,0.0,0.0,76600.0,0,15.0,16.0,Full
51,430.0,59.0,2000.0,1327.0,MD,Multi-vehicle Collision,Minor Damage,Fire,19.0,3.0,0.0,1.0,81800.0,0,17.0,37.0,Full
52,91.0,27.0,2000.0,1074.0,JD,Vehicle Theft,Trivial Damage,None,4.0,1.0,1.0,0.0,7260.0,0,7.0,8.0,Full
53,217.0,39.0,1000.0,1531.0,College,Vehicle Theft,Minor Damage,None,8.0,1.0,2.0,1.0,4300.0,0,15.0,21.0,Full
54,223.0,40.0,500.0,1201.0,JD,Multi-vehicle Collision,Major Damage,Police,7.0,3.0,1.0,0.0,70510.0,0,16.0,20.0,Full
55,195.0,39.0,1000.0,1394.0,PhD,Parked Car,Minor Damage,Police,5.0,1.0,0.0,1.0,2640.0,0,6.0,21.0,Full
56,22.0,26.0,1000.0,1277.0,PhD,Single Vehicle Collision,Minor Damage,Fire,3.0,1.0,1.0,0.0,78900.0,0,20.0,10.0,Full
57,439.0,56.0,500.0,1082.0,PhD,Multi-vehicle Collision,Major Damage,Fire,12.0,3.0,2.0,0.0,56430.0,0,1.0,40.0,Full
58,94.0,32.0,1000.0,1415.0,Masters,Parked Car,Minor Damage,None,19.0,1.0,1.0,0.0,2400.0,0,1.0,12.0,Full
59,11.0,39.0,2000.0,1470.0,PhD,Single Vehicle Collision,Total Loss,Ambulance,22.0,1.0,0.0,0.0,65790.0,0,8.0,18.0,Full
60,151.0,36.0,2000.0,871.0,MD,Multi-vehicle Collision,Minor Damage,Police,12.0,3.0,1.0,0.0,62920.0,0,15.0,15.0,Full
61,154.0,34.0,500.0,795.0,PhD,Multi-vehicle Collision,Major Damage,Police,15.0,3.0,2.0,0.0,69480.0,1,1.0,12.0,Full
62,245.0,44.0,1000.0,1168.0,JD,Multi-vehicle Collision,Total Loss,Other,23.0,3.0,0.0,0.0,44280.0,0,18.0,28.0,Full
63,119.0,32.0,1000.0,994.0,High School,Single Vehicle Collision,Minor Damage,Other,12.0,1.0,0.0,1.0,56300.0,0,4.0,12.0,Full
64,215.0,42.0,500.0,1849.0,JD,Multi-vehicle Collision,Major Damage,Fire,20.0,3.0,2.0,1.0,68520.0,1,12.0,25.0,Full
65,295.0,42.0,2000.0,1642.0,PhD,Multi-vehicle Collision,Total Loss,Fire,16.0,3.0,0.0,0.0,59130.0,1,9.0,22.0,Full
66,254.0,39.0,500.0,1363.0,MD,Multi-vehicle Collision,Minor Damage,Ambulance,6.0,3.0,2.0,0.0,82320.0,1,20.0,22.0,Full
67,107.0,31.0,500.0,1239.0,High School,Single Vehicle Collision,Minor Damage,Fire,12.0,1.0,0.0,0.0,89700.0,1,6.0,13.0,Full
68,478.0,64.0,500.0,835.0,Associate,Multi-vehicle Collision,Minor Damage,Fire,17.0,3.0,1.0,0.0,33930.0,0,17.0,46.0,Full
69,128.0,30.0,1000.0,1061.0,MD,Single Vehicle Collision,Major Damage,Ambulance,8.0,1.0,0.0,0.0,68530.0,0,18.0,14.0,Full
70,338.0,49.0,1000.0,1279.0,MD,Parked Car,Minor Damage,None,13.0,1.0,0.0,0.0,4300.0,0,11.0,32.0,Full
71,271.0,42.0,500.0,1105.0,Associate,Multi-vehicle Collision,Major Damage,Other,12.0,2.0,2.0,0.0,68310.0,1,12.0,25.0,Full
72,222.0,41.0,2000.0,1056.0,MD,Single Vehicle Collision,Total Loss,Other,7.0,1.0,0.0,0.0,61290.0,1,20.0,24.0,Full
73,199.0,41.0,1000.0,896.0,Associate,Single Vehicle Collision,Minor Damage,Ambulance,10.0,1.0,1.0,0.0,30100.0,0,16.0,24.0,Full
74,215.0,37.0,500.0,1633.0,College,Multi-vehicle Collision,Minor Damage,Fire,7.0,3.0,2.0,1.0,57120.0,0,13.0,18.0,Full
75,192.0,40.0,1000.0,1406.0,Associate,Multi-vehicle Collision,Minor Damage,Ambulance,18.0,3.0,1.0,1.0,42930.0,0,10.0,18.0,Full
76,120.0,35.0,1000.0,1426.0,High School,Multi-vehicle Collision,Total Loss,Ambulance,22.0,3.0,2.0,0.0,51210.0,0,5.0,16.0,Full
77,270.0,45.0,1000.0,1038.0,College,Multi-vehicle Collision,Minor Damage,Fire,18.0,3.0,1.0,1.0,89400.0,0,17.0,23.0,Full
78,319.0,47.0,500.0,1307.0,College,Multi-vehicle Collision,Total Loss,Police,22.0,3.0,0.0,0.0,59730.0,0,10.0,29.0,Full
79,194.0,39.0,1000.0,1489.0,JD,Vehicle Theft,Minor Damage,None,15.0,1.0,2.0,1.0,8060.0,0,11.0,20.0,Full
80,227.0,38.0,500.0,977.0,PhD,Single Vehicle Collision,Major Damage,Fire,16.0,1.0,1.0,0.0,72200.0,1,2.0,22.0,Full
81,137.0,31.0,2000.0,1340.0,High School,Multi-vehicle Collision,Minor Damage,Ambulance,6.0,3.0,1.0,0.0,50800.0,0,10.0,9.0,Full
82,244.0,40.0,2000.0,1268.0,Masters,Vehicle Theft,Trivial Damage,None,10.0,1.0,2.0,0.0,6600.0,0,10.0,21.0,Full
83,78.0,29.0,1000.0,1234.0,Masters,Vehicle Theft,Minor Damage,Police,3.0,1.0,2.0,0.0,7500.0,0,13.0,8.0,Full
84,200.0,35.0,2000.0,1318.0,High School,Vehicle Theft,Trivial Damage,None,13.0,1.0,0.0,1.0,6490.0,0,13.0,15.0,Full
85,284.0,48.0,2000.0,770.0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,16.0,2.0,2.0,0.0,60940.0,1,2.0,31.0,Full
86,275.0,41.0,2000.0,1515.0,High School,Multi-vehicle Collision,Major Damage,Fire,13.0,3.0,0.0,0.0,58300.0,0,8.0,23.0,Full
87,153.0,34.0,1000.0,874.0,Associate,Multi-vehicle Collision,Minor Damage,Other,9.0,3.0,2.0,0.0,68400.0,0,8.0,14.0,Full
88,134.0,32.0,500.0,1612.0,MD,Single Vehicle Collision,Total Loss,Fire,2.0,1.0,2.0,1.0,64240.0,0,0.0,13.0,Full
89,31.0,36.0,2000.0,1318.0,College,Parked Car,Trivial Damage,None,9.0,1.0,0.0,1.0,4700.0,0,13.0,16.0,Full
90,41.0,25.0,1000.0,1227.0,College,Multi-vehicle Collision,Major Damage,Other,12.0,3.0,2.0,0.0,45120.0,1,4.0,3.0,P2
91,127.0,29.0,2000.0,1326.0,High School,Multi-vehicle Collision,Total Loss,Fire,12.0,2.0,1.0,0.0,66950.0,0,20.0,9.0,Full
92,61.0,23.0,2000.0,1137.0,Associate,Single Vehicle Collision,Major Damage,Police,14.0,1.0,0.0,0.0,98340.0,1,11.0,3.0,P2
93,207.0,42.0,2000.0,1323.0,PhD,Parked Car,Trivial Damage,None,9.0,1.0,0.0,0.0,5900.0,0,8.0,23.0,Full
94,219.0,43.0,1000.0,1483.0,MD,Multi-vehicle Collision,Major Damage,Ambulance,3.0,3.0,1.0,0.0,70680.0,0,6.0,23.0,Full
95,271.0,42.0,500.0,1515.0,High School,Multi-vehicle Collision,Total Loss,Ambulance,21.0,3.0,1.0,0.0,93720.0,0,10.0,22.0,Full
96,80.0,25.0,2000.0,1075.0,PhD,Vehicle Theft,Minor Damage,None,5.0,1.0,2.0,1.0,6930.0,0,14.0,5.0,Full
97,325.0,47.0,1000.0,1690.0,Associate,Single Vehicle Collision,Major Damage,Fire,11.0,1.0,0.0,0.0,72930.0,1,9.0,31.0,Full
98,29.0,25.0,2000.0,1353.0,Masters,Multi-vehicle Collision,Minor Damage,Other,4.0,4.0,1.0,1.0,64890.0,1,2.0,3.0,P2
99,295.0,48.0,1000.0,1149.0,College,Parked Car,Trivial Damage,None,6.0,1.0,1.0,1.0,5400.0,0,16.0,28.0,Full
100,239.0,42.0,1000.0,970.0,College,Vehicle Theft,Trivial Damage,None,10.0,1.0,0.0,0.0,5600.0,0,8.0,23.0,Full
101,269.0,41.0,500.0,1464.0,College,Single Vehicle Collision,Minor Damage,Police,23.0,1.0,0.0,0.0,79300.0,0,8.0,23.0,Full
102,80.0,27.0,1000.0,1474.0,College,Single Vehicle Collision,Major Damage,Police,13.0,1.0,1.0,1.0,52800.0,0,11.0,6.0,Full
103,279.0,41.0,500.0,1497.0,JD,Multi-vehicle Collision,Minor Damage,Fire,16.0,3.0,2.0,0.0,28800.0,0,2.0,20.0,Full
104,165.0,33.0,1000.0,1427.0,Associate,Parked Car,Minor Damage,Police,3.0,1.0,1.0,0.0,2970.0,0,7.0,12.0,Full
105,350.0,54.0,500.0,1495.0,College,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,0.0,0.0,93480.0,0,1.0,38.0,Full
106,295.0,49.0,500.0,1142.0,College,Vehicle Theft,Minor Damage,None,4.0,1.0,1.0,1.0,4320.0,0,13.0,32.0,Full
107,464.0,61.0,1000.0,1125.0,Associate,Multi-vehicle Collision,Major Damage,Police,6.0,3.0,0.0,1.0,79800.0,1,15.0,40.0,Full
108,118.0,28.0,2000.0,1207.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,22.0,2.0,1.0,0.0,74200.0,0,18.0,11.0,Full
109,298.0,47.0,2000.0,1338.0,PhD,Single Vehicle Collision,Major Damage,Fire,1.0,1.0,0.0,0.0,70590.0,1,15.0,28.0,Full
110,87.0,31.0,1000.0,1074.0,Masters,Multi-vehicle Collision,Major Damage,Fire,16.0,3.0,0.0,1.0,60940.0,1,9.0,15.0,Full
111,261.0,42.0,500.0,1338.0,College,Single Vehicle Collision,Minor Damage,Police,18.0,1.0,1.0,1.0,74700.0,0,5.0,21.0,Full
112,453.0,60.0,500.0,1299.0,PhD,Single Vehicle Collision,Major Damage,Fire,0.0,1.0,0.0,0.0,70000.0,1,0.0,38.0,Full
113,210.0,41.0,500.0,1223.0,High School,Multi-vehicle Collision,Total Loss,Other,12.0,3.0,2.0,0.0,81070.0,0,14.0,25.0,Full
114,168.0,32.0,1000.0,1060.0,MD,Multi-vehicle Collision,Major Damage,Other,13.0,2.0,1.0,0.0,57720.0,0,8.0,15.0,Full
115,390.0,51.0,2000.0,1124.0,Associate,Vehicle Theft,Minor Damage,None,9.0,1.0,1.0,1.0,7080.0,0,14.0,33.0,Full
116,258.0,46.0,1000.0,1110.0,MD,Multi-vehicle Collision,Total Loss,Other,14.0,3.0,0.0,0.0,47700.0,1,18.0,26.0,Full
117,107.0,31.0,2000.0,1374.0,PhD,Single Vehicle Collision,Minor Damage,Police,16.0,1.0,0.0,0.0,51260.0,0,13.0,13.0,Full
118,225.0,41.0,2000.0,1104.0,High School,Multi-vehicle Collision,Major Damage,Police,20.0,3.0,2.0,0.0,70400.0,1,4.0,25.0,Full
119,164.0,38.0,2000.0,1270.0,PhD,Single Vehicle Collision,Minor Damage,Fire,4.0,1.0,1.0,1.0,90000.0,0,0.0,17.0,Full
120,245.0,39.0,500.0,965.0,Associate,Multi-vehicle Collision,Minor Damage,Police,7.0,3.0,0.0,0.0,72820.0,0,5.0,20.0,Full
121,255.0,41.0,2000.0,1167.0,High School,Single Vehicle Collision,Minor Damage,Fire,22.0,1.0,2.0,0.0,69300.0,0,15.0,23.0,Full
122,206.0,36.0,500.0,1625.0,MD,Single Vehicle Collision,Major Damage,Ambulance,11.0,1.0,2.0,0.0,76560.0,1,7.0,18.0,Full
123,203.0,38.0,500.0,1394.0,Masters,Single Vehicle Collision,Major Damage,Ambulance,7.0,1.0,0.0,1.0,55440.0,1,16.0,17.0,Full
124,22.0,25.0,2000.0,1053.0,College,Multi-vehicle Collision,Total Loss,Other,0.0,4.0,1.0,0.0,77130.0,0,20.0,9.0,Full
125,211.0,35.0,500.0,1041.0,JD,Single Vehicle Collision,Total Loss,Ambulance,1.0,1.0,1.0,0.0,42000.0,0,4.0,14.0,Full
126,206.0,39.0,1000.0,1302.0,JD,Multi-vehicle Collision,Total Loss,Ambulance,12.0,3.0,2.0,1.0,36300.0,0,2.0,22.0,Full
127,166.0,38.0,2000.0,1589.0,MD,Single Vehicle Collision,Total Loss,Other,8.0,1.0,0.0,0.0,40320.0,0,14.0,22.0,Full
128,165.0,32.0,500.0,1399.0,High School,Parked Car,Minor Damage,Police,9.0,1.0,2.0,0.0,3960.0,0,17.0,14.0,Full
129,274.0,43.0,2000.0,1352.0,College,Single Vehicle Collision,Major Damage,Fire,22.0,1.0,0.0,1.0,63840.0,1,9.0,25.0,Full
130,81.0,28.0,1000.0,1139.0,Masters,Multi-vehicle Collision,Major Damage,Fire,0.0,3.0,1.0,0.0,44730.0,1,15.0,9.0,Full
131,280.0,45.0,1000.0,1398.0,JD,Multi-vehicle Collision,Minor Damage,Other,0.0,3.0,1.0,0.0,84720.0,0,16.0,27.0,Full
132,194.0,39.0,500.0,823.0,Masters,Multi-vehicle Collision,Major Damage,Other,3.0,3.0,2.0,0.0,61500.0,0,3.0,20.0,Full
133,112.0,27.0,500.0,965.0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,21.0,3.0,0.0,0.0,51000.0,0,2.0,9.0,Full
134,24.0,33.0,1000.0,1923.0,High School,Single Vehicle Collision,Total Loss,Police,0.0,1.0,2.0,0.0,46800.0,0,13.0,16.0,Full
135,93.0,32.0,2000.0,1625.0,PhD,Single Vehicle Collision,Minor Damage,Ambulance,16.0,1.0,1.0,0.0,78120.0,0,9.0,14.0,Full
136,171.0,34.0,2000.0,1277.0,College,Single Vehicle Collision,Major Damage,Police,14.0,1.0,1.0,0.0,69200.0,1,19.0,12.0,Full
137,200.0,40.0,1000.0,1439.0,High School,Vehicle Theft,Minor Damage,Police,9.0,1.0,0.0,0.0,3690.0,0,0.0,21.0,Full
138,120.0,28.0,1000.0,1281.0,PhD,Multi-vehicle Collision,Minor Damage,Fire,9.0,3.0,0.0,0.0,65500.0,0,5.0,6.0,Full
139,325.0,46.0,500.0,1349.0,High School,Multi-vehicle Collision,Minor Damage,Fire,21.0,3.0,1.0,1.0,76120.0,0,16.0,27.0,Full
140,124.0,32.0,1000.0,1198.0,MD,Multi-vehicle Collision,Total Loss,Other,19.0,3.0,0.0,1.0,73560.0,0,20.0,13.0,Full
141,211.0,35.0,2000.0,1221.0,Masters,Single Vehicle Collision,Total Loss,Police,2.0,1.0,0.0,0.0,52030.0,0,7.0,17.0,Full
142,287.0,41.0,2000.0,969.0,Masters,Vehicle Theft,Trivial Damage,None,9.0,1.0,2.0,0.0,5170.0,0,14.0,19.0,Full
143,122.0,34.0,1000.0,1221.0,PhD,Parked Car,Minor Damage,None,5.0,1.0,2.0,1.0,8190.0,0,2.0,15.0,Full
144,22.0,29.0,2000.0,1239.0,MD,Single Vehicle Collision,Major Damage,Ambulance,14.0,1.0,2.0,0.0,70800.0,1,3.0,9.0,Full
145,106.0,31.0,2000.0,1321.0,JD,Multi-vehicle Collision,Total Loss,Police,20.0,3.0,0.0,1.0,45630.0,0,4.0,14.0,Full
146,398.0,58.0,500.0,991.0,Associate,Single Vehicle Collision,Major Damage,Police,18.0,1.0,2.0,0.0,99320.0,1,13.0,40.0,Full
147,214.0,41.0,500.0,1399.0,Masters,Multi-vehicle Collision,Major Damage,Fire,13.0,3.0,2.0,0.0,64000.0,1,19.0,22.0,Full
148,209.0,38.0,500.0,1355.0,MD,Single Vehicle Collision,Minor Damage,Fire,21.0,1.0,1.0,0.0,47300.0,0,1.0,16.0,Full
149,82.0,27.0,1000.0,1385.0,PhD,Single Vehicle Collision,Major Damage,Other,14.0,1.0,2.0,0.0,71680.0,1,8.0,10.0,Full
150,193.0,41.0,500.0,847.0,JD,Single Vehicle Collision,Major Damage,Other,1.0,1.0,1.0,1.0,112320.0,1,4.0,23.0,Full
151,134.0,32.0,1000.0,1000.0,PhD,Single Vehicle Collision,Total Loss,Other,17.0,1.0,1.0,0.0,82720.0,0,1.0,15.0,Full
152,288.0,45.0,1000.0,1047.0,Masters,Multi-vehicle Collision,Major Damage,Fire,4.0,3.0,2.0,0.0,48060.0,0,6.0,25.0,Full
153,104.0,32.0,500.0,1158.0,High School,Multi-vehicle Collision,Total Loss,Police,23.0,3.0,1.0,1.0,63570.0,1,9.0,14.0,Full
154,431.0,54.0,1000.0,1372.0,Masters,Multi-vehicle Collision,Total Loss,Fire,13.0,3.0,2.0,0.0,63240.0,0,18.0,32.0,Full
155,101.0,33.0,1000.0,1053.0,Masters,Multi-vehicle Collision,Minor Damage,Ambulance,20.0,3.0,1.0,0.0,54240.0,1,2.0,14.0,Full
156,375.0,50.0,1000.0,1275.0,Associate,Single Vehicle Collision,Major Damage,Police,16.0,1.0,2.0,0.0,37280.0,1,19.0,34.0,Full
157,461.0,61.0,2000.0,1403.0,JD,Multi-vehicle Collision,Minor Damage,Police,10.0,3.0,2.0,1.0,72100.0,0,9.0,42.0,Full
158,428.0,59.0,500.0,1344.0,JD,Parked Car,Minor Damage,None,8.0,1.0,2.0,0.0,6500.0,0,2.0,41.0,Full
159,45.0,38.0,1000.0,1198.0,Masters,Multi-vehicle Collision,Total Loss,Ambulance,17.0,3.0,2.0,0.0,78240.0,0,2.0,19.0,Full
160,136.0,29.0,500.0,1203.0,JD,Vehicle Theft,Minor Damage,Police,9.0,1.0,2.0,0.0,6200.0,0,16.0,13.0,Full
161,216.0,36.0,1000.0,1152.0,Associate,Parked Car,Minor Damage,Police,0.0,1.0,2.0,0.0,6160.0,0,1.0,20.0,Full
162,278.0,48.0,2000.0,1143.0,MD,Single Vehicle Collision,Total Loss,Ambulance,12.0,1.0,2.0,0.0,76050.0,0,18.0,26.0,Full
163,295.0,48.0,1000.0,1332.0,MD,Multi-vehicle Collision,Total Loss,Ambulance,20.0,2.0,2.0,1.0,86060.0,0,13.0,32.0,Full
164,112.0,30.0,1000.0,1167.0,Masters,Single Vehicle Collision,Major Damage,Fire,3.0,1.0,2.0,0.0,107900.0,1,18.0,8.0,Full
165,122.0,34.0,500.0,1495.0,Masters,Multi-vehicle Collision,Total Loss,Fire,18.0,3.0,2.0,1.0,99990.0,0,4.0,15.0,Full
166,108.0,29.0,1000.0,1338.0,PhD,Multi-vehicle Collision,Minor Damage,Ambulance,4.0,3.0,2.0,1.0,61380.0,0,3.0,7.0,Full
167,14.0,28.0,2000.0,1588.0,Associate,Single Vehicle Collision,Major Damage,Fire,18.0,1.0,2.0,1.0,71280.0,1,3.0,10.0,Full
168,298.0,45.0,1000.0,1362.0,High School,Multi-vehicle Collision,Minor Damage,Ambulance,18.0,3.0,0.0,0.0,64000.0,0,16.0,26.0,Full
169,276.0,46.0,500.0,1449.0,Masters,Parked Car,Trivial Damage,Police,7.0,1.0,0.0,0.0,5940.0,0,0.0,30.0,Full
170,47.0,37.0,2000.0,1242.0,High School,Parked Car,Minor Damage,None,18.0,1.0,1.0,0.0,6700.0,0,4.0,17.0,Full
171,222.0,42.0,500.0,1125.0,Associate,Multi-vehicle Collision,Minor Damage,Police,23.0,3.0,0.0,0.0,51740.0,0,9.0,26.0,Full
172,119.0,28.0,2000.0,1080.0,High School,Single Vehicle Collision,Total Loss,Ambulance,1.0,1.0,0.0,1.0,53600.0,1,8.0,7.0,Full
173,73.0,29.0,1000.0,1448.0,College,Multi-vehicle Collision,Total Loss,Other,15.0,3.0,1.0,0.0,44910.0,0,14.0,7.0,Full
174,8.0,31.0,500.0,1229.0,MD,Multi-vehicle Collision,Major Damage,Fire,2.0,3.0,0.0,1.0,48100.0,0,1.0,15.0,Full
175,294.0,44.0,1000.0,1226.0,PhD,Vehicle Theft,Trivial Damage,None,3.0,1.0,0.0,0.0,6100.0,0,13.0,23.0,Full
176,324.0,46.0,2000.0,898.0,MD,Single Vehicle Collision,Minor Damage,Other,13.0,1.0,1.0,1.0,79600.0,0,4.0,28.0,Full
