index,index,timeascustomer,driverage,insuranceaccess,insurancepremium,incidenttime,numvehiclesinvolved,numbodilyinjuries,policereportbool,totalclaimamount,vehicleage,driverexperience,educationlevel,accidenttype,incidentseverity,authoritiesinvolved,licencetype,drivergender,fraud
16,16,473,58,2000,1131,12,4,0,0,63120,16,40,JD,Vehicle Theft,Minor Damage,Ambulance,Full,0.0,1
17,17,70,26,1000,1199,0,3,1,1,52110,3,9,Bachelor,Single Vehicle Collision,Major Loss,Other,Full,0.0,0
18,18,140,31,500,709,9,1,0,1,77880,0,9,Bachelor,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
19,19,160,37,500,1374,19,1,1,0,72930,0,15,Masters,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
20,20,196,39,2000,1476,8,3,2,0,60400,1,23,Masters,Single Vehicle Collision,Total Loss,,Full,0.0,0
21,21,460,62,1000,1188,20,3,1,0,47160,4,45,PhD,Multi-vehicle Collision,Major Damage,Other,Full,0.0,0
22,22,217,41,2000,875,15,3,1,0,37840,19,20,PhD,Parked Car,Total Loss,,Full,0.0,0
23,23,370,55,2000,972,20,3,0,1,71520,15,38,College,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
24,24,413,55,2000,1269,15,1,2,0,98160,4,34,College,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,1
25,25,237,40,1000,883,6,1,1,0,77880,10,24,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
26,26,8,35,2000,1267,16,3,1,1,71500,9,18,High School,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
27,27,257,43,2000,1322,4,1,1,1,9020,10,23,Bachelor,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
28,28,202,34,500,848,5,1,2,0,5720,12,15,Associate,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
29,29,224,40,2000,1292,21,1,1,1,69840,6,24,High School,Single Vehicle Collision,Minor Damage,Other,Full,0.0,0
30,30,241,45,2000,1104,5,1,2,0,91650,4,26,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
31,31,64,25,1000,954,22,4,0,0,75600,10,4,High School,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
32,32,166,37,2000,1337,10,3,2,0,67140,9,15,Bachelor,Multi-vehicle Collision,Minor Damage,Fire,Full,0.0,1
33,33,155,35,1000,1088,16,3,2,0,29790,7,19,High School,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
34,34,114,30,1000,1558,1,3,1,0,77110,0,12,High School,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
35,35,149,37,500,1416,17,1,0,1,64800,16,18,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
36,36,147,33,1000,1334,15,1,2,1,53100,20,17,High School,Single Vehicle Collision,Major Loss,Fire,Full,0.0,1
37,37,62,28,1000,988,3,1,1,1,60200,11,11,Masters,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,1
38,38,289,49,2000,1222,16,1,1,1,5330,14,30,MD,Single Vehicle Collision,Major Damage,,Full,0.0,0
39,39,431,54,2000,1156,4,3,2,0,62300,8,33,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
40,40,199,37,500,1262,4,1,0,0,60170,4,18,High School,Parked Car,Total Loss,Ambulance,Full,0.0,1
41,41,79,26,500,1452,19,1,2,0,40000,5,7,MD,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
42,42,116,34,500,1738,1,1,1,0,97080,14,12,Masters,Multi-vehicle Collision,Major Damage,Police,Full,0.0,1
43,43,37,23,500,1476,17,3,1,0,51660,5,7,College,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
44,44,106,30,500,538,23,1,2,0,51120,10,13,MD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
45,45,269,44,2000,1081,14,1,0,0,56400,1,27,PhD,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
46,46,265,40,1000,1454,17,3,2,0,55120,13,23,High School,Single Vehicle Collision,Minor Loss,,Full,0.0,0
47,47,163,33,500,1240,11,3,1,0,77110,1,17,College,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
48,48,355,47,2000,1274,19,3,2,0,62800,12,29,Associate,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,1
49,49,175,34,1000,1124,5,1,2,1,7290,20,14,High School,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
50,50,192,35,1000,1246,19,1,0,0,76600,15,16,MD,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
51,51,430,59,2000,1327,19,3,0,1,81800,17,37,Associate,Single Vehicle Collision,Major Loss,Fire,Full,0.0,0
52,52,91,27,2000,1074,4,1,1,0,7260,7,8,Associate,Vehicle Theft,Minor Loss,,Full,0.0,0
53,53,217,39,1000,1531,8,1,2,1,4300,15,21,PhD,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
54,54,223,40,500,1201,7,3,1,0,70510,16,20,High School,Multi-vehicle Collision,Major Loss,Fire,Full,0.0,0
55,55,195,39,1000,1394,5,1,0,1,2640,6,21,JD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
56,56,22,26,1000,1277,3,1,1,0,78900,20,10,MD,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
57,57,439,56,500,1082,12,3,2,0,56430,1,40,Bachelor,Single Vehicle Collision,Minor Damage,,Full,0.0,0
58,58,94,32,1000,1415,19,1,1,0,2400,1,12,Bachelor,Parked Car,Major Damage,Ambulance,Full,0.0,0
59,59,11,39,2000,1470,22,1,0,0,65790,8,18,High School,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
60,60,151,36,2000,871,12,3,1,0,62920,15,15,MD,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
61,61,154,34,500,795,15,3,2,0,69480,1,12,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,1
62,62,245,44,1000,1168,23,3,0,0,44280,18,28,PhD,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
63,63,119,32,1000,994,12,1,0,1,56300,4,12,MD,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
64,64,215,42,500,1849,20,3,2,1,68520,12,25,MD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
65,65,295,42,2000,1642,16,3,0,0,59130,9,22,Bachelor,Single Vehicle Collision,Minor Damage,Fire,Full,0.0,1
66,66,254,39,500,1363,6,3,2,0,82320,20,22,JD,Single Vehicle Collision,Major Loss,,Full,0.0,1
67,67,107,31,500,1239,12,1,0,0,89700,6,13,Bachelor,Single Vehicle Collision,Total Loss,Fire,Full,0.0,1
68,68,478,64,500,835,17,3,1,0,33930,17,46,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
69,69,128,30,1000,1061,8,1,0,0,68530,18,14,Masters,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
70,70,338,49,1000,1279,13,1,0,0,4300,11,32,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
71,71,271,42,500,1105,12,2,2,0,68310,12,25,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
72,72,222,41,2000,1056,7,1,0,0,61290,20,24,Bachelor,Multi-vehicle Collision,Minor Damage,,Full,0.0,1
73,73,199,41,1000,896,10,1,1,0,30100,16,24,Associate,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
74,74,215,37,500,1633,7,3,2,1,57120,13,18,Masters,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
75,75,192,40,1000,1406,18,3,1,1,42930,10,18,JD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
76,76,120,35,1000,1426,22,3,2,0,51210,5,16,MD,Parked Car,Major Loss,Police,Full,0.0,0
77,77,270,45,1000,1038,18,3,1,1,89400,17,23,Bachelor,Single Vehicle Collision,Major Damage,Other,Full,0.0,0
78,78,319,47,500,1307,22,3,0,0,59730,10,29,College,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
79,79,194,39,1000,1489,15,1,2,1,8060,11,20,Bachelor,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
80,80,227,38,500,977,16,1,1,0,72200,2,22,Bachelor,Single Vehicle Collision,Total Loss,,Full,0.0,1
81,81,137,31,2000,1340,6,3,1,0,50800,10,9,Bachelor,Parked Car,Minor Loss,Police,Full,0.0,0
82,82,244,40,2000,1268,10,1,2,0,6600,10,21,Bachelor,Multi-vehicle Collision,Major Loss,Police,P2,0.0,0
83,83,78,29,1000,1234,3,1,2,0,7500,13,8,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
84,84,200,35,2000,1318,13,1,0,1,6490,13,15,High School,Multi-vehicle Collision,Minor Damage,Fire,Full,0.0,0
85,85,284,48,2000,770,16,2,2,0,60940,2,31,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
86,86,275,41,2000,1515,13,3,0,0,58300,8,23,Bachelor,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
87,87,153,34,1000,874,9,3,2,0,68400,8,14,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
88,88,134,32,500,1612,2,1,2,1,64240,0,13,JD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
89,89,31,36,2000,1318,9,1,0,1,4700,13,16,MD,Parked Car,Major Loss,Ambulance,Full,0.0,0
90,90,41,25,1000,1227,12,3,2,0,45120,4,3,Bachelor,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,1
91,91,127,29,2000,1326,12,2,1,0,66950,20,9,College,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
92,92,61,23,2000,1137,14,1,0,0,98340,11,3,College,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
93,93,207,42,2000,1323,9,1,0,0,5900,8,23,Associate,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
94,94,219,43,1000,1483,3,3,1,0,70680,6,23,PhD,Parked Car,Major Loss,Police,Full,0.0,0
95,95,271,42,500,1515,21,3,1,0,93720,10,22,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
96,96,80,25,2000,1075,5,1,2,1,6930,14,5,PhD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
97,97,325,47,1000,1690,11,1,0,0,72930,9,31,High School,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,1
98,98,29,25,2000,1353,4,4,1,1,64890,2,3,Masters,Parked Car,Minor Damage,Other,Full,0.0,1
99,99,295,48,1000,1149,6,1,1,1,5400,16,28,Masters,Single Vehicle Collision,Minor Loss,,Full,0.0,0
100,100,239,42,1000,970,10,1,0,0,5600,8,23,High School,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
101,101,269,41,500,1464,23,1,0,0,79300,8,23,Bachelor,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
102,102,80,27,1000,1474,13,1,1,1,52800,11,6,College,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
103,103,279,41,500,1497,16,3,2,0,28800,2,20,Masters,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
104,104,165,33,1000,1427,3,1,1,0,2970,7,12,PhD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
105,105,350,54,500,1495,15,3,0,0,93480,1,38,High School,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
106,106,295,49,500,1142,4,1,1,1,4320,13,32,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
107,107,464,61,1000,1125,6,3,0,1,79800,15,40,PhD,Multi-vehicle Collision,Total Loss,,Full,0.0,1
108,108,118,28,2000,1207,22,2,1,0,74200,18,11,MD,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
109,109,298,47,2000,1338,1,1,0,0,70590,15,28,High School,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,1
110,110,87,31,1000,1074,16,3,0,1,60940,9,15,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,1
111,111,261,42,500,1338,18,1,1,1,74700,5,21,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
112,112,453,60,500,1299,0,1,0,0,70000,0,38,Bachelor,Parked Car,Major Loss,Police,Full,0.0,1
113,113,210,41,500,1223,12,3,2,0,81070,14,25,Bachelor,Single Vehicle Collision,Major Damage,Other,Full,0.0,0
114,114,168,32,1000,1060,13,2,1,0,57720,8,15,High School,Multi-vehicle Collision,Total Loss,,Full,0.0,0
115,115,390,51,2000,1124,9,1,1,1,7080,14,33,High School,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
116,116,258,46,1000,1110,14,3,0,0,47700,18,26,Associate,Single Vehicle Collision,Major Damage,,Full,0.0,1
117,117,107,31,2000,1374,16,1,0,0,51260,13,13,Associate,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
118,118,225,41,2000,1104,20,3,2,0,70400,4,25,Bachelor,Single Vehicle Collision,Trivial Damage,Fire,Full,0.0,1
119,119,164,38,2000,1270,4,1,1,1,90000,0,17,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
120,120,245,39,500,965,7,3,0,0,72820,5,20,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
121,121,255,41,2000,1167,22,1,2,0,69300,15,23,JD,Multi-vehicle Collision,Minor Damage,Other,Full,0.0,0
122,122,206,36,500,1625,11,1,2,0,76560,7,18,High School,Multi-vehicle Collision,Minor Loss,,Full,0.0,1
123,123,203,38,500,1394,7,1,0,1,55440,16,17,High School,Single Vehicle Collision,Total Loss,,Full,0.0,1
124,124,22,25,2000,1053,0,4,1,0,77130,20,9,High School,Parked Car,Minor Loss,Police,Full,0.0,0
125,125,211,35,500,1041,1,1,1,0,42000,4,14,Bachelor,Multi-vehicle Collision,Trivial Damage,Other,Full,0.0,0
126,126,206,39,1000,1302,12,3,2,1,36300,2,22,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
127,127,166,38,2000,1589,8,1,0,0,40320,14,22,Associate,Parked Car,Total Loss,Police,Full,0.0,0
128,128,165,32,500,1399,9,1,2,0,3960,17,14,Associate,Multi-vehicle Collision,Major Loss,,Full,0.0,0
129,129,274,43,2000,1352,22,1,0,1,63840,9,25,PhD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,1
130,130,81,28,1000,1139,0,3,1,0,44730,15,9,Masters,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,1
131,131,280,45,1000,1398,0,3,1,0,84720,16,27,JD,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
132,132,194,39,500,823,3,3,2,0,61500,3,20,Masters,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
133,133,112,27,500,965,21,3,0,0,51000,2,9,Bachelor,Multi-vehicle Collision,Major Loss,Fire,Full,0.0,0
134,134,24,33,1000,1923,0,1,2,0,46800,13,16,Masters,Multi-vehicle Collision,Minor Damage,Ambulance,P1,0.0,0
135,135,93,32,2000,1625,16,1,1,0,78120,9,14,High School,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
136,136,171,34,2000,1277,14,1,1,0,69200,19,12,JD,Single Vehicle Collision,Total Loss,Police,Full,0.0,1
137,137,200,40,1000,1439,9,1,0,0,3690,0,21,MD,Parked Car,Major Damage,Police,Full,0.0,0
138,138,120,28,1000,1281,9,3,0,0,65500,5,6,Associate,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
139,139,325,46,500,1349,21,3,1,1,76120,16,27,PhD,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
140,140,124,32,1000,1198,19,3,0,1,73560,20,13,JD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
141,141,211,35,2000,1221,2,1,0,0,52030,7,17,College,Vehicle Theft,Total Loss,Ambulance,Full,0.0,0
142,142,287,41,2000,969,9,1,2,0,5170,14,19,College,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
143,143,122,34,1000,1221,5,1,2,1,8190,2,15,Masters,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
144,144,22,29,2000,1239,14,1,2,0,70800,3,9,MD,Parked Car,Major Damage,,Full,0.0,1
145,145,106,31,2000,1321,20,3,0,1,45630,4,14,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
146,146,398,58,500,991,18,1,2,0,99320,13,40,College,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,1
147,147,214,41,500,1399,13,3,2,0,64000,19,22,MD,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,1
148,148,209,38,500,1355,21,1,1,0,47300,1,16,MD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
149,149,82,27,1000,1385,14,1,2,0,71680,8,10,High School,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,1
150,150,193,41,500,847,1,1,1,1,112320,4,23,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
151,151,134,32,1000,1000,17,1,1,0,82720,1,15,Associate,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
152,152,288,45,1000,1047,4,3,2,0,48060,6,25,JD,Single Vehicle Collision,Major Damage,,Full,0.0,0
153,153,104,32,500,1158,23,3,1,1,63570,9,14,High School,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,1
154,154,431,54,1000,1372,13,3,2,0,63240,18,32,Masters,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
155,155,101,33,1000,1053,20,3,1,0,54240,2,14,High School,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
156,156,375,50,1000,1275,16,1,2,0,37280,19,34,Masters,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,1
157,157,461,61,2000,1403,10,3,2,1,72100,9,42,MD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
158,158,428,59,500,1344,8,1,2,0,6500,2,41,High School,Multi-vehicle Collision,Minor Damage,,Full,0.0,0
159,159,45,38,1000,1198,17,3,2,0,78240,2,19,College,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
160,160,136,29,500,1203,9,1,2,0,6200,16,13,Bachelor,Single Vehicle Collision,Trivial Damage,Ambulance,Full,0.0,0
161,161,216,36,1000,1152,0,1,2,0,6160,1,20,Bachelor,Parked Car,Total Loss,Police,Full,0.0,0
162,162,278,48,2000,1143,12,1,2,0,76050,18,26,Masters,Single Vehicle Collision,Major Loss,,Full,0.0,0
163,163,295,48,1000,1332,20,2,2,1,86060,13,32,High School,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
164,164,112,30,1000,1167,3,1,2,0,107900,18,8,MD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,1
165,165,122,34,500,1495,18,3,2,1,99990,4,15,High School,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
166,166,108,29,1000,1338,4,3,2,1,61380,3,7,Bachelor,Single Vehicle Collision,Total Loss,,Full,0.0,0
167,167,14,28,2000,1588,18,1,2,1,71280,3,10,High School,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
168,168,298,45,1000,1362,18,3,0,0,64000,16,26,Associate,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
169,169,276,46,500,1449,7,1,0,0,5940,0,30,PhD,Vehicle Theft,Major Loss,Ambulance,Full,0.0,0
170,170,47,37,2000,1242,18,1,1,0,6700,4,17,Bachelor,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
171,171,222,42,500,1125,23,3,0,0,51740,9,26,College,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
172,172,119,28,2000,1080,1,1,0,1,53600,8,7,MD,Multi-vehicle Collision,Total Loss,,Full,0.0,1
173,173,73,29,1000,1448,15,3,1,0,44910,14,7,JD,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
174,174,8,31,500,1229,2,3,0,1,48100,1,15,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
175,175,294,44,1000,1226,3,1,0,0,6100,13,23,JD,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
176,176,324,46,2000,898,13,1,1,1,79600,4,28,PhD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
177,177,155,34,500,1707,1,1,1,1,77040,17,15,Associate,Single Vehicle Collision,Major Loss,,Full,0.0,0
178,178,261,45,1000,1254,16,1,0,0,62590,12,23,MD,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
179,179,245,40,500,885,0,1,0,0,85150,17,22,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,0
180,180,235,39,500,1047,1,1,2,0,4950,5,20,JD,Parked Car,Major Loss,Other,Full,0.0,0
181,181,53,36,2000,1713,17,3,2,1,51100,9,15,JD,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
182,182,426,54,2000,1098,13,1,2,0,100800,18,38,Bachelor,Vehicle Theft,Minor Loss,Ambulance,Full,0.0,0
183,183,111,27,500,1364,12,1,2,0,90970,6,11,High School,Multi-vehicle Collision,Major Damage,Other,Full,0.0,0
184,184,86,26,500,1383,11,1,1,1,81840,4,10,Masters,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,1
185,185,296,46,1000,1141,18,1,0,0,54900,2,27,Masters,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
186,186,125,35,500,1055,17,1,2,0,88660,8,19,High School,Multi-vehicle Collision,Major Damage,Fire,Full,0.0,1
187,187,177,34,2000,1058,22,3,1,0,18000,6,16,Masters,Multi-vehicle Collision,Minor Damage,Other,Full,0.0,0
188,188,238,39,2000,1488,9,1,1,1,5500,5,21,JD,Multi-vehicle Collision,Trivial Damage,Police,Full,0.0,0
189,189,81,25,500,920,11,3,1,0,73920,12,9,Masters,Single Vehicle Collision,Major Loss,,Full,0.0,1
190,190,128,28,1000,987,11,1,0,1,101860,8,8,High School,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
191,191,449,57,2000,1441,8,1,0,1,5390,7,38,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
192,192,252,39,1000,1086,18,1,1,0,50490,14,19,College,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
193,193,359,47,2000,1368,13,1,0,0,55500,3,26,College,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
194,194,19,32,1000,1216,8,1,1,1,7040,0,10,High School,Single Vehicle Collision,Minor Damage,,Full,0.0,0
195,195,73,26,2000,1191,9,3,0,1,40160,12,10,College,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
196,196,285,44,1000,1594,17,2,2,0,55680,9,24,College,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
197,197,196,36,2000,1463,3,1,1,0,5300,14,17,PhD,Multi-vehicle Collision,Trivial Damage,Police,Full,0.0,1
198,198,223,43,500,1734,6,1,0,0,5200,9,22,High School,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
199,199,328,48,500,1411,17,1,2,0,59400,1,29,High School,Vehicle Theft,Trivial Damage,Police,Full,0.0,0
200,200,285,43,2000,1513,7,1,1,0,2520,18,23,Bachelor,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
201,201,30,31,2000,1153,9,1,2,1,5760,4,9,Masters,Single Vehicle Collision,Major Damage,,Full,0.0,0
202,202,342,49,500,1723,3,1,2,1,76700,9,28,MD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
203,203,219,39,2000,1281,6,1,0,0,5920,0,22,PhD,Vehicle Theft,Total Loss,Police,Full,0.0,0
204,204,468,62,500,1012,7,3,0,0,64350,6,41,Masters,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
205,205,241,39,2000,1042,21,3,1,0,19080,20,20,PhD,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
206,206,223,43,500,1235,14,1,2,0,54400,4,27,Masters,Vehicle Theft,Minor Damage,Other,Full,0.0,0
207,207,128,32,2000,769,0,1,1,0,59800,16,16,MD,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,1
208,208,124,29,500,1302,14,3,0,1,72000,10,13,PhD,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
209,209,343,48,500,1452,13,4,2,0,65070,12,27,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,0
210,210,404,53,500,767,8,1,0,0,8800,13,32,High School,Single Vehicle Collision,Minor Loss,Fire,Full,0.0,0
211,211,63,24,2000,1621,7,1,2,0,6120,0,2,College,Single Vehicle Collision,Total Loss,Other,Full,0.0,0
212,212,210,37,2000,1048,9,1,1,0,7080,16,20,High School,Vehicle Theft,Minor Damage,,Full,0.0,0
213,213,335,50,1000,1538,12,3,2,1,34320,6,34,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
214,214,11,40,2000,1218,6,3,1,0,53460,11,20,High School,Vehicle Theft,Minor Loss,,Full,0.0,1
215,215,142,33,2000,1363,11,1,1,0,81360,6,16,High School,Multi-vehicle Collision,Total Loss,Police,Full,0.0,1
216,216,272,43,1000,1279,5,3,1,1,81070,9,21,High School,Multi-vehicle Collision,Total Loss,Police,Full,0.0,1
217,217,69,26,2000,925,14,1,2,0,63120,7,5,Bachelor,Multi-vehicle Collision,Major Damage,,Full,0.0,0
218,218,38,28,1000,1019,17,1,2,0,7200,11,7,Bachelor,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
219,219,328,46,500,1315,0,1,2,0,70290,17,27,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,1
