ClaimsID,DriverID,InsuranceID,IncidentID,authoritiesInvolved,policeReportBool,totalClaimAmount,fraud,VehicleID
216,D216,In216,I216,Ambulance,1.0,81070,1,V216
217,D217,In217,I217,Fire,0.0,63120,0,V217
218,D218,In218,I218,None,0.0,7200,0,V218
219,D219,In219,I219,Other,0.0,70290,1,V219
220,D220,In220,I220,Fire,0.0,60190,0,V220
221,D221,In221,I221,Other,1.0,61380,1,V221
222,D222,In222,I222,Ambulance,0.0,28100,0,V222
223,D223,In223,I223,Fire,0.0,49060,0,V223
224,D224,In224,I224,Fire,0.0,57060,0,V224
225,D225,In225,I225,Fire,1.0,77880,0,V225
226,D226,In226,I226,Ambulance,1.0,73500,0,V226
227,D227,In227,I227,Other,0.0,88920,0,V227
228,D228,In228,I228,Other,0.0,47630,1,V228
229,D229,In229,I229,Fire,0.0,59040,0,V229
230,D230,In230,I230,Other,0.0,79530,0,V230
231,D231,In231,I231,Other,1.0,53680,0,V231
232,D232,In232,I232,Police,1.0,33550,0,V232
233,D233,In233,I233,Other,1.0,69100,0,V233
234,D234,In234,I234,Police,0.0,79750,0,V234
235,D235,In235,I235,Other,1.0,53600,1,V235
236,D236,In236,I236,Fire,0.0,76560,0,V236
237,D237,In237,I237,Fire,0.0,41130,0,V237
238,D238,In238,I238,Fire,0.0,78650,1,V238
239,D239,In239,I239,Other,0.0,71060,0,V239
240,D240,In240,I240,Fire,0.0,38830,0,V240
241,D241,In241,I241,Fire,1.0,53500,0,V241
242,D242,In242,I242,Other,0.0,73700,1,V242
243,D243,In243,I243,None,1.0,6300,0,V243
244,D244,In244,I244,Ambulance,0.0,65400,0,V244
245,D245,In245,I245,None,0.0,3200,0,V245
246,D246,In246,I246,Fire,1.0,75400,1,V246
247,D247,In247,I247,Fire,1.0,58140,0,V247
248,D248,In248,I248,Ambulance,0.0,98670,1,V248
249,D249,In249,I249,None,0.0,5900,0,V249
250,D250,In250,I250,Fire,1.0,64100,0,V250
251,D251,In251,I251,Fire,0.0,55440,1,V251
252,D252,In252,I252,Police,0.0,80850,1,V252
253,D253,In253,I253,Police,0.0,7480,0,V253
254,D254,In254,I254,Fire,0.0,53640,1,V254
255,D255,In255,I255,Fire,0.0,63250,1,V255
256,D256,In256,I256,Ambulance,0.0,59040,0,V256
257,D257,In257,I257,Other,1.0,50500,0,V257
258,D258,In258,I258,Police,0.0,57690,1,V258
259,D259,In259,I259,Police,1.0,5940,0,V259
260,D260,In260,I260,Fire,1.0,47790,1,V260
261,D261,In261,I261,None,0.0,3850,0,V261
262,D262,In262,I262,Police,0.0,59000,1,V262
263,D263,In263,I263,Ambulance,0.0,70600,1,V263
264,D264,In264,I264,Police,0.0,61490,0,V264
265,D265,In265,I265,Police,1.0,57640,0,V265
266,D266,In266,I266,Police,0.0,6890,0,V266
267,D267,In267,I267,Fire,0.0,53280,1,V267
268,D268,In268,I268,Fire,0.0,78300,0,V268
269,D269,In269,I269,Ambulance,0.0,41490,0,V269
270,D270,In270,I270,Fire,1.0,68970,0,V270
271,D271,In271,I271,Police,1.0,85300,0,V271
272,D272,In272,I272,None,0.0,3080,0,V272
273,D273,In273,I273,Police,0.0,71760,1,V273
274,D274,In274,I274,Ambulance,0.0,59700,0,V274
275,D275,In275,I275,Fire,0.0,64920,0,V275
276,D276,In276,I276,Ambulance,0.0,37530,0,V276
277,D277,In277,I277,Ambulance,0.0,64080,0,V277
278,D278,In278,I278,Other,0.0,60390,1,V278
279,D279,In279,I279,Police,1.0,64350,1,V279
280,D280,In280,I280,Police,1.0,70900,0,V280
281,D281,In281,I281,Fire,0.0,46560,0,V281
282,D282,In282,I282,Police,0.0,4730,1,V282
283,D283,In283,I283,Police,1.0,6820,0,V283
284,D284,In284,I284,Police,0.0,59900,1,V284
285,D285,In285,I285,Police,1.0,79560,0,V285
286,D286,In286,I286,Other,0.0,70290,0,V286
287,D287,In287,I287,Ambulance,0.0,63910,0,V287
288,D288,In288,I288,None,0.0,6400,0,V288
289,D289,In289,I289,Ambulance,1.0,66780,1,V289
290,D290,In290,I290,Police,0.0,8760,0,V290
291,D291,In291,I291,Ambulance,0.0,94160,0,V291
292,D292,In292,I292,Ambulance,0.0,51570,0,V292
293,D293,In293,I293,Fire,0.0,52700,1,V293
294,D294,In294,I294,Fire,0.0,101010,0,V294
295,D295,In295,I295,Police,1.0,53400,1,V295
296,D296,In296,I296,Fire,0.0,72120,0,V296
297,D297,In297,I297,Police,1.0,77100,0,V297
298,D298,In298,I298,Police,0.0,3300,0,V298
299,D299,In299,I299,None,0.0,5940,0,V299
300,D300,In300,I300,Other,0.0,63720,0,V300
301,D301,In301,I301,Police,0.0,7680,0,V301
302,D302,In302,I302,Police,0.0,93730,0,V302
303,D303,In303,I303,Police,0.0,87300,0,V303
304,D304,In304,I304,Police,0.0,5670,0,V304
305,D305,In305,I305,Other,0.0,65800,0,V305
306,D306,In306,I306,Other,1.0,36720,1,V306
307,D307,In307,I307,Fire,1.0,52800,1,V307
308,D308,In308,I308,Fire,1.0,59100,1,V308
309,D309,In309,I309,Other,1.0,77440,0,V309
310,D310,In310,I310,Fire,0.0,45700,0,V310
311,D311,In311,I311,Other,1.0,80740,1,V311
312,D312,In312,I312,Ambulance,0.0,31350,1,V312
313,D313,In313,I313,Other,0.0,35000,0,V313
314,D314,In314,I314,Police,0.0,68000,0,V314
315,D315,In315,I315,Other,0.0,84500,0,V315
316,D316,In316,I316,Police,0.0,75500,0,V316
317,D317,In317,I317,Other,0.0,90600,0,V317
318,D318,In318,I318,Ambulance,0.0,64320,0,V318
319,D319,In319,I319,Police,0.0,31700,0,V319
320,D320,In320,I320,Other,1.0,74280,1,V320
321,D321,In321,I321,Fire,1.0,80520,0,V321
322,D322,In322,I322,Other,1.0,63600,0,V322
323,D323,In323,I323,Police,1.0,32800,0,V323
324,D324,In324,I324,Police,0.0,44190,0,V324
325,D325,In325,I325,Other,0.0,50400,1,V325
326,D326,In326,I326,Police,1.0,88400,0,V326
327,D327,In327,I327,Fire,0.0,66550,0,V327
328,D328,In328,I328,Police,0.0,65780,0,V328
329,D329,In329,I329,Other,1.0,51810,1,V329
330,D330,In330,I330,Other,0.0,55660,1,V330
331,D331,In331,I331,Fire,0.0,44640,0,V331
332,D332,In332,I332,Ambulance,0.0,77660,1,V332
333,D333,In333,I333,None,0.0,5640,0,V333
334,D334,In334,I334,None,0.0,3190,0,V334
335,D335,In335,I335,Fire,1.0,53440,0,V335
336,D336,In336,I336,Police,1.0,65250,0,V336
337,D337,In337,I337,Fire,0.0,44280,0,V337
338,D338,In338,I338,Police,0.0,70290,0,V338
339,D339,In339,I339,Other,1.0,87100,0,V339
340,D340,In340,I340,Fire,0.0,50380,0,V340
341,D341,In341,I341,Police,0.0,64800,1,V341
342,D342,In342,I342,Other,0.0,70400,0,V342
343,D343,In343,I343,Police,1.0,57860,1,V343
344,D344,In344,I344,None,0.0,6240,0,V344
345,D345,In345,I345,Police,0.0,66600,1,V345
346,D346,In346,I346,Police,1.0,70920,0,V346
347,D347,In347,I347,Ambulance,1.0,39480,0,V347
348,D348,In348,I348,Other,1.0,63240,0,V348
349,D349,In349,I349,Other,0.0,67650,0,V349
350,D350,In350,I350,Fire,0.0,74200,1,V350
351,D351,In351,I351,Other,0.0,64900,0,V351
352,D352,In352,I352,Ambulance,0.0,35900,1,V352
353,D353,In353,I353,Fire,0.0,52200,0,V353
354,D354,In354,I354,Police,0.0,78000,0,V354
355,D355,In355,I355,Ambulance,0.0,67200,0,V355
356,D356,In356,I356,Fire,0.0,63250,0,V356
357,D357,In357,I357,Other,1.0,68760,0,V357
358,D358,In358,I358,Police,0.0,65040,0,V358
359,D359,In359,I359,Ambulance,0.0,82800,1,V359
360,D360,In360,I360,Other,1.0,61700,0,V360
361,D361,In361,I361,Ambulance,1.0,78100,1,V361
362,D362,In362,I362,Ambulance,0.0,65520,1,V362
363,D363,In363,I363,None,0.0,4500,0,V363
364,D364,In364,I364,Other,0.0,42700,1,V364
365,D365,In365,I365,Police,1.0,5580,1,V365
366,D366,In366,I366,None,0.0,3600,1,V366
367,D367,In367,I367,None,0.0,2800,0,V367
368,D368,In368,I368,Ambulance,1.0,54000,0,V368
369,D369,In369,I369,Police,0.0,48950,1,V369
370,D370,In370,I370,Other,0.0,77800,0,V370
371,D371,In371,I371,Other,0.0,52560,0,V371
372,D372,In372,I372,Police,1.0,44110,0,V372
373,D373,In373,I373,Other,0.0,74360,0,V373
374,D374,In374,I374,None,0.0,6120,1,V374
375,D375,In375,I375,Police,1.0,62280,0,V375
376,D376,In376,I376,Other,1.0,26730,0,V376
377,D377,In377,I377,Ambulance,0.0,66200,0,V377
378,D378,In378,I378,Fire,0.0,45500,0,V378
379,D379,In379,I379,Ambulance,0.0,53040,0,V379
380,D380,In380,I380,Other,0.0,50800,1,V380
381,D381,In381,I381,Police,0.0,44200,0,V381
382,D382,In382,I382,Police,0.0,62920,0,V382
383,D383,In383,I383,Other,1.0,49950,1,V383
384,D384,In384,I384,Ambulance,1.0,56430,1,V384
385,D385,In385,I385,Police,1.0,100210,0,V385
386,D386,In386,I386,Fire,1.0,49140,0,V386
387,D387,In387,I387,Ambulance,0.0,66840,0,V387
388,D388,In388,I388,Other,0.0,62460,0,V388
389,D389,In389,I389,Other,0.0,62810,0,V389
390,D390,In390,I390,Ambulance,0.0,54160,0,V390
391,D391,In391,I391,Ambulance,0.0,48400,0,V391
392,D392,In392,I392,Fire,0.0,51480,0,V392
393,D393,In393,I393,Fire,0.0,51700,0,V393
394,D394,In394,I394,Other,0.0,65520,0,V394
395,D395,In395,I395,Other,0.0,47700,1,V395
396,D396,In396,I396,None,0.0,5220,0,V396
397,D397,In397,I397,Other,0.0,73320,0,V397
398,D398,In398,I398,Fire,1.0,74900,0,V398
399,D399,In399,I399,Police,1.0,3190,0,V399
400,D400,In400,I400,Ambulance,1.0,76920,0,V400
401,D401,In401,I401,Police,0.0,77990,0,V401
402,D402,In402,I402,Fire,0.0,59670,0,V402
403,D403,In403,I403,Ambulance,0.0,44880,1,V403
404,D404,In404,I404,Ambulance,0.0,82830,0,V404
405,D405,In405,I405,Other,0.0,84480,1,V405
406,D406,In406,I406,Fire,0.0,79800,0,V406
407,D407,In407,I407,Police,1.0,53020,0,V407
408,D408,In408,I408,Police,0.0,24200,0,V408
409,D409,In409,I409,Fire,1.0,43230,0,V409
410,D410,In410,I410,None,0.0,3190,0,V410
411,D411,In411,I411,None,0.0,5850,0,V411
412,D412,In412,I412,Police,1.0,6820,0,V412
413,D413,In413,I413,Fire,0.0,69480,0,V413
414,D414,In414,I414,Fire,1.0,94560,0,V414
415,D415,In415,I415,None,0.0,7800,0,V415
416,D416,In416,I416,Other,0.0,61270,0,V416
417,D417,In417,I417,Police,1.0,71440,0,V417
418,D418,In418,I418,Ambulance,1.0,55600,0,V418
419,D419,In419,I419,Police,0.0,5000,0,V419
420,D420,In420,I420,Other,0.0,95810,0,V420
421,D421,In421,I421,Ambulance,0.0,69300,0,V421
422,D422,In422,I422,Ambulance,0.0,81120,0,V422
423,D423,In423,I423,Other,0.0,91260,0,V423
424,D424,In424,I424,Fire,0.0,60600,0,V424
425,D425,In425,I425,Ambulance,1.0,64800,1,V425
426,D426,In426,I426,Police,0.0,66880,1,V426
427,D427,In427,I427,Ambulance,0.0,58200,0,V427
428,D428,In428,I428,Police,0.0,60570,0,V428
429,D429,In429,I429,Ambulance,0.0,69680,1,V429
430,D430,In430,I430,Fire,0.0,55700,0,V430
431,D431,In431,I431,Ambulance,1.0,62370,0,V431
432,D432,In432,I432,Other,1.0,54340,0,V432
433,D433,In433,I433,Police,0.0,55170,1,V433
434,D434,In434,I434,Other,1.0,58500,0,V434
435,D435,In435,I435,Fire,0.0,59940,0,V435
436,D436,In436,I436,Police,0.0,73400,0,V436
437,D437,In437,I437,Fire,0.0,41850,0,V437
438,D438,In438,I438,Police,0.0,6400,1,V438
439,D439,In439,I439,Police,0.0,3190,0,V439
440,D440,In440,I440,None,1.0,5900,0,V440
441,D441,In441,I441,Fire,0.0,57330,0,V441
442,D442,In442,I442,Other,0.0,81960,0,V442
443,D443,In443,I443,Fire,0.0,70400,1,V443
444,D444,In444,I444,None,0.0,3770,0,V444
445,D445,In445,I445,None,0.0,7400,0,V445
446,D446,In446,I446,Police,0.0,54810,1,V446
447,D447,In447,I447,Fire,1.0,49400,0,V447
448,D448,In448,I448,Fire,0.0,68750,0,V448
449,D449,In449,I449,Ambulance,0.0,61500,0,V449
450,D450,In450,I450,Ambulance,0.0,76890,0,V450
451,D451,In451,I451,Ambulance,0.0,56070,0,V451
452,D452,In452,I452,Fire,1.0,56000,0,V452
453,D453,In453,I453,None,0.0,4290,0,V453
454,D454,In454,I454,Other,0.0,60750,0,V454
455,D455,In455,I455,Other,0.0,48730,0,V455
456,D456,In456,I456,Police,0.0,95150,0,V456
457,D457,In457,I457,Police,1.0,7480,0,V457
458,D458,In458,I458,Ambulance,1.0,79800,1,V458
459,D459,In459,I459,Other,0.0,103560,0,V459
460,D460,In460,I460,Ambulance,0.0,79500,0,V460
461,D461,In461,I461,Other,0.0,76230,1,V461
462,D462,In462,I462,Ambulance,0.0,59520,0,V462
463,D463,In463,I463,Police,0.0,47760,1,V463
464,D464,In464,I464,Police,0.0,84590,0,V464
465,D465,In465,I465,Other,0.0,61650,0,V465
466,D466,In466,I466,Police,0.0,81400,0,V466
467,D467,In467,I467,Fire,1.0,58410,0,V467
468,D468,In468,I468,Ambulance,0.0,38610,0,V468
469,D469,In469,I469,Fire,0.0,57600,0,V469
470,D470,In470,I470,Fire,0.0,53190,0,V470
471,D471,In471,I471,Other,0.0,58300,1,V471
472,D472,In472,I472,Ambulance,0.0,64620,0,V472
473,D473,In473,I473,Ambulance,1.0,90480,0,V473
474,D474,In474,I474,None,0.0,7080,0,V474
475,D475,In475,I475,Police,0.0,6490,1,V475
476,D476,In476,I476,Police,0.0,55900,0,V476
477,D477,In477,I477,Other,1.0,63800,1,V477
478,D478,In478,I478,Police,1.0,58160,1,V478
479,D479,In479,I479,Police,0.0,6300,1,V479
480,D480,In480,I480,Fire,0.0,104610,1,V480
481,D481,In481,I481,Fire,0.0,69850,0,V481
482,D482,In482,I482,Fire,0.0,62900,0,V482
483,D483,In483,I483,Other,0.0,59670,1,V483
484,D484,In484,I484,Other,0.0,81500,0,V484
485,D485,In485,I485,Ambulance,0.0,50000,0,V485
486,D486,In486,I486,Other,0.0,48290,0,V486
487,D487,In487,I487,Fire,0.0,59070,0,V487
488,D488,In488,I488,Police,0.0,63300,0,V488
489,D489,In489,I489,Other,1.0,65780,0,V489
490,D490,In490,I490,Ambulance,0.0,75400,1,V490
491,D491,In491,I491,None,0.0,2250,0,V491
492,D492,In492,I492,Ambulance,0.0,54120,0,V492
493,D493,In493,I493,Other,0.0,69480,0,V493
494,D494,In494,I494,Police,0.0,66950,0,V494
495,D495,In495,I495,Other,0.0,64100,1,V495
496,D496,In496,I496,Other,0.0,80280,0,V496
497,D497,In497,I497,Police,0.0,4680,0,V497
498,D498,In498,I498,Ambulance,0.0,39720,0,V498
499,D499,In499,I499,Police,0.0,63580,1,V499
500,D500,In500,I500,Other,1.0,73370,0,V500
501,D501,In501,I501,Police,1.0,86790,0,V501
502,D502,In502,I502,Police,0.0,49800,0,V502
503,D503,In503,I503,Other,0.0,77440,0,V503
504,D504,In504,I504,Other,0.0,42900,0,V504
505,D505,In505,I505,Fire,0.0,53820,1,V505
506,D506,In506,I506,Police,0.0,57330,0,V506
507,D507,In507,I507,Police,0.0,53370,0,V507
508,D508,In508,I508,Police,1.0,62920,0,V508
509,D509,In509,I509,Fire,0.0,61600,0,V509
510,D510,In510,I510,Police,0.0,74160,0,V510
511,D511,In511,I511,Police,0.0,80100,0,V511
512,D512,In512,I512,Police,0.0,6560,0,V512
513,D513,In513,I513,Ambulance,1.0,58800,0,V513
514,D514,In514,I514,Ambulance,0.0,53730,1,V514
515,D515,In515,I515,Ambulance,0.0,60600,0,V515
516,D516,In516,I516,Other,1.0,35750,0,V516
517,D517,In517,I517,Ambulance,1.0,42840,0,V517
518,D518,In518,I518,Fire,0.0,87960,1,V518
519,D519,In519,I519,Ambulance,0.0,47800,0,V519
520,D520,In520,I520,Police,0.0,3840,0,V520
