IncidentID,accidentType,incidentSeverity,incidentTime,numVehiclesInvolved,numBodilyInjuries
I061,Multi-vehicle Collision,Major Damage,15.0,3.0,2.0
I062,Multi-vehicle Collision,Total Loss,23.0,3.0,0.0
I063,Single Vehicle Collision,Minor Damage,12.0,1.0,0.0
I064,Multi-vehicle Collision,Major Damage,20.0,3.0,2.0
I065,Multi-vehicle Collision,Total Loss,16.0,3.0,0.0
I066,Multi-vehicle Collision,Minor Damage,6.0,3.0,2.0
I067,Single Vehicle Collision,Minor Damage,12.0,1.0,0.0
I068,Multi-vehicle Collision,Minor Damage,17.0,3.0,1.0
I069,Single Vehicle Collision,Major Damage,8.0,1.0,0.0
I070,Parked Car,Minor Damage,13.0,1.0,0.0
I071,Multi-vehicle Collision,Major Damage,12.0,2.0,2.0
I072,Single Vehicle Collision,Total Loss,7.0,1.0,0.0
I073,Single Vehicle Collision,Minor Damage,10.0,1.0,1.0
I074,Multi-vehicle Collision,Minor Damage,7.0,3.0,2.0
I075,Multi-vehicle Collision,Minor Damage,18.0,3.0,1.0
I076,Multi-vehicle Collision,Total Loss,22.0,3.0,2.0
I077,Multi-vehicle Collision,Minor Damage,18.0,3.0,1.0
I078,Multi-vehicle Collision,Total Loss,22.0,3.0,0.0
I079,Vehicle Theft,Minor Damage,15.0,1.0,2.0
I080,Single Vehicle Collision,Major Damage,16.0,1.0,1.0
I081,Multi-vehicle Collision,Minor Damage,6.0,3.0,1.0
I082,Vehicle Theft,Trivial Damage,10.0,1.0,2.0
I083,Vehicle Theft,Minor Damage,3.0,1.0,2.0
I084,Vehicle Theft,Trivial Damage,13.0,1.0,0.0
I085,Multi-vehicle Collision,Major Damage,16.0,2.0,2.0
I086,Multi-vehicle Collision,Major Damage,13.0,3.0,0.0
I087,Multi-vehicle Collision,Minor Damage,9.0,3.0,2.0
I088,Single Vehicle Collision,Total Loss,2.0,1.0,2.0
I089,Parked Car,Trivial Damage,9.0,1.0,0.0
I090,Multi-vehicle Collision,Major Damage,12.0,3.0,2.0
I091,Multi-vehicle Collision,Total Loss,12.0,2.0,1.0
I092,Single Vehicle Collision,Major Damage,14.0,1.0,0.0
I093,Parked Car,Trivial Damage,9.0,1.0,0.0
I094,Multi-vehicle Collision,Major Damage,3.0,3.0,1.0
I095,Multi-vehicle Collision,Total Loss,21.0,3.0,1.0
I096,Vehicle Theft,Minor Damage,5.0,1.0,2.0
I097,Single Vehicle Collision,Major Damage,11.0,1.0,0.0
I098,Multi-vehicle Collision,Minor Damage,4.0,4.0,1.0
I099,Parked Car,Trivial Damage,6.0,1.0,1.0
I100,Vehicle Theft,Trivial Damage,10.0,1.0,0.0
I101,Single Vehicle Collision,Minor Damage,23.0,1.0,0.0
I102,Single Vehicle Collision,Major Damage,13.0,1.0,1.0
I103,Multi-vehicle Collision,Minor Damage,16.0,3.0,2.0
I104,Parked Car,Minor Damage,3.0,1.0,1.0
I105,Multi-vehicle Collision,Total Loss,15.0,3.0,0.0
I106,Vehicle Theft,Minor Damage,4.0,1.0,1.0
I107,Multi-vehicle Collision,Major Damage,6.0,3.0,0.0
I108,Multi-vehicle Collision,Major Damage,22.0,2.0,1.0
I109,Single Vehicle Collision,Major Damage,1.0,1.0,0.0
I110,Multi-vehicle Collision,Major Damage,16.0,3.0,0.0
I111,Single Vehicle Collision,Minor Damage,18.0,1.0,1.0
I112,Single Vehicle Collision,Major Damage,0.0,1.0,0.0
I113,Multi-vehicle Collision,Total Loss,12.0,3.0,2.0
I114,Multi-vehicle Collision,Major Damage,13.0,2.0,1.0
I115,Vehicle Theft,Minor Damage,9.0,1.0,1.0
I116,Multi-vehicle Collision,Total Loss,14.0,3.0,0.0
I117,Single Vehicle Collision,Minor Damage,16.0,1.0,0.0
I118,Multi-vehicle Collision,Major Damage,20.0,3.0,2.0
I119,Single Vehicle Collision,Minor Damage,4.0,1.0,1.0
I120,Multi-vehicle Collision,Minor Damage,7.0,3.0,0.0
I121,Single Vehicle Collision,Minor Damage,22.0,1.0,2.0
I122,Single Vehicle Collision,Major Damage,11.0,1.0,2.0
I123,Single Vehicle Collision,Major Damage,7.0,1.0,0.0
I124,Multi-vehicle Collision,Total Loss,0.0,4.0,1.0
I125,Single Vehicle Collision,Total Loss,1.0,1.0,1.0
I126,Multi-vehicle Collision,Total Loss,12.0,3.0,2.0
I127,Single Vehicle Collision,Total Loss,8.0,1.0,0.0
I128,Parked Car,Minor Damage,9.0,1.0,2.0
I129,Single Vehicle Collision,Major Damage,22.0,1.0,0.0
I130,Multi-vehicle Collision,Major Damage,0.0,3.0,1.0
I131,Multi-vehicle Collision,Minor Damage,0.0,3.0,1.0
I132,Multi-vehicle Collision,Major Damage,3.0,3.0,2.0
I133,Multi-vehicle Collision,Major Damage,21.0,3.0,0.0
I134,Single Vehicle Collision,Total Loss,0.0,1.0,2.0
I135,Single Vehicle Collision,Minor Damage,16.0,1.0,1.0
I136,Single Vehicle Collision,Major Damage,14.0,1.0,1.0
I137,Vehicle Theft,Minor Damage,9.0,1.0,0.0
I138,Multi-vehicle Collision,Minor Damage,9.0,3.0,0.0
I139,Multi-vehicle Collision,Minor Damage,21.0,3.0,1.0
I140,Multi-vehicle Collision,Total Loss,19.0,3.0,0.0
I141,Single Vehicle Collision,Total Loss,2.0,1.0,0.0
I142,Vehicle Theft,Trivial Damage,9.0,1.0,2.0
I143,Parked Car,Minor Damage,5.0,1.0,2.0
I144,Single Vehicle Collision,Major Damage,14.0,1.0,2.0
I145,Multi-vehicle Collision,Total Loss,20.0,3.0,0.0
I146,Single Vehicle Collision,Major Damage,18.0,1.0,2.0
I147,Multi-vehicle Collision,Major Damage,13.0,3.0,2.0
I148,Single Vehicle Collision,Minor Damage,21.0,1.0,1.0
I149,Single Vehicle Collision,Major Damage,14.0,1.0,2.0
I150,Single Vehicle Collision,Major Damage,1.0,1.0,1.0
I151,Single Vehicle Collision,Total Loss,17.0,1.0,1.0
I152,Multi-vehicle Collision,Major Damage,4.0,3.0,2.0
I153,Multi-vehicle Collision,Total Loss,23.0,3.0,1.0
I154,Multi-vehicle Collision,Total Loss,13.0,3.0,2.0
I155,Multi-vehicle Collision,Minor Damage,20.0,3.0,1.0
I156,Single Vehicle Collision,Major Damage,16.0,1.0,2.0
I157,Multi-vehicle Collision,Minor Damage,10.0,3.0,2.0
I158,Parked Car,Minor Damage,8.0,1.0,2.0
I159,Multi-vehicle Collision,Total Loss,17.0,3.0,2.0
I160,Vehicle Theft,Minor Damage,9.0,1.0,2.0
I161,Parked Car,Minor Damage,0.0,1.0,2.0
I162,Single Vehicle Collision,Total Loss,12.0,1.0,2.0
I163,Multi-vehicle Collision,Total Loss,20.0,2.0,2.0
I164,Single Vehicle Collision,Major Damage,3.0,1.0,2.0
I165,Multi-vehicle Collision,Total Loss,18.0,3.0,2.0
I166,Multi-vehicle Collision,Minor Damage,4.0,3.0,2.0
I167,Single Vehicle Collision,Major Damage,18.0,1.0,2.0
I168,Multi-vehicle Collision,Minor Damage,18.0,3.0,0.0
I169,Parked Car,Trivial Damage,7.0,1.0,0.0
I170,Parked Car,Minor Damage,18.0,1.0,1.0
I171,Multi-vehicle Collision,Minor Damage,23.0,3.0,0.0
I172,Single Vehicle Collision,Total Loss,1.0,1.0,0.0
I173,Multi-vehicle Collision,Total Loss,15.0,3.0,1.0
I174,Multi-vehicle Collision,Major Damage,2.0,3.0,0.0
I175,Vehicle Theft,Trivial Damage,3.0,1.0,0.0
I176,Single Vehicle Collision,Minor Damage,13.0,1.0,1.0
I177,Single Vehicle Collision,Minor Damage,1.0,1.0,1.0
I178,Single Vehicle Collision,Minor Damage,16.0,1.0,0.0
I179,Single Vehicle Collision,Total Loss,0.0,1.0,0.0
I180,Vehicle Theft,Trivial Damage,1.0,1.0,2.0
I181,Multi-vehicle Collision,Major Damage,17.0,3.0,2.0
I182,Single Vehicle Collision,Minor Damage,13.0,1.0,2.0
I183,Single Vehicle Collision,Total Loss,12.0,1.0,2.0
I184,Single Vehicle Collision,Minor Damage,11.0,1.0,1.0
I185,Single Vehicle Collision,Major Damage,18.0,1.0,0.0
I186,Single Vehicle Collision,Total Loss,17.0,1.0,2.0
I187,Multi-vehicle Collision,Total Loss,22.0,3.0,1.0
I188,Vehicle Theft,Minor Damage,9.0,1.0,1.0
I189,Multi-vehicle Collision,Major Damage,11.0,3.0,1.0
I190,Single Vehicle Collision,Total Loss,11.0,1.0,0.0
I191,Parked Car,Minor Damage,8.0,1.0,0.0
I192,Single Vehicle Collision,Minor Damage,18.0,1.0,1.0
I193,Single Vehicle Collision,Total Loss,13.0,1.0,0.0
I194,Vehicle Theft,Minor Damage,8.0,1.0,1.0
I195,Multi-vehicle Collision,Total Loss,9.0,3.0,0.0
I196,Multi-vehicle Collision,Total Loss,17.0,2.0,2.0
I197,Vehicle Theft,Trivial Damage,3.0,1.0,1.0
I198,Parked Car,Trivial Damage,6.0,1.0,0.0
I199,Single Vehicle Collision,Major Damage,17.0,1.0,2.0
I200,Vehicle Theft,Minor Damage,7.0,1.0,1.0
I201,Vehicle Theft,Trivial Damage,9.0,1.0,2.0
I202,Single Vehicle Collision,Minor Damage,3.0,1.0,2.0
I203,Parked Car,Trivial Damage,6.0,1.0,0.0
I204,Multi-vehicle Collision,Major Damage,7.0,3.0,0.0
I205,Multi-vehicle Collision,Total Loss,21.0,3.0,1.0
I206,Single Vehicle Collision,Minor Damage,14.0,1.0,2.0
I207,Single Vehicle Collision,Total Loss,0.0,1.0,1.0
I208,Multi-vehicle Collision,Major Damage,14.0,3.0,0.0
I209,Multi-vehicle Collision,Total Loss,13.0,4.0,2.0
I210,Parked Car,Trivial Damage,8.0,1.0,0.0
I211,Vehicle Theft,Minor Damage,7.0,1.0,2.0
I212,Vehicle Theft,Trivial Damage,9.0,1.0,1.0
I213,Multi-vehicle Collision,Minor Damage,12.0,3.0,2.0
I214,Multi-vehicle Collision,Major Damage,6.0,3.0,1.0
I215,Single Vehicle Collision,Total Loss,11.0,1.0,1.0
I216,Multi-vehicle Collision,Minor Damage,5.0,3.0,1.0
I217,Single Vehicle Collision,Minor Damage,14.0,1.0,2.0
I218,Vehicle Theft,Trivial Damage,17.0,1.0,2.0
I219,Single Vehicle Collision,Total Loss,0.0,1.0,2.0
I220,Multi-vehicle Collision,Minor Damage,21.0,3.0,1.0
I221,Single Vehicle Collision,Major Damage,18.0,1.0,1.0
I222,Single Vehicle Collision,Minor Damage,17.0,1.0,2.0
I223,Single Vehicle Collision,Total Loss,19.0,1.0,0.0
I224,Multi-vehicle Collision,Total Loss,17.0,3.0,1.0
I225,Multi-vehicle Collision,Major Damage,23.0,3.0,0.0
I226,Single Vehicle Collision,Total Loss,4.0,1.0,0.0
I227,Multi-vehicle Collision,Minor Damage,2.0,2.0,2.0
I228,Single Vehicle Collision,Major Damage,2.0,1.0,0.0
I229,Multi-vehicle Collision,Total Loss,10.0,3.0,1.0
I230,Single Vehicle Collision,Minor Damage,2.0,1.0,0.0
I231,Single Vehicle Collision,Total Loss,18.0,1.0,0.0
I232,Single Vehicle Collision,Minor Damage,18.0,1.0,2.0
I233,Multi-vehicle Collision,Total Loss,7.0,4.0,2.0
I234,Multi-vehicle Collision,Major Damage,19.0,3.0,2.0
I235,Multi-vehicle Collision,Major Damage,10.0,3.0,0.0
I236,Multi-vehicle Collision,Minor Damage,16.0,3.0,1.0
I237,Single Vehicle Collision,Total Loss,17.0,1.0,1.0
I238,Multi-vehicle Collision,Total Loss,2.0,3.0,2.0
I239,Single Vehicle Collision,Major Damage,19.0,1.0,1.0
I240,Single Vehicle Collision,Minor Damage,0.0,1.0,1.0
I241,Single Vehicle Collision,Major Damage,16.0,1.0,0.0
I242,Single Vehicle Collision,Major Damage,20.0,1.0,2.0
I243,Parked Car,Trivial Damage,10.0,1.0,2.0
I244,Multi-vehicle Collision,Total Loss,21.0,3.0,2.0
I245,Vehicle Theft,Trivial Damage,3.0,1.0,1.0
I246,Single Vehicle Collision,Major Damage,7.0,1.0,0.0
I247,Single Vehicle Collision,Minor Damage,19.0,1.0,0.0
I248,Multi-vehicle Collision,Total Loss,15.0,3.0,0.0
I249,Parked Car,Minor Damage,7.0,1.0,0.0
I250,Single Vehicle Collision,Major Damage,19.0,1.0,1.0
I251,Multi-vehicle Collision,Total Loss,13.0,2.0,0.0
I252,Multi-vehicle Collision,Major Damage,2.0,3.0,1.0
I253,Vehicle Theft,Trivial Damage,5.0,1.0,1.0
I254,Single Vehicle Collision,Major Damage,21.0,1.0,2.0
I255,Multi-vehicle Collision,Major Damage,21.0,3.0,2.0
I256,Multi-vehicle Collision,Major Damage,7.0,3.0,0.0
I257,Multi-vehicle Collision,Total Loss,16.0,3.0,1.0
I258,Single Vehicle Collision,Major Damage,13.0,1.0,0.0
I259,Vehicle Theft,Trivial Damage,2.0,1.0,1.0
I260,Multi-vehicle Collision,Major Damage,19.0,3.0,0.0
I261,Parked Car,Trivial Damage,17.0,1.0,0.0
I262,Single Vehicle Collision,Major Damage,3.0,1.0,2.0
I263,Multi-vehicle Collision,Major Damage,17.0,3.0,0.0
I264,Multi-vehicle Collision,Minor Damage,5.0,3.0,1.0
I265,Single Vehicle Collision,Minor Damage,9.0,1.0,1.0
I266,Vehicle Theft,Trivial Damage,9.0,1.0,1.0
I267,Multi-vehicle Collision,Major Damage,9.0,3.0,2.0
I268,Multi-vehicle Collision,Minor Damage,22.0,3.0,0.0
I269,Multi-vehicle Collision,Major Damage,15.0,3.0,0.0
I270,Multi-vehicle Collision,Total Loss,14.0,3.0,2.0
I271,Multi-vehicle Collision,Minor Damage,6.0,3.0,2.0
I272,Parked Car,Minor Damage,6.0,1.0,0.0
I273,Multi-vehicle Collision,Major Damage,22.0,4.0,2.0
I274,Multi-vehicle Collision,Minor Damage,14.0,3.0,1.0
I275,Multi-vehicle Collision,Minor Damage,16.0,3.0,0.0
I276,Multi-vehicle Collision,Major Damage,10.0,3.0,0.0
I277,Multi-vehicle Collision,Total Loss,9.0,3.0,1.0
I278,Single Vehicle Collision,Minor Damage,4.0,1.0,1.0
I279,Multi-vehicle Collision,Major Damage,6.0,3.0,0.0
I280,Multi-vehicle Collision,Minor Damage,15.0,3.0,2.0
I281,Multi-vehicle Collision,Minor Damage,12.0,3.0,1.0
I282,Vehicle Theft,Trivial Damage,3.0,1.0,2.0
I283,Vehicle Theft,Minor Damage,14.0,1.0,0.0
I284,Single Vehicle Collision,Major Damage,10.0,1.0,0.0
I285,Multi-vehicle Collision,Major Damage,17.0,3.0,1.0
I286,Single Vehicle Collision,Total Loss,8.0,1.0,0.0
I287,Multi-vehicle Collision,Total Loss,14.0,3.0,2.0
I288,Vehicle Theft,Trivial Damage,6.0,1.0,1.0
I289,Single Vehicle Collision,Major Damage,6.0,1.0,1.0
I290,Parked Car,Minor Damage,8.0,1.0,0.0
I291,Single Vehicle Collision,Major Damage,13.0,1.0,0.0
I292,Multi-vehicle Collision,Total Loss,0.0,3.0,0.0
I293,Multi-vehicle Collision,Major Damage,14.0,3.0,1.0
I294,Single Vehicle Collision,Minor Damage,13.0,1.0,2.0
I295,Multi-vehicle Collision,Minor Damage,16.0,4.0,1.0
I296,Single Vehicle Collision,Total Loss,13.0,1.0,1.0
I297,Multi-vehicle Collision,Minor Damage,15.0,3.0,2.0
I298,Parked Car,Trivial Damage,3.0,1.0,2.0
I299,Parked Car,Minor Damage,7.0,1.0,1.0
I300,Multi-vehicle Collision,Major Damage,16.0,2.0,1.0
I301,Vehicle Theft,Trivial Damage,15.0,1.0,1.0
I302,Multi-vehicle Collision,Total Loss,21.0,3.0,1.0
I303,Multi-vehicle Collision,Major Damage,23.0,3.0,0.0
I304,Parked Car,Trivial Damage,5.0,1.0,0.0
I305,Multi-vehicle Collision,Minor Damage,15.0,3.0,0.0
I306,Single Vehicle Collision,Major Damage,14.0,1.0,2.0
I307,Single Vehicle Collision,Major Damage,1.0,1.0,1.0
I308,Multi-vehicle Collision,Total Loss,14.0,3.0,1.0
I309,Multi-vehicle Collision,Total Loss,17.0,3.0,1.0
I310,Multi-vehicle Collision,Total Loss,20.0,3.0,2.0
I311,Multi-vehicle Collision,Major Damage,10.0,3.0,2.0
I312,Multi-vehicle Collision,Major Damage,3.0,3.0,0.0
I313,Single Vehicle Collision,Total Loss,0.0,1.0,0.0
I314,Multi-vehicle Collision,Total Loss,10.0,3.0,2.0
I315,Multi-vehicle Collision,Minor Damage,13.0,3.0,2.0
I316,Single Vehicle Collision,Minor Damage,14.0,1.0,2.0
I317,Multi-vehicle Collision,Total Loss,22.0,3.0,1.0
I318,Multi-vehicle Collision,Total Loss,8.0,3.0,1.0
I319,Multi-vehicle Collision,Minor Damage,1.0,3.0,1.0
I320,Single Vehicle Collision,Major Damage,19.0,1.0,0.0
I321,Single Vehicle Collision,Total Loss,17.0,1.0,0.0
I322,Multi-vehicle Collision,Major Damage,13.0,3.0,0.0
I323,Single Vehicle Collision,Total Loss,4.0,1.0,1.0
I324,Multi-vehicle Collision,Total Loss,14.0,3.0,0.0
I325,Multi-vehicle Collision,Major Damage,4.0,2.0,2.0
I326,Multi-vehicle Collision,Total Loss,23.0,3.0,1.0
I327,Multi-vehicle Collision,Total Loss,21.0,3.0,0.0
I328,Multi-vehicle Collision,Minor Damage,23.0,3.0,0.0
I329,Multi-vehicle Collision,Major Damage,6.0,3.0,0.0
I330,Single Vehicle Collision,Major Damage,21.0,1.0,1.0
I331,Single Vehicle Collision,Major Damage,23.0,1.0,2.0
I332,Multi-vehicle Collision,Major Damage,3.0,3.0,1.0
I333,Parked Car,Trivial Damage,8.0,1.0,2.0
I334,Parked Car,Trivial Damage,4.0,1.0,2.0
I335,Single Vehicle Collision,Total Loss,22.0,1.0,0.0
I336,Single Vehicle Collision,Minor Damage,16.0,1.0,0.0
I337,Multi-vehicle Collision,Minor Damage,14.0,3.0,2.0
I338,Single Vehicle Collision,Total Loss,13.0,1.0,2.0
I339,Single Vehicle Collision,Minor Damage,20.0,1.0,1.0
I340,Multi-vehicle Collision,Total Loss,0.0,3.0,1.0
I341,Multi-vehicle Collision,Total Loss,23.0,3.0,2.0
I342,Single Vehicle Collision,Minor Damage,13.0,1.0,1.0
I343,Single Vehicle Collision,Major Damage,8.0,1.0,2.0
I344,Vehicle Theft,Minor Damage,3.0,1.0,0.0
I345,Single Vehicle Collision,Total Loss,16.0,1.0,2.0
I346,Single Vehicle Collision,Minor Damage,19.0,1.0,0.0
I347,Single Vehicle Collision,Minor Damage,0.0,1.0,2.0
I348,Single Vehicle Collision,Total Loss,12.0,1.0,2.0
I349,Multi-vehicle Collision,Total Loss,21.0,3.0,1.0
I350,Single Vehicle Collision,Major Damage,0.0,1.0,1.0
I351,Single Vehicle Collision,Minor Damage,22.0,1.0,1.0
I352,Multi-vehicle Collision,Major Damage,20.0,3.0,1.0
I353,Single Vehicle Collision,Minor Damage,0.0,1.0,1.0
I354,Single Vehicle Collision,Minor Damage,20.0,1.0,0.0
I355,Multi-vehicle Collision,Minor Damage,1.0,3.0,0.0
I356,Single Vehicle Collision,Total Loss,11.0,1.0,0.0
I357,Multi-vehicle Collision,Major Damage,14.0,3.0,1.0
I358,Multi-vehicle Collision,Minor Damage,20.0,3.0,0.0
I359,Single Vehicle Collision,Major Damage,22.0,1.0,1.0
I360,Single Vehicle Collision,Total Loss,12.0,1.0,1.0
I361,Multi-vehicle Collision,Major Damage,3.0,3.0,2.0
I362,Multi-vehicle Collision,Major Damage,15.0,3.0,2.0
I363,Parked Car,Trivial Damage,8.0,1.0,0.0
I364,Multi-vehicle Collision,Major Damage,13.0,3.0,0.0
I365,Parked Car,Minor Damage,8.0,1.0,2.0
I366,Parked Car,Minor Damage,7.0,1.0,0.0
I367,Vehicle Theft,Trivial Damage,9.0,1.0,2.0
I368,Single Vehicle Collision,Minor Damage,15.0,1.0,1.0
I369,Single Vehicle Collision,Minor Damage,5.0,1.0,0.0
I370,Multi-vehicle Collision,Major Damage,15.0,4.0,0.0
I371,Multi-vehicle Collision,Major Damage,22.0,3.0,2.0
I372,Multi-vehicle Collision,Total Loss,16.0,2.0,1.0
I373,Single Vehicle Collision,Total Loss,7.0,1.0,1.0
I374,Parked Car,Minor Damage,2.0,1.0,1.0
I375,Multi-vehicle Collision,Minor Damage,17.0,4.0,0.0
I376,Multi-vehicle Collision,Total Loss,12.0,3.0,1.0
I377,Single Vehicle Collision,Major Damage,9.0,1.0,1.0
I378,Single Vehicle Collision,Total Loss,16.0,1.0,1.0
I379,Multi-vehicle Collision,Minor Damage,19.0,3.0,2.0
I380,Multi-vehicle Collision,Major Damage,14.0,3.0,1.0
I381,Multi-vehicle Collision,Total Loss,18.0,3.0,1.0
I382,Single Vehicle Collision,Minor Damage,23.0,1.0,1.0
I383,Multi-vehicle Collision,Minor Damage,15.0,3.0,0.0
I384,Single Vehicle Collision,Minor Damage,18.0,1.0,0.0
I385,Single Vehicle Collision,Minor Damage,16.0,1.0,2.0
I386,Multi-vehicle Collision,Minor Damage,12.0,3.0,1.0
I387,Single Vehicle Collision,Major Damage,16.0,1.0,0.0
I388,Single Vehicle Collision,Total Loss,21.0,1.0,1.0
I389,Multi-vehicle Collision,Total Loss,15.0,3.0,0.0
I390,Single Vehicle Collision,Major Damage,21.0,1.0,1.0
I391,Single Vehicle Collision,Major Damage,1.0,1.0,0.0
I392,Multi-vehicle Collision,Total Loss,17.0,3.0,0.0
I393,Multi-vehicle Collision,Total Loss,5.0,3.0,2.0
I394,Multi-vehicle Collision,Total Loss,15.0,3.0,1.0
I395,Multi-vehicle Collision,Major Damage,2.0,4.0,2.0
I396,Vehicle Theft,Minor Damage,3.0,1.0,2.0
I397,Single Vehicle Collision,Major Damage,19.0,1.0,1.0
I398,Single Vehicle Collision,Minor Damage,17.0,1.0,0.0
I399,Vehicle Theft,Trivial Damage,7.0,1.0,0.0
I400,Single Vehicle Collision,Minor Damage,21.0,1.0,1.0
I401,Multi-vehicle Collision,Total Loss,10.0,2.0,1.0
I402,Single Vehicle Collision,Total Loss,11.0,1.0,1.0
I403,Multi-vehicle Collision,Major Damage,23.0,3.0,2.0
I404,Single Vehicle Collision,Minor Damage,14.0,1.0,0.0
I405,Single Vehicle Collision,Minor Damage,10.0,1.0,1.0
I406,Multi-vehicle Collision,Total Loss,6.0,3.0,2.0
I407,Multi-vehicle Collision,Minor Damage,10.0,3.0,0.0
I408,Multi-vehicle Collision,Total Loss,5.0,3.0,0.0
I409,Single Vehicle Collision,Minor Damage,17.0,1.0,1.0
I410,Vehicle Theft,Trivial Damage,3.0,1.0,2.0
I411,Parked Car,Minor Damage,9.0,1.0,0.0
I412,Parked Car,Trivial Damage,6.0,1.0,2.0
I413,Multi-vehicle Collision,Minor Damage,22.0,3.0,2.0
I414,Multi-vehicle Collision,Major Damage,10.0,3.0,1.0
I415,Vehicle Theft,Minor Damage,4.0,1.0,1.0
I416,Single Vehicle Collision,Total Loss,23.0,1.0,1.0
I417,Single Vehicle Collision,Total Loss,19.0,1.0,0.0
I418,Single Vehicle Collision,Total Loss,22.0,1.0,1.0
I419,Vehicle Theft,Trivial Damage,6.0,1.0,1.0
I420,Single Vehicle Collision,Minor Damage,6.0,1.0,2.0
I421,Single Vehicle Collision,Major Damage,18.0,1.0,2.0
I422,Single Vehicle Collision,Total Loss,22.0,1.0,1.0
I423,Single Vehicle Collision,Major Damage,21.0,1.0,0.0
I424,Single Vehicle Collision,Minor Damage,12.0,1.0,0.0
I425,Multi-vehicle Collision,Major Damage,6.0,3.0,0.0
I426,Multi-vehicle Collision,Major Damage,0.0,4.0,0.0
I427,Single Vehicle Collision,Total Loss,11.0,1.0,0.0
I428,Single Vehicle Collision,Minor Damage,19.0,1.0,1.0
I429,Multi-vehicle Collision,Major Damage,22.0,3.0,0.0
I430,Single Vehicle Collision,Total Loss,2.0,1.0,2.0
