accidentType,authoritiesInvolved,driverAge,driverExperience,driverGender,educationLevel,incidentSeverity,incidentTime,index,insuranceAccess,insurancePremium,licenceType,numBodilyInjuries,numVehiclesInvolved,policeReportBool,timeAsCustomer,totalClaimAmount,vehicleAge,fraud
Multi-vehicle Collision,Other,39.0,21.0,,High School,Minor Loss,10.0,1707.0,2000.0,994.0,Full,-0.0,3.0,1.0,99.0,1000.0,17.0,0
Vehicle Theft,Police,29.0,13.0,1.0,JD,Minor Damage,9.0,160.0,500.0,1203.0,Full,2.0,1.0,-0.0,136.0,6200.0,16.0,0
Single Vehicle Collision,Fire,31.0,13.0,1.0,High School,Minor Damage,12.0,67.0,500.0,1239.0,Full,-0.0,1.0,0.0,107.0,89700.0,6.0,0
Multi-vehicle Collision,Fire,45.0,25.0,0.0,Masters,Major Damage,4.0,152.0,1000.0,1047.0,Full,2.0,3.0,-0.0,288.0,48060.0,6.0,0
Multi-vehicle Collision,Other,26.0,10.0,0.0,MD,Total Loss,9.0,195.0,2000.0,1191.0,Full,0.0,3.0,1.0,73.0,40160.0,12.0,1
Single Vehicle Collision,Fire,44.0,25.0,1.0,College,Total Loss,19.0,540.0,2000.0,1009.0,Full,-0.0,1.0,1.0,230.0,74140.0,0.0,0
Parked Car,Ambulance,47.0,29.0,,High School,Total Loss,0.0,2320.0,2000.0,1045.0,Full,1.0,1.0,1.0,117.0,2000.0,17.0,0
Parked Car,,36.0,16.0,1.0,College,Trivial Damage,9.0,89.0,2000.0,1318.0,Full,0.0,1.0,1.0,31.0,4700.0,13.0,0
Single Vehicle Collision,Police,57.0,38.0,,High School,Minor Loss,22.0,1503.0,1000.0,1601.0,Full,1.0,1.0,1.0,84.0,9000.0,16.0,0
Single Vehicle Collision,Ambulance,37.0,15.0,,High School,Minor Loss,19.0,1406.0,500.0,1598.0,Full,1.0,1.0,1.0,49.0,8000.0,5.0,0
Single Vehicle Collision,Ambulance,28.0,7.0,,Bachelor,Minor Loss,19.0,1103.0,1000.0,1603.0,Full,-0.0,1.0,-0.0,52.0,5000.0,6.0,0
Single Vehicle Collision,Ambulance,60.0,43.0,-0.0,High School,Minor Damage,16.0,759.0,500.0,1362.0,Full,-0.0,1.0,0.0,436.0,82060.0,10.0,0
Single Vehicle Collision,Other,50.0,30.0,1.0,PhD,Minor Damage,4.0,566.0,2000.0,1109.0,Full,2.0,1.0,1.0,392.0,108030.0,13.0,0
Multi-vehicle Collision,Police,58.0,39.0,,High School,Major Loss,3.0,2308.0,1000.0,957.0,Full,1.0,3.0,1.0,28.0,7000.0,12.0,0
Single Vehicle Collision,Ambulance,44.0,28.0,,High School,Major Loss,21.0,1712.0,1000.0,933.0,Full,-0.0,1.0,1.0,92.0,9000.0,12.0,0
Multi-vehicle Collision,Police,36.0,18.0,,PhD,Major Loss,-0.0,2284.0,1000.0,1627.0,Full,1.0,3.0,1.0,42.0,6000.0,3.0,1
Single Vehicle Collision,Police,46.0,25.0,,Bachelor,Minor Loss,6.0,1752.0,500.0,1519.0,Full,1.0,1.0,1.0,114.0,6000.0,19.0,0
Vehicle Theft,Police,54.0,33.0,,College,Minor Loss,15.0,2269.0,500.0,998.0,Full,1.0,1.0,1.0,79.0,1000.0,10.0,1
Multi-vehicle Collision,Police,34.0,12.0,-0.0,PhD,Major Damage,15.0,61.0,500.0,795.0,Full,2.0,3.0,0.0,154.0,69480.0,1.0,0
Vehicle Theft,Ambulance,44.0,27.0,,Bachelor,Major Loss,15.0,1809.0,500.0,1248.0,Full,1.0,1.0,0.0,54.0,8000.0,15.0,0
Multi-vehicle Collision,Other,33.0,17.0,,Bachelor,Minor Loss,12.0,1665.0,1000.0,1495.0,Full,1.0,3.0,1.0,47.0,3000.0,11.0,0
Multi-vehicle Collision,Ambulance,48.0,32.0,1.0,MD,Total Loss,20.0,163.0,1000.0,1332.0,Full,2.0,2.0,1.0,295.0,86060.0,13.0,1
Multi-vehicle Collision,Other,31.0,9.0,0.0,Associate,Major Damage,21.0,582.0,500.0,1164.0,Full,2.0,4.0,-0.0,143.0,76120.0,16.0,1
Multi-vehicle Collision,Ambulance,55.0,38.0,-0.0,High School,Major Damage,20.0,23.0,2000.0,972.0,Full,0.0,3.0,1.0,370.0,71520.0,15.0,0
Parked Car,,31.0,13.0,-0.0,MD,Minor Damage,6.0,895.0,500.0,1460.0,Full,1.0,1.0,0.0,45.0,6000.0,15.0,0
Multi-vehicle Collision,,53.0,37.0,,Bachelor,Total Loss,17.0,1698.0,1000.0,1236.0,Full,-0.0,3.0,1.0,31.0,5000.0,2.0,0
Single Vehicle Collision,Ambulance,28.0,9.0,0.0,Masters,Major Damage,5.0,458.0,2000.0,1836.0,Full,2.0,1.0,1.0,123.0,79800.0,4.0,0
Multi-vehicle Collision,Police,60.0,39.0,,High School,Total Loss,20.0,1498.0,1000.0,1451.0,Full,0.0,3.0,1.0,98.0,2000.0,10.0,0
Multi-vehicle Collision,Police,38.0,19.0,,Bachelor,Total Loss,4.0,1082.0,1000.0,1184.0,Full,-0.0,3.0,1.0,68.0,8000.0,17.0,0
Single Vehicle Collision,Police,19.0,2.0,1.0,JD,Minor Damage,5.0,369.0,1000.0,1186.0,P1,-0.0,1.0,0.0,10.0,48950.0,4.0,0
Single Vehicle Collision,Police,37.0,21.0,1.0,PhD,Total Loss,9.0,963.0,1000.0,1007.0,Full,-0.0,1.0,-0.0,150.0,80080.0,2.0,0
Single Vehicle Collision,Police,49.0,33.0,1.0,JD,Total Loss,19.0,826.0,2000.0,1239.0,Full,1.0,1.0,0.0,293.0,57310.0,13.0,0
Multi-vehicle Collision,Police,52.0,31.0,,High School,Total Loss,4.0,1644.0,500.0,1356.0,Full,1.0,3.0,0.0,30.0,5000.0,1.0,0
Single Vehicle Collision,Other,28.0,9.0,,Bachelor,Major Loss,3.0,2427.0,1000.0,1439.0,Full,1.0,1.0,1.0,108.0,8000.0,15.0,1
Multi-vehicle Collision,Fire,42.0,22.0,-0.0,PhD,Total Loss,16.0,65.0,2000.0,1642.0,Full,0.0,3.0,0.0,295.0,59130.0,9.0,0
Parked Car,Police,41.0,21.0,1.0,JD,Trivial Damage,22.0,542.0,1000.0,1325.0,Full,-0.0,1.0,1.0,239.0,10790.0,2.0,0
Single Vehicle Collision,Police,60.0,40.0,,Bachelor,Minor Loss,10.0,1094.0,1000.0,887.0,Full,1.0,1.0,1.0,116.0,5000.0,20.0,0
Multi-vehicle Collision,Ambulance,37.0,17.0,0.0,High School,Total Loss,5.0,551.0,500.0,1011.0,Full,-0.0,3.0,-0.0,153.0,42500.0,16.0,0
Multi-vehicle Collision,Police,50.0,31.0,,Bachelor,Total Loss,3.0,1423.0,500.0,1636.0,Full,1.0,3.0,1.0,76.0,7000.0,7.0,0
Multi-vehicle Collision,Other,47.0,26.0,,College,Major Loss,4.0,2557.0,2000.0,916.0,Full,1.0,3.0,1.0,52.0,7000.0,19.0,0
Single Vehicle Collision,,31.0,12.0,,High School,Major Loss,14.0,1143.0,500.0,858.0,Full,1.0,1.0,0.0,105.0,10000.0,10.0,0
Parked Car,Police,28.0,9.0,0.0,MD,Trivial Damage,4.0,623.0,1000.0,1074.0,Full,2.0,1.0,-0.0,27.0,3200.0,3.0,0
Single Vehicle Collision,Police,31.0,11.0,1.0,MD,Major Damage,23.0,731.0,500.0,1195.0,Full,0.0,1.0,-0.0,116.0,44200.0,18.0,0
Parked Car,Police,39.0,21.0,0.0,PhD,Minor Damage,5.0,55.0,1000.0,1394.0,Full,-0.0,1.0,1.0,195.0,2640.0,6.0,0
Single Vehicle Collision,Ambulance,47.0,25.0,,Bachelor,Major Loss,10.0,1309.0,2000.0,1163.0,Full,-0.0,1.0,0.0,87.0,4000.0,6.0,0
Multi-vehicle Collision,Other,57.0,36.0,-0.0,MD,Total Loss,21.0,878.0,1000.0,1132.0,Full,2.0,3.0,0.0,405.0,61440.0,7.0,0
Multi-vehicle Collision,,35.0,15.0,,Bachelor,Major Loss,18.0,1961.0,2000.0,937.0,Full,0.0,3.0,-0.0,56.0,10000.0,10.0,0
Single Vehicle Collision,Police,57.0,36.0,,Bachelor,Major Loss,22.0,2360.0,1000.0,856.0,Full,-0.0,1.0,1.0,48.0,5000.0,20.0,0
Multi-vehicle Collision,Police,49.0,32.0,,College,Minor Loss,22.0,1212.0,2000.0,905.0,Full,1.0,4.0,-0.0,37.0,6000.0,0.0,0
Single Vehicle Collision,Police,26.0,9.0,,High School,Total Loss,8.0,2019.0,1000.0,1209.0,Full,1.0,1.0,1.0,115.0,6000.0,10.0,0
Vehicle Theft,Ambulance,57.0,37.0,,MD,Minor Loss,5.0,2553.0,1000.0,1099.0,Full,0.0,1.0,0.0,84.0,4000.0,2.0,0
Multi-vehicle Collision,Police,61.0,42.0,0.0,JD,Minor Damage,10.0,157.0,2000.0,1403.0,Full,2.0,3.0,1.0,461.0,72100.0,9.0,0
Vehicle Theft,Ambulance,40.0,22.0,,High School,Total Loss,-0.0,1691.0,2000.0,1556.0,Full,1.0,1.0,1.0,78.0,9000.0,15.0,0
Vehicle Theft,,51.0,33.0,-0.0,Associate,Minor Damage,9.0,115.0,2000.0,1124.0,Full,1.0,1.0,1.0,390.0,7080.0,14.0,0
Single Vehicle Collision,Ambulance,55.0,34.0,,High School,Total Loss,22.0,2219.0,2000.0,999.0,Full,1.0,1.0,1.0,70.0,5000.0,10.0,0
Single Vehicle Collision,Police,53.0,33.0,0.0,JD,Minor Damage,16.0,823.0,500.0,1079.0,Full,2.0,1.0,1.0,386.0,66660.0,9.0,0
Single Vehicle Collision,Other,33.0,16.0,,High School,Total Loss,20.0,1627.0,1000.0,918.0,Full,1.0,1.0,1.0,56.0,4000.0,15.0,0
Single Vehicle Collision,Ambulance,43.0,26.0,,Bachelor,Minor Loss,19.0,1881.0,1000.0,1476.0,Full,1.0,1.0,1.0,30.0,4000.0,18.0,0
Single Vehicle Collision,Ambulance,54.0,36.0,,High School,Major Loss,17.0,1067.0,1000.0,1605.0,Full,1.0,1.0,1.0,89.0,9000.0,5.0,0
Parked Car,Other,36.0,14.0,,High School,Major Loss,9.0,1749.0,1000.0,1219.0,Full,1.0,1.0,1.0,73.0,10000.0,7.0,0
Multi-vehicle Collision,Ambulance,39.0,20.0,-0.0,JD,Total Loss,21.0,205.0,2000.0,1042.0,Full,1.0,3.0,-0.0,241.0,19080.0,20.0,0
Parked Car,Ambulance,29.0,8.0,,PhD,Total Loss,22.0,1229.0,2000.0,1635.0,Full,-0.0,1.0,1.0,10.0,7000.0,10.0,0
Parked Car,Police,63.0,42.0,,High School,Total Loss,7.0,2010.0,1000.0,1622.0,Full,1.0,1.0,1.0,105.0,10000.0,4.0,0
Multi-vehicle Collision,,40.0,24.0,,High School,Minor Loss,17.0,1886.0,2000.0,1128.0,Full,1.0,3.0,1.0,14.0,2000.0,6.0,0
Single Vehicle Collision,Ambulance,60.0,42.0,-0.0,Associate,Total Loss,23.0,666.0,500.0,1064.0,Full,2.0,1.0,0.0,435.0,62880.0,8.0,0
Vehicle Theft,Ambulance,25.0,3.0,,College,Total Loss,23.0,1164.0,2000.0,845.0,P2,1.0,1.0,1.0,64.0,6000.0,14.0,1
Multi-vehicle Collision,Ambulance,36.0,16.0,,Bachelor,Total Loss,15.0,1948.0,2000.0,1275.0,Full,1.0,3.0,0.0,12.0,9000.0,12.0,0
Multi-vehicle Collision,Fire,39.0,22.0,1.0,JD,Minor Damage,12.0,281.0,1000.0,1422.0,Full,1.0,3.0,-0.0,259.0,46560.0,3.0,0
Vehicle Theft,Police,27.0,5.0,1.0,Masters,Trivial Damage,19.0,604.0,1000.0,1009.0,Full,2.0,1.0,-0.0,70.0,4400.0,15.0,0
Single Vehicle Collision,Police,41.0,20.0,,Bachelor,Major Loss,6.0,1923.0,500.0,1396.0,Full,0.0,1.0,1.0,30.0,4000.0,15.0,1
Single Vehicle Collision,Ambulance,37.0,20.0,,Bachelor,Major Loss,15.0,1364.0,2000.0,1608.0,Full,-0.0,1.0,1.0,61.0,8000.0,18.0,0
Parked Car,Police,37.0,21.0,,College,Major Loss,4.0,1826.0,2000.0,1238.0,Full,1.0,1.0,1.0,72.0,9000.0,0.0,0
Single Vehicle Collision,Police,49.0,33.0,,Bachelor,Major Loss,9.0,1118.0,2000.0,984.0,Full,1.0,1.0,1.0,100.0,6000.0,0.0,0
Vehicle Theft,Police,31.0,9.0,-0.0,PhD,Trivial Damage,9.0,201.0,2000.0,1153.0,Full,2.0,1.0,1.0,30.0,5760.0,4.0,0
Single Vehicle Collision,Police,42.0,25.0,1.0,MD,Minor Damage,14.0,316.0,1000.0,1286.0,Full,2.0,1.0,0.0,256.0,75500.0,17.0,0
Multi-vehicle Collision,Police,29.0,9.0,,Bachelor,Major Loss,10.0,2241.0,1000.0,1296.0,Full,1.0,2.0,0.0,27.0,1000.0,7.0,0
Multi-vehicle Collision,Fire,34.0,12.0,1.0,College,Total Loss,13.0,932.0,2000.0,1270.0,Full,1.0,3.0,-0.0,123.0,55260.0,15.0,1
Parked Car,Police,53.0,36.0,1.0,High School,Trivial Damage,9.0,554.0,1000.0,1496.0,Full,2.0,1.0,-0.0,428.0,6930.0,2.0,0
Vehicle Theft,Ambulance,62.0,45.0,,Bachelor,Major Loss,6.0,1460.0,2000.0,1468.0,Full,1.0,1.0,1.0,110.0,4000.0,8.0,1
Single Vehicle Collision,Police,51.0,35.0,,High School,Major Loss,1.0,1891.0,1000.0,981.0,Full,0.0,1.0,1.0,70.0,7000.0,7.0,0
Multi-vehicle Collision,Ambulance,27.0,8.0,,MD,Major Loss,20.0,2066.0,2000.0,916.0,Full,1.0,3.0,0.0,86.0,10000.0,4.0,0
Vehicle Theft,Police,24.0,2.0,1.0,High School,Minor Damage,7.0,211.0,2000.0,1621.0,P1,2.0,1.0,0.0,63.0,6120.0,0.0,0
Multi-vehicle Collision,Police,51.0,30.0,,College,Major Loss,14.0,2388.0,500.0,1075.0,Full,0.0,4.0,1.0,89.0,9000.0,20.0,1
Multi-vehicle Collision,Police,62.0,41.0,,High School,Total Loss,11.0,2314.0,500.0,1145.0,Full,1.0,3.0,1.0,38.0,5000.0,18.0,0
Multi-vehicle Collision,Other,59.0,42.0,,High School,Major Loss,23.0,2500.0,500.0,923.0,Full,0.0,3.0,1.0,74.0,1000.0,17.0,0
Multi-vehicle Collision,Police,38.0,21.0,,Bachelor,Major Loss,6.0,2424.0,1000.0,903.0,Full,1.0,3.0,-0.0,51.0,10000.0,12.0,0
Multi-vehicle Collision,Other,46.0,26.0,-0.0,MD,Total Loss,14.0,116.0,1000.0,1110.0,Full,0.0,3.0,-0.0,258.0,47700.0,18.0,0
Multi-vehicle Collision,Ambulance,30.0,8.0,,High School,Total Loss,12.0,2244.0,1000.0,942.0,Full,1.0,3.0,1.0,15.0,4000.0,11.0,1
Multi-vehicle Collision,Ambulance,30.0,8.0,,High School,Total Loss,12.0,2244.0,1000.0,942.0,Full,1.0,3.0,1.0,15.0,4000.0,11.0,0
Single Vehicle Collision,Ambulance,33.0,14.0,,Bachelor,Major Loss,15.0,2506.0,500.0,1339.0,Full,1.0,1.0,1.0,96.0,6000.0,0.0,1
Multi-vehicle Collision,Police,63.0,46.0,,College,Total Loss,1.0,2417.0,2000.0,1035.0,Full,1.0,3.0,1.0,89.0,2000.0,8.0,0
Multi-vehicle Collision,Ambulance,58.0,39.0,,High School,Major Loss,15.0,1413.0,1000.0,883.0,Full,1.0,3.0,1.0,32.0,6000.0,8.0,0
Single Vehicle Collision,Ambulance,57.0,41.0,,Bachelor,Major Loss,18.0,1036.0,1000.0,881.0,Full,1.0,1.0,1.0,95.0,1000.0,2.0,0
Single Vehicle Collision,Ambulance,44.0,22.0,,High School,Total Loss,6.0,1254.0,1000.0,1245.0,Full,1.0,1.0,0.0,73.0,2000.0,8.0,0
Multi-vehicle Collision,Fire,26.0,8.0,0.0,MD,Major Damage,6.0,993.0,500.0,723.0,Full,1.0,3.0,1.0,94.0,36700.0,5.0,0
Parked Car,,42.0,26.0,,Bachelor,Major Loss,6.0,1452.0,1000.0,964.0,Full,-0.0,1.0,1.0,89.0,6000.0,14.0,0
Single Vehicle Collision,Police,57.0,36.0,,Bachelor,Major Loss,22.0,2360.0,1000.0,856.0,Full,0.0,1.0,1.0,48.0,5000.0,20.0,0
Multi-vehicle Collision,Police,49.0,33.0,,Masters,Major Loss,21.0,2493.0,500.0,1668.0,Full,-0.0,2.0,-0.0,58.0,4000.0,17.0,0
Multi-vehicle Collision,Police,36.0,14.0,1.0,MD,Major Damage,17.0,285.0,2000.0,1389.0,Full,1.0,3.0,1.0,189.0,79560.0,6.0,0
Vehicle Theft,Police,35.0,15.0,1.0,High School,Minor Damage,21.0,960.0,500.0,1107.0,Full,-0.0,1.0,1.0,137.0,3300.0,7.0,0
Multi-vehicle Collision,,64.0,46.0,,College,Major Loss,-0.0,2534.0,2000.0,1069.0,Full,-0.0,3.0,-0.0,16.0,10000.0,20.0,0
Single Vehicle Collision,Police,42.0,26.0,,Bachelor,Minor Loss,22.0,1519.0,500.0,877.0,Full,1.0,1.0,1.0,118.0,10000.0,4.0,0
Single Vehicle Collision,Ambulance,55.0,37.0,,High School,Minor Loss,11.0,2003.0,1000.0,841.0,Full,1.0,1.0,1.0,15.0,8000.0,6.0,0
Single Vehicle Collision,Other,41.0,21.0,0.0,PhD,Major Damage,23.0,918.0,2000.0,1108.0,Full,1.0,1.0,-0.0,229.0,62640.0,6.0,0
Multi-vehicle Collision,Ambulance,53.0,31.0,,Bachelor,Total Loss,13.0,1536.0,1000.0,1455.0,Full,0.0,3.0,1.0,18.0,5000.0,16.0,0
Multi-vehicle Collision,Fire,36.0,17.0,1.0,Associate,Total Loss,14.0,270.0,2000.0,1346.0,Full,2.0,3.0,1.0,195.0,68970.0,8.0,0
Multi-vehicle Collision,Ambulance,46.0,24.0,1.0,MD,Major Damage,11.0,768.0,500.0,1358.0,Full,-0.0,3.0,0.0,253.0,64570.0,14.0,0
Multi-vehicle Collision,Ambulance,53.0,35.0,,College,Major Loss,7.0,1410.0,1000.0,1193.0,Full,-0.0,3.0,1.0,41.0,6000.0,20.0,0
Parked Car,Police,26.0,7.0,,Bachelor,Total Loss,17.0,1998.0,500.0,945.0,Full,0.0,1.0,-0.0,42.0,3000.0,16.0,0
Multi-vehicle Collision,Ambulance,57.0,37.0,,High School,Total Loss,7.0,1872.0,2000.0,1238.0,Full,1.0,3.0,1.0,30.0,9000.0,9.0,0
Vehicle Theft,Other,37.0,19.0,,High School,Major Loss,6.0,1747.0,1000.0,895.0,Full,1.0,1.0,1.0,20.0,9000.0,1.0,0
Multi-vehicle Collision,Ambulance,31.0,9.0,-0.0,High School,Minor Damage,6.0,81.0,2000.0,1340.0,Full,1.0,3.0,-0.0,137.0,50800.0,10.0,0
Single Vehicle Collision,Fire,31.0,14.0,1.0,Associate,Total Loss,13.0,296.0,500.0,1326.0,Full,1.0,1.0,0.0,123.0,72120.0,6.0,0
Multi-vehicle Collision,Ambulance,56.0,37.0,,Bachelor,Minor Loss,10.0,1246.0,2000.0,1466.0,Full,0.0,2.0,1.0,106.0,2000.0,11.0,0
Vehicle Theft,Ambulance,60.0,44.0,,MD,Minor Loss,19.0,2462.0,500.0,1572.0,Full,1.0,1.0,1.0,95.0,8000.0,7.0,0
Parked Car,Ambulance,38.0,21.0,,High School,Minor Loss,14.0,1226.0,1000.0,1568.0,Full,1.0,1.0,0.0,119.0,8000.0,7.0,0
Single Vehicle Collision,Police,51.0,35.0,,High School,Major Loss,1.0,1891.0,1000.0,981.0,Full,0.0,1.0,1.0,70.0,7000.0,7.0,0
Single Vehicle Collision,Police,41.0,25.0,,High School,Major Loss,14.0,2369.0,1000.0,1502.0,Full,1.0,1.0,-0.0,40.0,10000.0,14.0,0
Multi-vehicle Collision,Ambulance,61.0,45.0,,MD,Total Loss,13.0,1080.0,1000.0,913.0,Full,1.0,3.0,1.0,42.0,2000.0,4.0,0
Multi-vehicle Collision,Ambulance,32.0,11.0,-0.0,College,Minor Damage,6.0,498.0,1000.0,1377.0,Full,1.0,4.0,0.0,0.0,39720.0,13.0,1
Parked Car,Ambulance,38.0,21.0,,High School,Minor Loss,14.0,1226.0,1000.0,1568.0,Full,1.0,1.0,-0.0,119.0,8000.0,7.0,0
Single Vehicle Collision,Ambulance,55.0,37.0,,College,Total Loss,17.0,1925.0,2000.0,982.0,Full,1.0,1.0,1.0,78.0,1000.0,15.0,0
Multi-vehicle Collision,Other,40.0,23.0,1.0,Masters,Minor Damage,17.0,862.0,1000.0,1524.0,Full,-0.0,3.0,1.0,212.0,82400.0,9.0,0
Multi-vehicle Collision,Ambulance,58.0,37.0,,Masters,Total Loss,10.0,2358.0,2000.0,1432.0,Full,0.0,3.0,0.0,8.0,8000.0,1.0,0
Single Vehicle Collision,Police,43.0,22.0,1.0,JD,Total Loss,-0.0,837.0,1000.0,975.0,Full,0.0,1.0,1.0,257.0,85320.0,9.0,0
Single Vehicle Collision,Police,31.0,15.0,,Bachelor,Major Loss,3.0,2128.0,500.0,1669.0,Full,-0.0,1.0,1.0,16.0,4000.0,20.0,0
Multi-vehicle Collision,Fire,48.0,31.0,-0.0,JD,Total Loss,18.0,737.0,500.0,1699.0,Full,2.0,3.0,0.0,339.0,51840.0,14.0,0
Single Vehicle Collision,Ambulance,28.0,8.0,1.0,High School,Total Loss,11.0,190.0,1000.0,987.0,Full,0.0,1.0,1.0,128.0,101860.0,8.0,0
Single Vehicle Collision,Ambulance,38.0,17.0,,High School,Major Loss,4.0,2058.0,1000.0,1423.0,Full,0.0,1.0,1.0,70.0,9000.0,10.0,1
Multi-vehicle Collision,Other,42.0,21.0,,PhD,Major Loss,22.0,2353.0,1000.0,1334.0,Full,1.0,3.0,1.0,33.0,5000.0,0.0,0
Multi-vehicle Collision,Fire,49.0,30.0,1.0,High School,Total Loss,21.0,327.0,2000.0,1348.0,Full,0.0,3.0,-0.0,305.0,66550.0,12.0,0
Parked Car,,59.0,42.0,,Masters,Major Loss,8.0,2179.0,1000.0,1304.0,Full,1.0,1.0,-0.0,87.0,6000.0,1.0,0
Multi-vehicle Collision,Police,31.0,10.0,,Bachelor,Minor Loss,18.0,1273.0,2000.0,1186.0,Full,0.0,3.0,1.0,55.0,1000.0,3.0,0
Multi-vehicle Collision,Ambulance,37.0,16.0,1.0,Masters,Major Damage,11.0,846.0,2000.0,1375.0,Full,0.0,3.0,-0.0,147.0,56160.0,-0.0,0
Single Vehicle Collision,Police,46.0,24.0,,High School,Major Loss,21.0,1673.0,500.0,1179.0,Full,1.0,1.0,-0.0,80.0,7000.0,7.0,0
Parked Car,Police,46.0,26.0,1.0,Associate,Minor Damage,5.0,525.0,500.0,1270.0,Full,1.0,1.0,0.0,266.0,2160.0,11.0,0
Single Vehicle Collision,Other,33.0,16.0,,College,Minor Loss,14.0,2264.0,2000.0,1558.0,Full,0.0,1.0,1.0,11.0,10000.0,12.0,0
Single Vehicle Collision,,46.0,30.0,,Bachelor,Major Loss,6.0,2310.0,1000.0,1549.0,Full,1.0,1.0,1.0,103.0,2000.0,6.0,0
