timeAsCustomer,driverAge,insuranceAccess,insurancePremium,driverGender,educationLevel,accidentType,incidentSeverity,authoritiesInvolved,incidentTime,numVehiclesInvolved,numBodilyInjuries,policeReportBool,totalClaimAmount,fraud,vehicleAge,driverExperience,licenceType
140.0,36.0,500.0,1364.0,1.0,JD,Multi-vehicle Collision,Minor Damage,Other,10.0,3.0,2.0,1.0,79500.0,0.0,15.0,19.0,Full
134.0,32.0,1000.0,1000.0,1.0,PhD,Single Vehicle Collision,Total Loss,Other,17.0,1.0,1.0,0.0,82720.0,-0.0,1.0,15.0,Full
190.0,40.0,2000.0,965.0,1.0,JD,Parked Car,Trivial Damage,,10.0,1.0,2.0,1.0,6300.0,0.0,14.0,24.0,Full
150.0,37.0,1000.0,1007.0,1.0,PhD,Single Vehicle Collision,Total Loss,Police,9.0,1.0,-0.0,-0.0,80080.0,0.0,2.0,21.0,Full
128.0,31.0,500.0,1045.0,1.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,2.0,3.0,-0.0,-0.0,69930.0,1.0,2.0,13.0,Full
199.0,41.0,1000.0,896.0,1.0,Associate,Single Vehicle Collision,Minor Damage,Ambulance,10.0,1.0,1.0,-0.0,30100.0,0.0,16.0,24.0,Full
35.0,29.0,2000.0,654.0,1.0,JD,Multi-vehicle Collision,Minor Damage,Fire,22.0,3.0,0.0,-0.0,78300.0,0.0,6.0,13.0,Full
3.0,38.0,1000.0,1311.0,1.0,Masters,Single Vehicle Collision,Minor Damage,Fire,20.0,1.0,0.0,0.0,87200.0,-0.0,9.0,17.0,Full
35.0,35.0,2000.0,1117.0,1.0,PhD,Multi-vehicle Collision,Minor Damage,Fire,23.0,3.0,2.0,-0.0,53190.0,-0.0,19.0,19.0,Full
140.0,35.0,1000.0,1521.0,1.0,High School,Parked Car,Trivial Damage,,5.0,1.0,-0.0,1.0,2860.0,1.0,18.0,14.0,Full
280.0,45.0,1000.0,1398.0,0.0,JD,Multi-vehicle Collision,Minor Damage,Other,0.0,3.0,1.0,-0.0,84720.0,0.0,16.0,27.0,Full
122.0,33.0,500.0,1236.0,0.0,PhD,Parked Car,Trivial Damage,,1.0,1.0,0.0,-0.0,5060.0,0.0,12.0,12.0,Full
27.0,27.0,2000.0,1119.0,1.0,College,Single Vehicle Collision,Total Loss,Fire,23.0,1.0,1.0,-0.0,61560.0,-0.0,7.0,9.0,Full
298.0,46.0,1000.0,1138.0,-0.0,JD,Single Vehicle Collision,Minor Damage,Police,18.0,1.0,2.0,1.0,33550.0,-0.0,10.0,29.0,Full
270.0,41.0,1000.0,817.0,0.0,High School,Multi-vehicle Collision,Total Loss,Ambulance,17.0,3.0,1.0,-0.0,60190.0,1.0,1.0,20.0,Full
405.0,58.0,500.0,1238.0,-0.0,MD,Single Vehicle Collision,Major Damage,Police,11.0,1.0,0.0,0.0,63580.0,1.0,18.0,41.0,Full
101.0,27.0,1000.0,433.0,-0.0,Masters,Parked Car,Minor Damage,,7.0,1.0,-0.0,-0.0,5900.0,-0.0,6.0,9.0,Full
239.0,41.0,1000.0,1325.0,1.0,JD,Parked Car,Trivial Damage,Police,22.0,1.0,-0.0,1.0,10790.0,0.0,2.0,21.0,Full
169.0,38.0,1000.0,1556.0,0.0,PhD,Multi-vehicle Collision,Total Loss,Other,12.0,3.0,1.0,1.0,79080.0,-0.0,3.0,19.0,Full
407.0,55.0,1000.0,1250.0,1.0,PhD,Multi-vehicle Collision,Total Loss,Police,0.0,3.0,2.0,1.0,68160.0,-0.0,5.0,38.0,Full
120.0,28.0,1000.0,1281.0,1.0,PhD,Multi-vehicle Collision,Minor Damage,Fire,9.0,3.0,-0.0,0.0,65500.0,-0.0,5.0,6.0,Full
175.0,34.0,1000.0,1124.0,1.0,PhD,Vehicle Theft,Trivial Damage,Police,5.0,1.0,2.0,1.0,7290.0,-0.0,20.0,14.0,Full
222.0,39.0,1000.0,1233.0,-0.0,High School,Multi-vehicle Collision,Major Damage,Fire,21.0,3.0,1.0,0.0,87960.0,1.0,16.0,18.0,Full
80.0,26.0,1000.0,1343.0,-0.0,Masters,Single Vehicle Collision,Minor Damage,Other,12.0,1.0,0.0,-0.0,90400.0,-0.0,20.0,5.0,Full
156.0,37.0,500.0,1091.0,-0.0,High School,Multi-vehicle Collision,Minor Damage,Police,16.0,4.0,1.0,1.0,53400.0,1.0,5.0,16.0,Full
122.0,34.0,1000.0,1221.0,-0.0,PhD,Parked Car,Minor Damage,,5.0,1.0,2.0,1.0,8190.0,0.0,2.0,15.0,Full
243.0,41.0,1000.0,1129.0,1.0,College,Single Vehicle Collision,Major Damage,Fire,1.0,1.0,1.0,1.0,50300.0,1.0,16.0,21.0,Full
16.0,32.0,1000.0,968.0,0.0,MD,Multi-vehicle Collision,Total Loss,Ambulance,0.0,3.0,-0.0,-0.0,59400.0,1.0,20.0,14.0,Full
230.0,39.0,1000.0,905.0,1.0,MD,Single Vehicle Collision,Major Damage,Fire,0.0,1.0,1.0,-0.0,74200.0,1.0,13.0,20.0,Full
286.0,43.0,500.0,1564.0,1.0,MD,Single Vehicle Collision,Minor Damage,Fire,18.0,1.0,2.0,1.0,34290.0,-0.0,2.0,27.0,Full
328.0,49.0,500.0,1435.0,1.0,Masters,Single Vehicle Collision,Total Loss,Police,19.0,1.0,-0.0,1.0,71440.0,0.0,10.0,28.0,Full
136.0,29.0,500.0,1203.0,1.0,JD,Vehicle Theft,Minor Damage,Police,9.0,1.0,2.0,-0.0,6200.0,-0.0,16.0,13.0,Full
298.0,49.0,500.0,863.0,0.0,MD,Multi-vehicle Collision,Major Damage,Other,16.0,3.0,-0.0,0.0,69480.0,-0.0,8.0,27.0,Full
272.0,41.0,2000.0,946.0,-0.0,MD,Single Vehicle Collision,Minor Damage,Fire,23.0,1.0,-0.0,-0.0,84100.0,1.0,6.0,22.0,Full
254.0,41.0,500.0,1581.0,1.0,PhD,Single Vehicle Collision,Minor Damage,Police,8.0,1.0,2.0,0.0,63470.0,0.0,16.0,23.0,Full
103.0,29.0,500.0,915.0,0.0,Associate,Parked Car,Minor Damage,Police,5.0,1.0,2.0,-0.0,7110.0,-0.0,10.0,9.0,Full
16.0,35.0,1000.0,1358.0,0.0,JD,Single Vehicle Collision,Total Loss,Other,-0.0,1.0,2.0,0.0,55000.0,1.0,7.0,16.0,Full
409.0,57.0,1000.0,1192.0,-0.0,High School,Single Vehicle Collision,Major Damage,Other,19.0,1.0,1.0,0.0,73320.0,0.0,3.0,41.0,Full
272.0,41.0,2000.0,1608.0,1.0,Associate,Single Vehicle Collision,Major Damage,Other,19.0,1.0,1.0,-0.0,71060.0,0.0,5.0,24.0,Full
235.0,40.0,500.0,1399.0,-0.0,College,Single Vehicle Collision,Minor Damage,Ambulance,11.0,1.0,1.0,0.0,68300.0,-0.0,12.0,21.0,Full
259.0,43.0,2000.0,1537.0,1.0,PhD,Multi-vehicle Collision,Total Loss,Other,3.0,3.0,0.0,1.0,57060.0,-0.0,3.0,23.0,Full
189.0,36.0,2000.0,1389.0,1.0,MD,Multi-vehicle Collision,Major Damage,Police,17.0,3.0,1.0,1.0,79560.0,0.0,6.0,14.0,Full
137.0,31.0,2000.0,1340.0,0.0,High School,Multi-vehicle Collision,Minor Damage,Ambulance,6.0,3.0,1.0,0.0,50800.0,-0.0,10.0,9.0,Full
279.0,41.0,500.0,1497.0,1.0,JD,Multi-vehicle Collision,Minor Damage,Fire,16.0,3.0,2.0,0.0,28800.0,0.0,2.0,20.0,Full
229.0,37.0,1000.0,1332.0,1.0,Masters,Single Vehicle Collision,Total Loss,Other,17.0,1.0,-0.0,1.0,54560.0,-0.0,11.0,16.0,Full
290.0,42.0,500.0,990.0,0.0,Masters,Single Vehicle Collision,Minor Damage,Ambulance,10.0,1.0,0.0,-0.0,48000.0,0.0,2.0,26.0,Full
256.0,39.0,1000.0,1351.0,1.0,PhD,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,-0.0,0.0,64100.0,1.0,12.0,20.0,Full
186.0,37.0,2000.0,1628.0,1.0,JD,Single Vehicle Collision,Total Loss,Ambulance,22.0,1.0,1.0,1.0,55600.0,-0.0,6.0,16.0,Full
30.0,31.0,2000.0,1153.0,-0.0,PhD,Vehicle Theft,Trivial Damage,Police,9.0,1.0,2.0,1.0,5760.0,-0.0,4.0,9.0,Full
347.0,51.0,500.0,1481.0,1.0,MD,Single Vehicle Collision,Total Loss,Other,15.0,1.0,-0.0,0.0,103560.0,0.0,18.0,33.0,Full
252.0,46.0,2000.0,1067.0,1.0,JD,Multi-vehicle Collision,Total Loss,Other,22.0,3.0,-0.0,-0.0,89520.0,0.0,1.0,25.0,Full
121.0,34.0,1000.0,937.0,1.0,MD,Parked Car,Minor Damage,,5.0,1.0,1.0,0.0,7280.0,0.0,5.0,18.0,Full
194.0,38.0,2000.0,1231.0,1.0,PhD,Multi-vehicle Collision,Minor Damage,Ambulance,15.0,3.0,1.0,-0.0,53680.0,-0.0,4.0,17.0,Full
107.0,31.0,2000.0,1019.0,0.0,Associate,Multi-vehicle Collision,Total Loss,Police,21.0,3.0,1.0,-0.0,93730.0,-0.0,14.0,10.0,Full
9.0,30.0,1000.0,1074.0,1.0,High School,Single Vehicle Collision,Total Loss,Police,12.0,1.0,-0.0,-0.0,85690.0,0.0,4.0,11.0,Full
134.0,32.0,1000.0,1000.0,1.0,PhD,Single Vehicle Collision,Total Loss,Other,17.0,1.0,1.0,0.0,82720.0,-0.0,1.0,15.0,Full
127.0,31.0,500.0,1255.0,0.0,Associate,Parked Car,Minor Damage,,10.0,1.0,1.0,-0.0,6160.0,0.0,19.0,13.0,Full
193.0,41.0,500.0,847.0,1.0,JD,Single Vehicle Collision,Major Damage,Other,1.0,1.0,1.0,1.0,112320.0,1.0,4.0,23.0,Full
152.0,33.0,500.0,943.0,1.0,PhD,Single Vehicle Collision,Major Damage,Fire,16.0,1.0,0.0,0.0,70400.0,1.0,14.0,14.0,Full
178.0,39.0,500.0,1036.0,1.0,JD,Multi-vehicle Collision,Minor Damage,Police,3.0,3.0,2.0,-0.0,64680.0,0.0,5.0,23.0,Full
112.0,27.0,500.0,965.0,1.0,Masters,Multi-vehicle Collision,Major Damage,Ambulance,21.0,3.0,0.0,-0.0,51000.0,-0.0,2.0,9.0,Full
129.0,28.0,1000.0,1378.0,0.0,Masters,Single Vehicle Collision,Major Damage,Fire,23.0,1.0,2.0,0.0,44640.0,0.0,10.0,6.0,Full
151.0,37.0,1000.0,1729.0,1.0,Masters,Single Vehicle Collision,Minor Damage,Fire,0.0,1.0,1.0,0.0,38830.0,0.0,16.0,20.0,Full
156.0,37.0,1000.0,1086.0,-0.0,Associate,Multi-vehicle Collision,Total Loss,Other,17.0,3.0,1.0,1.0,77440.0,-0.0,16.0,15.0,Full
246.0,44.0,2000.0,1649.0,0.0,College,Single Vehicle Collision,Major Damage,Other,18.0,1.0,1.0,1.0,61380.0,1.0,6.0,28.0,Full
199.0,38.0,1000.0,1281.0,1.0,High School,Single Vehicle Collision,Major Damage,Police,6.0,1.0,0.0,0.0,44440.0,1.0,8.0,18.0,Full
24.0,33.0,1000.0,1923.0,1.0,High School,Single Vehicle Collision,Total Loss,Police,-0.0,1.0,2.0,0.0,46800.0,-0.0,13.0,16.0,Full
169.0,38.0,1000.0,1556.0,-0.0,PhD,Multi-vehicle Collision,Total Loss,Other,12.0,3.0,1.0,1.0,79080.0,-0.0,3.0,19.0,Full
277.0,44.0,500.0,1412.0,0.0,High School,Vehicle Theft,Trivial Damage,Police,6.0,1.0,1.0,0.0,5000.0,0.0,10.0,23.0,Full
11.0,40.0,2000.0,1218.0,1.0,MD,Multi-vehicle Collision,Major Damage,Other,6.0,3.0,1.0,-0.0,53460.0,1.0,11.0,20.0,Full
292.0,45.0,1000.0,1359.0,-0.0,Masters,Vehicle Theft,Trivial Damage,Police,4.0,1.0,-0.0,0.0,7370.0,0.0,18.0,25.0,Full
256.0,43.0,500.0,1203.0,1.0,MD,Single Vehicle Collision,Total Loss,Fire,11.0,1.0,-0.0,-0.0,63250.0,-0.0,18.0,23.0,Full
200.0,40.0,1000.0,1439.0,1.0,High School,Vehicle Theft,Minor Damage,Police,9.0,1.0,0.0,0.0,3690.0,0.0,0.0,21.0,Full
292.0,44.0,500.0,1098.0,-0.0,PhD,Single Vehicle Collision,Total Loss,Other,12.0,1.0,1.0,1.0,61700.0,0.0,10.0,27.0,Full
151.0,37.0,500.0,1366.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Fire,14.0,3.0,1.0,1.0,59100.0,1.0,17.0,16.0,Full
84.0,29.0,1000.0,1117.0,1.0,High School,Parked Car,Trivial Damage,Police,6.0,1.0,2.0,1.0,6820.0,0.0,10.0,7.0,Full
270.0,44.0,2000.0,1031.0,1.0,Associate,Multi-vehicle Collision,Major Damage,Ambulance,20.0,3.0,1.0,0.0,35900.0,1.0,8.0,22.0,Full
92.0,32.0,500.0,1592.0,-0.0,Masters,Single Vehicle Collision,Total Loss,Ambulance,22.0,1.0,2.0,1.0,53400.0,-0.0,19.0,10.0,Full
217.0,41.0,2000.0,875.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,1.0,-0.0,37840.0,-0.0,19.0,20.0,Full
56.0,42.0,500.0,1339.0,1.0,Associate,Single Vehicle Collision,Total Loss,Other,13.0,1.0,1.0,1.0,61490.0,-0.0,17.0,23.0,Full
190.0,38.0,500.0,1246.0,-0.0,JD,Single Vehicle Collision,Total Loss,Other,14.0,1.0,-0.0,0.0,45100.0,-0.0,2.0,19.0,Full
204.0,40.0,500.0,1256.0,1.0,JD,Multi-vehicle Collision,Minor Damage,Other,10.0,3.0,1.0,1.0,41700.0,-0.0,2.0,24.0,Full
289.0,43.0,1000.0,1388.0,1.0,Associate,Multi-vehicle Collision,Minor Damage,Fire,19.0,3.0,1.0,-0.0,68580.0,0.0,5.0,25.0,Full
472.0,64.0,500.0,989.0,0.0,Masters,Single Vehicle Collision,Major Damage,Fire,13.0,1.0,2.0,0.0,70900.0,0.0,13.0,42.0,Full
230.0,39.0,1000.0,905.0,1.0,MD,Single Vehicle Collision,Major Damage,Fire,0.0,1.0,1.0,0.0,74200.0,1.0,13.0,20.0,Full
152.0,33.0,500.0,943.0,1.0,PhD,Single Vehicle Collision,Major Damage,Fire,16.0,1.0,0.0,-0.0,70400.0,1.0,14.0,14.0,Full
72.0,29.0,500.0,974.0,1.0,Associate,Single Vehicle Collision,Major Damage,Ambulance,9.0,1.0,1.0,0.0,66200.0,0.0,2.0,13.0,Full
187.0,37.0,1000.0,1412.0,1.0,Masters,Single Vehicle Collision,Total Loss,Ambulance,21.0,1.0,0.0,0.0,57700.0,-0.0,15.0,21.0,Full
377.0,53.0,500.0,1694.0,1.0,MD,Multi-vehicle Collision,Total Loss,Fire,10.0,3.0,1.0,-0.0,59040.0,0.0,-0.0,32.0,Full
190.0,40.0,2000.0,965.0,1.0,JD,Parked Car,Trivial Damage,,10.0,1.0,2.0,1.0,6300.0,0.0,14.0,24.0,Full
153.0,34.0,500.0,991.0,0.0,High School,Multi-vehicle Collision,Total Loss,Other,-0.0,3.0,1.0,-0.0,77770.0,0.0,15.0,16.0,Full
104.0,30.0,500.0,1053.0,1.0,MD,Vehicle Theft,Minor Damage,Police,8.0,1.0,0.0,1.0,4800.0,0.0,9.0,12.0,Full
449.0,57.0,2000.0,1441.0,0.0,Associate,Parked Car,Minor Damage,,8.0,1.0,-0.0,1.0,5390.0,-0.0,7.0,38.0,Full
184.0,38.0,1000.0,1438.0,1.0,College,Multi-vehicle Collision,Minor Damage,Ambulance,6.0,3.0,-0.0,0.0,53730.0,1.0,2.0,22.0,Full
460.0,57.0,2000.0,1567.0,1.0,JD,Single Vehicle Collision,Major Damage,Other,10.0,1.0,2.0,-0.0,58300.0,1.0,1.0,41.0,Full
32.0,29.0,500.0,1447.0,0.0,MD,Multi-vehicle Collision,Minor Damage,Ambulance,11.0,3.0,2.0,-0.0,57970.0,-0.0,9.0,10.0,Full
160.0,36.0,1000.0,1119.0,1.0,High School,Multi-vehicle Collision,Total Loss,Fire,5.0,3.0,2.0,0.0,51700.0,0.0,12.0,20.0,Full
61.0,25.0,2000.0,988.0,1.0,Masters,Multi-vehicle Collision,Minor Damage,Ambulance,1.0,3.0,1.0,-0.0,32320.0,0.0,15.0,3.0,P2
174.0,33.0,2000.0,1124.0,1.0,College,Multi-vehicle Collision,Total Loss,Ambulance,14.0,3.0,0.0,1.0,44200.0,-0.0,20.0,14.0,Full
108.0,31.0,2000.0,1176.0,-0.0,Masters,Single Vehicle Collision,Total Loss,Fire,14.0,1.0,-0.0,-0.0,57330.0,-0.0,9.0,10.0,Full
193.0,40.0,500.0,1234.0,1.0,College,Multi-vehicle Collision,Total Loss,Ambulance,23.0,3.0,2.0,1.0,64260.0,-0.0,16.0,21.0,Full
216.0,38.0,1000.0,1385.0,1.0,Associate,Single Vehicle Collision,Total Loss,Police,16.0,1.0,2.0,0.0,66600.0,1.0,3.0,17.0,Full
294.0,44.0,1000.0,1226.0,1.0,PhD,Vehicle Theft,Trivial Damage,,3.0,1.0,0.0,-0.0,6100.0,0.0,13.0,23.0,Full
95.0,30.0,2000.0,1371.0,-0.0,College,Single Vehicle Collision,Minor Damage,Police,22.0,1.0,0.0,0.0,34800.0,0.0,16.0,8.0,Full
106.0,28.0,2000.0,1609.0,-0.0,High School,Vehicle Theft,Minor Damage,Police,8.0,1.0,2.0,1.0,5490.0,-0.0,16.0,11.0,Full
380.0,56.0,1000.0,1571.0,-0.0,MD,Single Vehicle Collision,Total Loss,Police,10.0,1.0,0.0,1.0,58160.0,1.0,19.0,34.0,Full
195.0,36.0,2000.0,1346.0,1.0,Associate,Multi-vehicle Collision,Total Loss,Fire,14.0,3.0,2.0,1.0,68970.0,-0.0,8.0,17.0,Full
286.0,41.0,1000.0,1299.0,1.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,16.0,3.0,1.0,1.0,54450.0,-0.0,8.0,20.0,Full
252.0,46.0,2000.0,1067.0,1.0,JD,Multi-vehicle Collision,Total Loss,Other,22.0,3.0,0.0,0.0,89520.0,-0.0,1.0,25.0,Full
283.0,46.0,2000.0,1313.0,1.0,PhD,Multi-vehicle Collision,Major Damage,Ambulance,3.0,3.0,1.0,0.0,77660.0,1.0,11.0,25.0,Full
126.0,33.0,1000.0,1142.0,1.0,JD,Single Vehicle Collision,Major Damage,Ambulance,21.0,1.0,1.0,-0.0,54160.0,0.0,6.0,11.0,Full
259.0,45.0,2000.0,1175.0,0.0,MD,Single Vehicle Collision,Minor Damage,Fire,23.0,1.0,1.0,-0.0,87780.0,0.0,4.0,27.0,Full
124.0,32.0,1000.0,1311.0,1.0,Masters,Single Vehicle Collision,Total Loss,Ambulance,23.0,1.0,0.0,-0.0,57700.0,-0.0,12.0,12.0,Full
366.0,50.0,1000.0,1561.0,1.0,High School,Multi-vehicle Collision,Minor Damage,Police,5.0,3.0,1.0,-0.0,70290.0,0.0,3.0,31.0,Full
85.0,25.0,500.0,1259.0,1.0,JD,Parked Car,Trivial Damage,,8.0,1.0,2.0,-0.0,5640.0,0.0,10.0,8.0,Full
137.0,35.0,500.0,1668.0,0.0,JD,Parked Car,Minor Damage,Police,4.0,1.0,1.0,0.0,6600.0,-0.0,10.0,13.0,Full
137.0,35.0,500.0,1668.0,-0.0,JD,Parked Car,Minor Damage,Police,4.0,1.0,1.0,-0.0,6600.0,0.0,10.0,13.0,Full
211.0,35.0,500.0,1041.0,1.0,JD,Single Vehicle Collision,Total Loss,Ambulance,1.0,1.0,1.0,0.0,42000.0,-0.0,4.0,14.0,Full
217.0,39.0,2000.0,1400.0,1.0,Masters,Multi-vehicle Collision,Minor Damage,Fire,16.0,3.0,0.0,-0.0,64920.0,0.0,18.0,17.0,Full
239.0,41.0,1000.0,1325.0,1.0,JD,Parked Car,Trivial Damage,Police,22.0,1.0,-0.0,1.0,10790.0,0.0,2.0,21.0,Full
206.0,42.0,1000.0,1231.0,-0.0,High School,Single Vehicle Collision,Major Damage,Fire,2.0,1.0,1.0,-0.0,78980.0,1.0,18.0,25.0,Full
37.0,31.0,500.0,1970.0,1.0,MD,Multi-vehicle Collision,Total Loss,Fire,21.0,3.0,1.0,1.0,76450.0,0.0,20.0,15.0,Full
94.0,32.0,1000.0,1415.0,1.0,Masters,Parked Car,Minor Damage,,19.0,1.0,1.0,-0.0,2400.0,0.0,1.0,12.0,Full
286.0,41.0,1000.0,1299.0,1.0,High School,Multi-vehicle Collision,Major Damage,Ambulance,16.0,3.0,1.0,1.0,54450.0,-0.0,8.0,20.0,Full
80.0,26.0,1000.0,1343.0,0.0,Masters,Single Vehicle Collision,Minor Damage,Other,12.0,1.0,0.0,-0.0,90400.0,0.0,20.0,5.0,Full
126.0,33.0,1000.0,1142.0,1.0,JD,Single Vehicle Collision,Major Damage,Ambulance,21.0,1.0,1.0,0.0,54160.0,-0.0,6.0,11.0,Full
123.0,31.0,500.0,1326.0,1.0,Associate,Single Vehicle Collision,Total Loss,Fire,13.0,1.0,1.0,-0.0,72120.0,-0.0,6.0,14.0,Full
17.0,39.0,1000.0,841.0,1.0,JD,Parked Car,Trivial Damage,Police,9.0,1.0,2.0,-0.0,3440.0,0.0,13.0,23.0,Full
14.0,28.0,2000.0,1588.0,1.0,Associate,Single Vehicle Collision,Major Damage,Fire,18.0,1.0,2.0,1.0,71280.0,1.0,3.0,10.0,Full
163.0,38.0,2000.0,1454.0,1.0,PhD,Single Vehicle Collision,Minor Damage,Ambulance,13.0,1.0,2.0,-0.0,79500.0,0.0,20.0,21.0,Full
144.0,36.0,2000.0,1256.0,1.0,Associate,Parked Car,Minor Damage,,7.0,1.0,-0.0,-0.0,7400.0,-0.0,1.0,16.0,Full
154.0,36.0,2000.0,1314.0,1.0,Masters,Vehicle Theft,Trivial Damage,,9.0,1.0,2.0,-0.0,2800.0,0.0,-0.0,20.0,Full
157.0,32.0,2000.0,617.0,0.0,College,Multi-vehicle Collision,Major Damage,Other,14.0,3.0,1.0,-0.0,50800.0,1.0,2.0,10.0,Full
160.0,37.0,500.0,1374.0,1.0,MD,Single Vehicle Collision,Total Loss,Other,19.0,1.0,1.0,0.0,72930.0,0.0,-0.0,15.0,Full
266.0,44.0,500.0,1612.0,-0.0,High School,Single Vehicle Collision,Total Loss,Police,4.0,1.0,1.0,1.0,32800.0,-0.0,3.0,24.0,Full
456.0,60.0,1000.0,766.0,1.0,Associate,Parked Car,Minor Damage,Police,6.0,1.0,-0.0,-0.0,5060.0,0.0,8.0,39.0,Full
73.0,26.0,2000.0,1191.0,-0.0,MD,Multi-vehicle Collision,Total Loss,Other,9.0,3.0,0.0,1.0,40160.0,0.0,12.0,10.0,Full
199.0,37.0,500.0,1262.0,0.0,JD,Single Vehicle Collision,Major Damage,Ambulance,4.0,1.0,-0.0,0.0,60170.0,1.0,4.0,18.0,Full
50.0,44.0,2000.0,1189.0,0.0,College,Multi-vehicle Collision,Total Loss,Police,15.0,3.0,1.0,-0.0,61100.0,0.0,7.0,27.0,Full
473.0,58.0,2000.0,1131.0,1.0,MD,Multi-vehicle Collision,Major Damage,Other,12.0,4.0,0.0,0.0,63120.0,1.0,16.0,40.0,Full
130.0,34.0,500.0,1383.0,1.0,Masters,Multi-vehicle Collision,Minor Damage,Police,4.0,3.0,2.0,1.0,67500.0,0.0,19.0,15.0,Full
3.0,29.0,500.0,996.0,1.0,JD,Parked Car,Trivial Damage,Police,3.0,1.0,2.0,-0.0,5000.0,1.0,7.0,10.0,Full
219.0,39.0,2000.0,1281.0,1.0,High School,Parked Car,Trivial Damage,Police,6.0,1.0,-0.0,-0.0,5920.0,0.0,0.0,22.0,Full
347.0,51.0,500.0,1481.0,1.0,MD,Single Vehicle Collision,Total Loss,Other,15.0,1.0,0.0,0.0,103560.0,-0.0,18.0,33.0,Full
257.0,44.0,1000.0,1281.0,-0.0,MD,Single Vehicle Collision,Total Loss,Other,21.0,1.0,0.0,-0.0,46980.0,0.0,13.0,23.0,Full
130.0,34.0,500.0,1383.0,1.0,Masters,Multi-vehicle Collision,Minor Damage,Police,4.0,3.0,2.0,1.0,67500.0,0.0,19.0,15.0,Full
233.0,43.0,1000.0,954.0,1.0,College,Multi-vehicle Collision,Minor Damage,Other,17.0,3.0,2.0,1.0,42500.0,0.0,15.0,27.0,Full
222.0,42.0,500.0,1125.0,0.0,Associate,Multi-vehicle Collision,Minor Damage,Police,23.0,3.0,0.0,0.0,51740.0,-0.0,9.0,26.0,Full
10.0,26.0,2000.0,766.0,-0.0,MD,Multi-vehicle Collision,Major Damage,Ambulance,3.0,3.0,0.0,-0.0,31350.0,1.0,14.0,10.0,Full
162.0,31.0,1000.0,1050.0,1.0,Masters,Parked Car,Minor Damage,,7.0,1.0,0.0,0.0,3600.0,1.0,2.0,13.0,Full
80.0,27.0,1000.0,1474.0,1.0,College,Single Vehicle Collision,Major Damage,Police,13.0,1.0,1.0,1.0,52800.0,0.0,11.0,6.0,Full
290.0,42.0,500.0,990.0,0.0,Masters,Single Vehicle Collision,Minor Damage,Ambulance,10.0,1.0,0.0,0.0,48000.0,0.0,2.0,26.0,Full
41.0,26.0,1000.0,1383.0,1.0,JD,Vehicle Theft,Trivial Damage,Police,12.0,1.0,1.0,-0.0,6890.0,-0.0,18.0,6.0,Full
134.0,30.0,2000.0,1443.0,1.0,PhD,Multi-vehicle Collision,Major Damage,Fire,19.0,3.0,0.0,1.0,47790.0,1.0,20.0,14.0,Full
